Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Jun 09 '01,,H,W,,NJD,16-7,3,1,1,5,1,3,0,0,22,26,18007,P. Roy,A. Tanguay
Jun 07 '01,,R,W,,NJD,15-7,4,0,1,7,0,6,0,0,18,24,19040,P. Roy,A. Foote
Jun 04 '01,,H,L,,NJD,14-7,1,4,1,4,1,1,0,0,23,26,18007,M. Brodeur,A. Mogilny
Jun 02 '01,,R,L,,NJD,14-6,2,3,0,5,0,2,0,1,12,35,19040,M. Brodeur,P. Sykora
May 31 '01,,R,W,,NJD,14-5,3,1,1,4,1,6,0,0,21,22,19040,P. Roy,R. Bourque
May 29 '01,,H,L,,NJD,13-5,1,2,1,6,0,3,0,0,20,20,18007,M. Brodeur,T. Stevenson
May 26 '01,,H,W,,NJD,13-4,5,0,1,5,0,6,0,0,30,25,18007,P. Roy,J. Sakic
May 21 '01,,H,W,OT,STL,12-4,2,1,2,7,0,3,0,0,36,29,18007,P. Roy,J. Sakic
May 18 '01,,R,W,OT,STL,11-4,4,3,0,3,0,3,0,0,27,31,20072,P. Roy,S. Yelle
May 16 '01,,R,L,OT,STL,10-4,3,4,1,6,1,7,0,0,33,60,19897,R. Turek,S. Young
May 14 '01,,H,W,,STL,10-3,4,2,2,4,2,4,0,0,20,30,18007,P. Roy,S. Podein
May 12 '01,,H,W,,STL,9-3,4,1,2,5,0,2,0,1,30,31,18007,P. Roy,J. Sakic
May 09 '01,,H,W,,LAK,8-3,5,1,2,3,0,3,0,0,36,26,18007,P. Roy,C. Drury
May 06 '01,,R,L,OT,LAK,7-3,0,1,0,4,0,7,0,0,33,32,18478,F. Potvin,G. Murray
May 04 '01,,H,L,,LAK,7-2,0,1,0,6,0,4,0,0,20,26,18007,F. Potvin,L. Robitaille
May 02 '01,,R,W,,LAK,7-1,3,0,1,6,0,3,0,0,21,21,18478,P. Roy,A. Tanguay
Apr 30 '01,,R,W,,LAK,6-1,4,3,0,6,2,5,0,0,21,25,18478,P. Roy,J. Klemm
Apr 28 '01,,H,W,,LAK,5-1,2,0,1,6,0,4,0,0,28,20,18007,P. Roy,V. Nieminen
Apr 26 '01,,H,L,OT,LAK,4-1,3,4,1,5,1,4,0,0,37,25,18007,F. Potvin,J. Modry
Apr 18 '01,,R,W,,VAN,4-0,5,1,1,4,1,5,0,0,30,23,18422,P. Roy,P. Forsberg
Apr 16 '01,,R,W,OT,VAN,3-0,4,3,1,5,1,5,0,0,33,23,18422,P. Roy,P. Forsberg
Apr 14 '01,,H,W,,VAN,2-0,2,1,0,5,1,3,0,0,25,19,18007,P. Roy,M. Hejduk
Apr 12 '01,,H,W,,VAN,1-0,5,4,3,5,1,3,0,0,28,23,18007,P. Roy,C. Drury
