Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 11 '10,video,H,O,OT,LAK,43-30-9,1,2,0,3,0,2,0,0,32,33,15674,E. Ersberg,D. Brown
Apr 09 '10,video,H,L,,CHI,43-30-8,2,5,0,2,1,5,0,0,32,37,16327,A. Niemi,P. Sharp
Apr 07 '10,video,R,O,OT,EDM,43-29-8,4,5,0,2,2,2,0,0,35,45,16839,J. Deslauriers,R. Whitney
Apr 06 '10,video,R,W,SO,VAN,43-29-7,3,3,0,1,1,1,0,0,31,32,18810,C. Anderson,M. Duchene
Apr 04 '10,video,H,W,OT,SJS,42-29-7,5,4,1,6,0,3,0,0,40,22,12893,C. Anderson,J. Liles
Apr 02 '10,video,H,L,,CGY,41-29-7,1,2,0,1,0,3,0,0,36,27,18007,M. Kiprusoff,C. Sarich
Mar 31 '10,video,H,L,,ANA,41-28-7,2,5,1,3,0,1,0,0,29,27,13862,C. McElhinney,S. Niedermayer
Mar 28 '10,video,R,L,,SJS,41-27-7,3,4,1,3,1,1,0,0,45,32,17562,T. Greiss,D. Setoguchi
Mar 27 '10,video,R,L,,PHX,41-26-7,2,6,0,3,1,2,1,1,29,32,17188,I. Bryzgalov,T. Pyatt
Mar 24 '10,video,H,W,SO,LAK,41-25-7,3,3,2,6,2,3,0,0,30,30,13667,C. Anderson,C. Stewart
Mar 22 '10,video,R,O,OT,LAK,40-25-7,3,4,0,5,2,3,0,0,21,23,17845,J. Quick,D. Doughty
Mar 21 '10,video,R,L,,ANA,40-25-6,2,5,0,3,3,6,0,1,28,33,15528,J. Hiller,T. Selanne
Mar 17 '10,video,H,L,,CGY,40-24-6,2,3,0,3,1,4,0,1,34,34,12770,V. Toskala,R. Bourque
Mar 16 '10,video,R,W,,STL,40-23-6,5,3,1,2,1,4,0,0,26,39,19150,P. Budaj,P. Mueller
Mar 14 '10,video,R,W,,DAL,39-23-6,5,3,2,3,0,5,0,0,22,51,16246,C. Anderson,C. Stewart
Mar 11 '10,video,H,W,,FLA,38-23-6,3,0,1,2,0,1,0,0,31,27,11458,C. Anderson,P. Stastny
Mar 09 '10,video,H,L,,VAN,37-23-6,4,6,1,2,1,3,0,0,27,32,12861,R. Luongo,J. Hansen
Mar 06 '10,video,H,W,,STL,37-22-6,7,3,0,4,0,4,0,0,33,42,18007,C. Anderson,M. Hejduk
Mar 04 '10,video,R,L,,PHX,36-22-6,1,3,1,3,0,2,0,0,24,30,12426,I. Bryzgalov,W. Wolski
Mar 03 '10,video,R,W,,ANA,36-21-6,4,3,3,6,2,6,0,0,25,34,14840,C. Anderson,T. Galiardi
Mar 01 '10,video,H,L,,DET,35-21-6,2,3,0,2,2,4,0,0,24,30,18007,J. Howard,N. Lidstrom
Feb 13 '10,video,R,L,,LAK,35-20-6,0,3,0,3,1,4,0,0,22,23,18118,J. Quick,B. Richardson
Feb 12 '10,video,H,W,,PHX,35-19-6,2,1,1,7,0,5,0,0,25,34,14129,C. Anderson,M. Duchene
Feb 10 '10,video,H,W,OT,ATL,34-19-6,4,3,0,4,0,4,0,0,35,36,11644,C. Anderson,K. Cumiskey
Feb 08 '10,video,H,W,,STL,33-19-6,5,2,1,6,0,3,0,0,33,34,11261,C. Anderson,C. Stewart
Feb 06 '10,video,H,W,,EDM,32-19-6,3,0,0,2,0,3,0,0,42,20,16571,C. Anderson,W. Wolski
Feb 04 '10,video,R,L,,NSH,31-19-6,3,5,1,3,3,5,0,0,26,36,17113,P. Rinne,P. Hornqvist
Feb 02 '10,video,H,W,,CBJ,31-18-6,5,1,0,1,0,4,2,1,26,21,11213,C. Anderson,B. Yip
Jan 31 '10,video,H,L,,NYR,30-18-6,1,3,0,6,0,6,0,0,35,34,15264,C. Johnson,M. Gaborik
Jan 29 '10,video,R,L,,DAL,30-17-6,2,3,0,1,0,2,0,0,26,31,18532,A. Auld,M. Modano
Jan 28 '10,video,H,L,,MIN,30-16-6,0,1,0,2,0,5,0,0,29,26,11597,J. Harding,M. Havlat
Jan 24 '10,video,H,W,,DAL,30-15-6,4,0,2,5,0,4,1,0,36,27,11741,C. Anderson,B. Clark
Jan 22 '10,video,H,W,,NSH,29-15-6,2,1,2,9,1,5,0,0,23,30,12452,C. Anderson,B. Yip
Jan 18 '10,video,H,W,,EDM,28-15-6,6,0,2,5,0,4,0,0,34,24,11232,C. Anderson,J. Liles
Jan 16 '10,video,H,W,,NJD,27-15-6,3,1,0,3,0,4,0,0,28,38,17816,C. Anderson,T. Galiardi
Jan 11 '10,video,R,W,SO,CGY,26-15-6,2,2,1,4,0,4,0,0,21,46,19289,C. Anderson,C. Stewart
Jan 09 '10,video,R,W,SO,BUF,25-15-6,3,3,0,5,1,4,0,0,30,35,18690,C. Anderson,M. Hendricks
Jan 08 '10,video,R,L,,CAR,24-15-6,1,2,0,6,1,4,0,0,30,20,14071,C. Ward,R. Whitney
Jan 06 '10,video,H,L,,NYI,24-14-6,2,3,1,3,1,2,0,0,32,35,13898,D. Roloson,K. Okposo
Jan 02 '10,video,R,W,,CBJ,24-13-6,3,2,1,5,1,3,0,0,37,28,17371,C. Anderson,T. Galiardi
Dec 31 '09,video,R,L,,DET,23-13-6,2,4,2,6,0,3,0,2,22,35,20066,J. Howard,V. Leino
Dec 30 '09,video,R,W,,OTT,23-12-6,4,3,0,2,0,1,0,0,20,30,17823,C. Anderson,R. O'Reilly
Dec 26 '09,video,H,W,,DAL,22-12-6,4,1,0,3,0,1,0,0,33,40,18007,P. Budaj,M. Hejduk
Dec 22 '09,video,H,L,,ANA,21-12-6,2,4,0,3,0,3,0,0,17,43,12171,J. Hiller,R. Getzlaf
Dec 21 '09,video,R,W,,MIN,21-11-6,4,3,0,5,0,4,1,1,21,31,18244,C. Anderson,M. Hendricks
Dec 19 '09,video,H,W,,CBJ,20-11-6,5,2,2,5,2,3,0,0,31,30,11782,C. Anderson,W. Wolski
Dec 15 '09,video,H,L,,WSH,19-11-6,1,6,1,5,1,2,0,0,28,25,14172,J. Theodore,M. Knuble
Dec 13 '09,video,H,W,,CGY,19-10-6,3,2,1,6,1,5,0,0,35,21,11448,C. Anderson,D. Tucker
Dec 11 '09,video,H,W,SO,TBL,18-10-6,1,1,0,3,0,1,0,0,34,22,12188,C. Anderson,W. Wolski
Dec 09 '09,video,H,L,,MIN,17-10-6,0,1,0,6,0,3,0,0,22,22,11435,N. Backstrom,A. Miettinen
Dec 07 '09,video,R,W,,STL,17-9-6,4,0,1,1,0,1,0,0,22,35,19150,P. Budaj,C. Stewart
Dec 05 '09,video,R,W,,CBJ,16-9-6,3,2,0,3,0,5,0,0,19,31,14909,P. Budaj,C. Stewart
Dec 03 '09,video,R,L,,PIT,15-9-6,1,4,1,3,1,4,0,0,16,33,16968,M. Fleury,B. Guerin
Dec 02 '09,video,R,O,SO,FLA,15-8-6,5,5,1,6,3,7,0,0,34,44,12403,S. Clemmensen,S. Weiss
Nov 30 '09,video,R,W,,TBL,15-8-5,3,0,1,5,0,7,0,0,29,33,12214,C. Anderson,M. Duchene
Nov 28 '09,video,H,O,SO,MIN,14-8-5,2,2,1,1,0,4,0,0,22,36,15303,J. Harding,M. Koivu
Nov 27 '09,video,R,L,,MIN,14-8-4,3,5,1,4,2,4,0,0,34,32,18365,N. Backstrom,A. Brunette
Nov 25 '09,video,H,O,OT,NSH,14-7-4,3,4,1,4,2,3,0,0,22,27,12356,P. Rinne,D. Legwand
