Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Jun 24 '13,video,R,W,,BOS,16-7,3,2,0,2,0,4,0,0,31,25,17565,C. Crawford,D. Bolland
Jun 22 '13,video,H,W,,BOS,15-7,3,1,0,2,0,0,0,0,32,25,22274,C. Crawford,P. Kane
Jun 19 '13,video,R,W,OT,BOS,14-7,6,5,1,4,2,5,1,0,47,33,17565,C. Crawford,B. Seabrook
Jun 17 '13,video,R,L,,BOS,13-7,0,2,0,5,1,4,0,0,28,35,17565,T. Rask,D. Paille
Jun 15 '13,video,H,L,OT,BOS,13-6,1,2,0,3,0,2,0,0,34,28,22154,T. Rask,D. Paille
Jun 12 '13,video,H,W,OT,BOS,13-5,4,3,0,3,1,3,0,0,63,54,22110,C. Crawford,A. Shaw
Jun 08 '13,video,H,W,OT,LAK,12-5,4,3,0,2,1,2,0,1,35,36,22237,C. Crawford,P. Kane
Jun 06 '13,video,R,W,,LAK,11-5,3,2,0,4,0,3,0,0,28,21,18621,C. Crawford,M. Hossa
Jun 04 '13,video,R,L,,LAK,10-5,1,3,0,2,0,5,0,0,20,28,18477,J. Quick,S. Voynov
Jun 02 '13,video,H,W,,LAK,10-4,4,2,1,2,1,5,0,0,26,31,21824,C. Crawford,B. Bickell
Jun 01 '13,video,H,W,,LAK,9-4,2,1,0,4,0,2,0,0,36,22,21535,C. Crawford,M. Hossa
May 29 '13,video,H,W,OT,DET,8-4,2,1,0,4,0,2,0,0,35,27,22103,C. Crawford,B. Seabrook
May 27 '13,video,R,W,,DET,7-4,4,3,1,5,0,3,0,0,28,38,20066,C. Crawford,M. Frolik
May 25 '13,video,H,W,,DET,6-4,4,1,2,3,0,4,0,0,45,26,22014,C. Crawford,A. Shaw
May 23 '13,video,R,L,,DET,5-4,0,2,0,3,1,3,0,0,28,27,20066,J. Howard,J. Kindl
May 20 '13,video,R,L,,DET,5-3,1,3,0,4,0,5,0,0,40,30,20066,J. Howard,D. Miller
May 18 '13,video,H,L,,DET,5-2,1,4,0,2,0,4,0,0,20,30,21822,J. Howard,B. Smith
May 15 '13,video,H,W,,DET,5-1,4,1,1,3,0,3,0,0,42,21,21494,C. Crawford,J. Oduya
May 09 '13,video,H,W,,MIN,4-1,5,1,1,2,0,2,0,0,33,22,21597,C. Crawford,M. Kruger
May 07 '13,video,R,W,,MIN,3-1,3,0,0,2,0,6,0,0,24,25,19378,C. Crawford,P. Sharp
May 05 '13,video,R,L,OT,MIN,2-1,2,3,0,2,0,3,0,0,27,37,19238,J. Harding,J. Zucker
May 03 '13,video,H,W,,MIN,2-0,5,2,0,4,0,2,1,0,48,28,22012,C. Crawford,P. Sharp
Apr 30 '13,video,H,W,OT,MIN,1-0,2,1,1,3,0,4,0,0,37,27,21428,C. Crawford,B. Bickell
