Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 08 '17,video,R,O,OT,LAK,50-23-9,2,3,0,3,1,2,0,0,27,26,18230,J. Quick,D. Doughty
Apr 06 '17,video,R,L,,ANA,50-23-8,0,4,0,3,1,3,0,0,37,26,16462,J. Gibson,C. Perry
Apr 04 '17,video,R,O,OT,COL,50-22-8,3,4,1,3,0,4,0,2,27,51,16203,C. Pickard,E. Johnson
Apr 02 '17,video,H,L,,BOS,50-22-7,2,3,0,3,1,1,0,0,43,29,22131,A. Khudobin,K. Miller
Mar 31 '17,video,H,W,,CBJ,50-21-7,3,1,1,3,0,4,0,0,24,33,22112,C. Crawford,M. Hossa
Mar 29 '17,video,R,W,,PIT,49-21-7,5,1,0,4,0,2,0,0,36,32,18657,C. Crawford,R. Panik
Mar 27 '17,video,R,O,OT,TBL,48-21-7,4,5,0,3,2,3,0,0,32,30,19092,A. Vasilevskiy,Y. Gourde
Mar 25 '17,video,R,L,,FLA,48-21-6,0,7,0,3,1,5,0,0,25,31,18625,J. Reimer,A. Barkov
Mar 23 '17,video,H,W,SO,DAL,48-20-6,2,2,1,4,0,3,0,0,26,44,21798,C. Crawford,A. Panarin
Mar 21 '17,video,H,O,OT,VAN,47-20-6,4,5,2,6,1,2,0,0,44,15,21607,R. Miller,D. Sedin
Mar 19 '17,video,H,W,,COL,47-20-5,6,3,0,1,0,0,0,0,34,25,22070,S. Darling,A. Panarin
Mar 18 '17,video,R,W,OT,TOR,46-20-5,2,1,0,0,0,1,0,0,39,26,19505,C. Crawford,R. Hartman
Mar 16 '17,video,R,W,,OTT,45-20-5,2,1,1,4,1,4,0,0,28,34,18638,S. Darling,R. Panik
Mar 14 '17,video,R,W,,MTL,44-20-5,4,2,0,1,0,2,0,0,24,42,21288,C. Crawford,A. Panarin
Mar 12 '17,video,H,W,,MIN,43-20-5,4,2,0,3,0,1,0,0,22,44,22147,C. Crawford,T. van Riemsdyk
Mar 10 '17,video,R,L,,DET,42-20-5,2,4,0,2,0,3,0,0,26,29,20027,J. Howard,T. Tatar
Mar 09 '17,video,H,L,,ANA,42-19-5,0,1,0,2,0,2,0,0,43,26,21838,J. Bernier,C. Perry
Mar 04 '17,video,R,W,,NSH,42-18-5,5,3,2,2,0,1,0,0,33,35,17297,C. Crawford,B. Campbell
Mar 03 '17,video,H,W,SO,NYI,41-18-5,1,1,0,2,0,3,0,0,31,32,21883,C. Crawford,J. Toews
Mar 01 '17,video,H,W,,PIT,40-18-5,4,1,0,1,0,0,0,0,29,37,22012,S. Darling,R. Panik
Feb 26 '17,video,H,W,,STL,39-18-5,4,2,1,2,1,2,0,0,42,32,21961,S. Darling,A. Anisimov
Feb 23 '17,video,H,W,,ARI,38-18-5,6,3,0,2,0,4,0,0,29,37,21781,C. Crawford,M. Rozsival
Feb 21 '17,video,R,W,,MIN,37-18-5,5,3,0,2,2,2,0,0,39,32,19333,C. Crawford,J. Toews
Feb 19 '17,video,R,W,,BUF,36-18-5,5,1,0,3,0,4,0,0,37,26,19070,S. Darling,M. Hossa
Feb 18 '17,video,H,L,,EDM,35-18-5,1,3,0,3,1,2,0,0,39,22,22075,C. Talbot,M. Lucic
Feb 11 '17,video,R,W,,EDM,35-17-5,5,1,2,2,0,2,0,0,25,31,18347,S. Darling,P. Kane
Feb 10 '17,video,R,W,,WPG,34-17-5,5,2,0,2,1,3,1,0,36,30,15294,C. Crawford,D. Keith
Feb 08 '17,video,R,W,OT,MIN,33-17-5,4,3,1,2,0,2,0,0,32,38,19326,C. Crawford,J. Toews
Feb 04 '17,video,R,W,,DAL,32-17-5,5,3,1,2,0,3,0,0,36,34,18532,C. Crawford,T. van Riemsdyk
Feb 02 '17,video,R,W,,ARI,31-17-5,4,3,2,4,1,5,0,0,26,27,17125,C. Crawford,A. Panarin
Jan 31 '17,video,R,L,,SJS,30-17-5,1,3,0,3,1,3,0,0,25,29,17424,M. Jones,T. Hertl
Jan 26 '17,video,H,L,,WPG,30-16-5,3,5,1,5,1,5,0,0,41,33,21746,C. Hellebuyck,B. Little
Jan 24 '17,video,H,L,,TBL,30-15-5,2,5,0,3,0,2,0,0,36,36,21617,A. Vasilevskiy,T. Johnson
Jan 22 '17,video,H,W,,VAN,30-14-5,4,2,0,1,1,3,0,0,35,28,21689,C. Crawford,J. Toews
Jan 20 '17,video,R,W,,BOS,29-14-5,1,0,0,3,0,2,0,0,22,30,17565,S. Darling,M. Hossa
Jan 17 '17,video,R,W,,COL,28-14-5,6,4,0,1,1,2,0,0,27,23,18007,C. Crawford,V. Hinostroza
Jan 15 '17,video,H,L,,MIN,27-14-5,2,3,0,2,1,1,0,0,35,32,22051,D. Dubnyk,J. Pominville
Jan 13 '17,video,R,L,,WSH,27-13-5,0,6,0,2,0,0,0,0,24,34,18506,B. Holtby,J. Beagle
Jan 10 '17,video,H,W,OT,DET,27-12-5,4,3,2,6,0,1,0,0,43,36,22019,C. Crawford,D. Keith
Jan 08 '17,video,H,W,,NSH,26-12-5,5,2,0,1,0,3,0,0,31,27,21658,C. Crawford,R. Hartman
Jan 06 '17,video,H,W,,CAR,25-12-5,2,1,1,3,0,3,0,0,24,40,21822,S. Darling,A. Panarin
Jan 05 '17,video,H,W,OT,BUF,24-12-5,4,3,0,2,2,3,0,0,43,20,21824,C. Crawford,P. Kane
Jan 02 '17,video,R,L,,STL,23-12-5,1,4,0,3,0,4,0,0,23,35,46556,J. Allen,V. Tarasenko
Dec 30 '16,video,R,L,,CAR,23-11-5,2,3,0,1,0,1,0,0,29,28,18016,C. Ward,J. McClement
Dec 29 '16,video,R,W,,NSH,23-10-5,3,2,2,5,1,4,0,0,23,38,17229,C. Crawford,P. Kane
Dec 27 '16,video,H,L,,WPG,22-10-5,1,3,0,3,0,1,0,0,35,34,22117,C. Hellebuyck,M. Scheifele
Dec 23 '16,video,H,O,OT,COL,22-9-5,1,2,1,4,0,1,0,0,39,34,21918,C. Pickard,N. MacKinnon
Dec 20 '16,video,H,L,,OTT,22-9-4,3,4,1,3,1,5,0,0,26,30,21614,M. Condon,D. Phaneuf
Dec 18 '16,video,H,W,,SJS,22-8-4,4,1,0,2,0,2,0,0,26,34,22027,S. Darling,R. Hartman
Dec 17 '16,video,R,W,,STL,21-8-4,6,4,0,3,0,0,0,0,36,27,19197,S. Darling,V. Hinostroza
Dec 15 '16,video,R,W,,NYI,20-8-4,5,4,3,3,0,2,0,0,32,32,12504,S. Darling,R. Panik
Dec 13 '16,video,R,W,,NYR,19-8-4,2,1,0,1,0,0,0,0,26,34,18006,S. Darling,A. Anisimov
Dec 11 '16,video,H,W,,DAL,18-8-4,3,1,1,3,0,2,0,0,27,24,21451,S. Darling,A. Anisimov
Dec 09 '16,video,H,O,OT,NYR,17-8-4,0,1,0,1,0,2,0,0,26,37,21770,A. Raanta,N. Holden
Dec 06 '16,video,H,W,,ARI,17-8-3,4,0,1,3,0,2,0,0,27,22,21327,S. Darling,A. Anisimov
Dec 04 '16,video,H,L,,WPG,16-8-3,1,2,0,3,1,2,0,0,26,32,21383,C. Hellebuyck,A. Copp
Dec 03 '16,video,R,L,,PHI,16-7-3,1,3,0,1,0,3,0,0,27,30,19487,S. Mason,I. Provorov
Dec 01 '16,video,H,W,OT,NJD,16-6-3,4,3,0,4,1,2,0,0,33,33,21351,C. Crawford,M. Hossa
Nov 29 '16,video,H,W,SO,FLA,15-6-3,1,1,0,2,1,3,0,0,33,39,21475,C. Crawford,A. Panarin
Nov 26 '16,video,R,O,OT,LAK,14-6-3,1,2,0,3,0,3,0,0,19,29,18435,P. Budaj,J. Carter
Nov 25 '16,video,R,W,,ANA,14-6-2,3,2,1,2,0,2,0,0,25,36,17174,C. Crawford,R. Hartman
Nov 23 '16,video,R,L,,SJS,13-6-2,1,2,0,2,1,4,0,1,34,35,17501,M. Jones,J. Ward
Nov 21 '16,video,R,L,,EDM,13-5-2,0,5,0,2,2,4,0,0,31,27,18347,C. Talbot,O. Klefbom
Nov 19 '16,video,R,W,OT,VAN,13-4-2,4,3,0,3,1,2,0,1,32,27,18865,S. Darling,M. Hossa
Nov 18 '16,video,R,W,,CGY,12-4-2,3,2,1,1,0,5,0,0,24,30,18691,C. Crawford,M. Hossa
