Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
May 17 '99,,H,L,OT,DAL,6-7,1,2,0,3,0,4,0,0,29,29,20355,E. Belfour,M. Modano
May 15 '99,,R,L,,DAL,6-6,1,3,0,4,2,5,0,1,31,16,17001,E. Belfour,J. Langenbrunner
May 12 '99,,H,W,OT,DAL,6-5,3,2,1,7,0,5,0,0,30,25,20341,G. Fuhr,P. Turgeon
May 10 '99,,H,W,OT,DAL,5-5,3,2,0,6,1,5,0,0,28,18,19826,G. Fuhr,P. Demitra
May 08 '99,,R,L,OT,DAL,4-5,4,5,1,3,0,4,0,0,34,25,17001,E. Belfour,J. Nieuwendyk
May 06 '99,,R,L,,DAL,4-4,0,3,0,5,0,7,0,1,23,25,17001,E. Belfour,P. Verbeek
May 04 '99,,R,W,OT,PHX,4-3,1,0,0,4,0,4,0,0,35,35,16210,G. Fuhr,P. Turgeon
May 02 '99,,H,W,,PHX,3-3,5,3,2,5,1,4,0,0,34,21,16629,G. Fuhr,J. Finley
Apr 30 '99,,R,W,OT,PHX,2-3,2,1,1,6,1,6,0,0,43,27,16210,G. Fuhr,S. Young
Apr 27 '99,,H,L,,PHX,1-3,1,2,0,4,1,3,0,0,28,20,19529,N. Khabibulin,D. Drake
Apr 25 '99,,H,L,,PHX,1-2,4,5,3,7,1,12,0,0,38,18,17539,N. Khabibulin,S. Doan
Apr 24 '99,,R,L,OT,PHX,1-1,3,4,2,4,1,6,0,0,34,28,16210,N. Khabibulin,S. Doan
Apr 22 '99,,R,W,,PHX,1-0,3,1,1,3,0,6,0,0,25,27,16210,G. Fuhr,J. Rivers
