Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 07 '18,video,R,L,,COL,44-32-6,2,5,1,2,1,3,0,0,34,39,18087,J. Bernier,N. MacKinnon
Apr 06 '18,video,R,W,,CHI,44-31-6,4,1,0,1,0,1,0,0,35,20,22218,C. Hutton,P. Berglund
Apr 04 '18,video,H,L,,CHI,43-31-6,3,4,0,2,1,2,0,1,34,26,18935,J. Berube,D. Keith
Apr 02 '18,video,H,L,,WSH,43-30-6,2,4,0,4,1,2,0,0,36,34,18841,B. Holtby,A. Burakovsky
Mar 31 '18,video,R,L,,ARI,43-29-6,0,6,0,1,1,2,0,0,34,33,17380,A. Raanta,L. Schenn
Mar 30 '18,video,R,O,OT,VGK,43-28-6,3,4,0,2,0,1,0,1,24,26,18191,M. Subban,J. Marchessault
Mar 27 '18,video,H,W,OT,SJS,43-28-5,3,2,1,1,1,2,0,0,32,24,18947,J. Allen,V. Tarasenko
Mar 24 '18,video,R,W,,CBJ,42-28-5,2,1,0,2,0,3,0,0,28,34,19080,J. Allen,V. Tarasenko
Mar 23 '18,video,H,W,,VAN,41-28-5,4,1,0,3,0,3,1,0,25,20,17724,J. Allen,P. Berglund
Mar 21 '18,video,H,W,OT,BOS,40-28-5,2,1,0,2,1,2,0,0,20,22,18423,J. Allen,J. Schwartz
Mar 18 '18,video,R,W,OT,CHI,39-28-5,5,4,2,3,1,1,0,0,41,30,21687,J. Allen,P. Berglund
Mar 17 '18,video,H,W,OT,NYR,38-28-5,4,3,1,3,1,2,0,0,33,20,18975,J. Allen,B. Schenn
Mar 15 '18,video,H,L,,COL,37-28-5,1,4,0,2,0,1,0,0,45,23,18885,S. Varlamov,N. MacKinnon
Mar 12 '18,video,R,W,,ANA,37-27-5,4,2,0,1,0,1,0,0,23,22,16312,J. Allen,V. Sobotka
Mar 10 '18,video,R,W,,LAK,36-27-5,7,2,0,3,1,3,0,0,43,40,18230,J. Allen,A. Pietrangelo
Mar 08 '18,video,R,L,,SJS,35-27-5,0,2,0,1,1,2,0,0,16,36,17400,M. Jones,M. Boedker
Mar 03 '18,video,R,O,OT,DAL,35-26-5,2,3,0,4,0,1,0,0,37,34,18321,B. Bishop,J. Benn
Feb 28 '18,video,H,W,,DET,35-26-4,2,1,0,1,0,2,0,0,25,36,18813,C. Hutton,A. Pietrangelo
Feb 27 '18,video,R,L,,MIN,34-26-4,3,8,1,6,2,6,0,0,25,33,19261,D. Dubnyk,E. Staal
Feb 25 '18,video,R,L,,NSH,34-25-4,0,4,0,5,1,2,0,1,27,39,17523,P. Rinne,C. Sissons
Feb 23 '18,video,H,L,,WPG,34-24-4,0,4,0,4,1,5,0,0,34,23,18912,C. Hellebuyck,N. Petan
Feb 20 '18,video,H,L,,SJS,34-23-4,2,3,1,3,0,2,0,0,33,23,17297,M. Jones,M. Boedker
Feb 16 '18,video,R,L,,DAL,34-22-4,1,2,1,5,1,4,0,0,29,16,18532,B. Bishop,S. Johns
Feb 13 '18,video,R,O,OT,NSH,34-21-4,3,4,1,3,0,3,0,1,31,33,17221,P. Rinne,F. Forsberg
Feb 11 '18,video,H,L,,PIT,34-21-3,1,4,0,3,0,2,0,0,34,23,18975,M. Murray,B. Rust
Feb 09 '18,video,R,W,,WPG,34-20-3,5,2,0,2,1,4,1,0,27,22,15321,J. Allen,A. Steen
Feb 08 '18,video,H,W,,COL,33-20-3,6,1,1,2,0,5,0,0,31,24,18951,C. Hutton,I. Barbashev
Feb 06 '18,video,H,L,,MIN,32-20-3,2,6,0,3,2,3,0,0,37,20,17821,D. Dubnyk,M. Koivu
Feb 03 '18,video,R,W,,BUF,32-19-3,1,0,0,1,0,4,0,0,33,27,18777,C. Hutton,C. Gunnarsson
