Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
May 14 '14,video,H,L,,MTL,7-5,1,3,1,3,1,5,0,0,30,18,17565,C. Price,M. Pacioretty
May 12 '14,video,R,L,,MTL,7-4,0,4,0,3,1,4,0,0,26,28,21273,C. Price,L. Eller
May 10 '14,video,H,W,,MTL,7-3,4,2,2,4,2,5,0,0,30,31,17565,T. Rask,J. Iginla
May 08 '14,video,R,W,OT,MTL,6-3,1,0,0,2,0,1,0,0,35,33,21273,T. Rask,M. Fraser
May 06 '14,video,R,L,,MTL,5-3,2,4,0,1,0,1,0,0,28,26,21273,C. Price,D. Weise
May 03 '14,video,H,W,,MTL,5-2,5,3,0,3,2,6,0,0,35,28,17565,T. Rask,R. Smith
May 01 '14,video,H,L,OT,MTL,4-2,3,4,0,2,2,3,0,0,51,33,17565,C. Price,P. Subban
Apr 26 '14,video,H,W,,DET,4-1,4,2,2,6,1,7,0,0,33,33,17565,T. Rask,M. Lucic
Apr 24 '14,video,R,W,OT,DET,3-1,3,2,1,2,1,4,0,0,40,37,20066,T. Rask,J. Iginla
Apr 22 '14,video,R,W,,DET,2-1,3,0,1,3,0,3,0,0,34,23,20066,T. Rask,D. Hamilton
Apr 20 '14,video,H,W,,DET,1-1,4,1,2,4,0,4,0,0,29,35,17565,T. Rask,R. Smith
Apr 18 '14,video,H,L,,DET,0-1,0,1,0,1,0,2,0,0,25,24,17565,J. Howard,P. Datsyuk
