Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 09 '16,,H,L,,OTT,42-31-9,1,6,0,4,0,0,0,2,40,36,17565,A. Hammond,Z. Smith
Apr 07 '16,video,H,W,,DET,42-30-9,5,2,1,4,0,4,0,0,34,15,17565,T. Rask,T. Krug
Apr 05 '16,video,H,O,SO,CAR,41-30-9,1,1,0,3,0,3,0,0,36,28,17565,C. Ward,N. Hanifin
Apr 03 '16,video,R,L,,CHI,41-30-8,4,6,0,1,2,3,0,0,46,34,22156,S. Darling,A. Panarin
Apr 01 '16,video,R,W,,STL,41-29-8,6,5,2,4,0,5,0,0,28,30,19202,T. Rask,P. Bergeron
Mar 29 '16,video,R,L,,NJD,40-29-8,1,2,0,2,2,5,0,0,40,15,15486,K. Kinkaid,R. Boucher
Mar 26 '16,,R,W,,TOR,40-28-8,3,1,2,4,0,2,0,0,33,26,19185,T. Rask,Z. Chara
Mar 24 '16,video,H,L,,FLA,39-28-8,1,4,0,4,0,4,0,1,35,36,17565,R. Luongo,V. Trocheck
Mar 23 '16,video,R,L,,NYR,39-27-8,2,5,0,2,2,6,0,0,41,24,18006,H. Lundqvist,D. Brassard
Mar 19 '16,video,R,L,,LAK,39-26-8,1,2,0,4,0,2,0,0,28,20,18373,J. Quick,A. Martinez
Mar 18 '16,video,R,L,,ANA,39-25-8,0,4,0,2,0,2,0,0,38,26,16707,F. Andersen,J. McGinn
Mar 15 '16,video,R,L,,SJS,39-24-8,2,3,0,1,1,4,1,0,23,27,16624,J. Reimer,J. Donskoi
Mar 12 '16,video,H,W,,NYI,39-23-8,3,1,1,1,0,0,0,0,31,26,17565,T. Rask,D. Pastrnak
Mar 10 '16,video,H,O,OT,CAR,38-23-8,2,3,1,2,1,3,0,0,32,28,17565,C. Ward,P. Di Giuseppe
Mar 08 '16,video,R,W,OT,TBL,38-23-7,1,0,0,0,0,4,0,0,33,42,19092,J. Gustavsson,B. Marchand
Mar 07 '16,video,R,W,OT,FLA,37-23-7,5,4,0,2,1,4,0,0,32,51,19194,T. Rask,L. Stempniak
Mar 05 '16,video,H,O,OT,WSH,36-23-7,1,2,0,5,0,3,0,0,34,30,17565,P. Grubauer,M. Niskanen
Mar 03 '16,video,H,W,,CHI,36-23-6,4,2,1,2,1,2,0,0,25,27,17565,T. Rask,R. Spooner
Mar 01 '16,video,H,W,,CGY,35-23-6,2,1,1,5,0,4,0,0,25,25,17565,T. Rask,P. Bergeron
Feb 28 '16,video,H,L,,TBL,34-23-6,1,4,0,6,2,3,0,0,33,30,17565,B. Bishop,R. Callahan
Feb 26 '16,video,R,W,,CAR,34-22-6,4,1,0,1,1,3,0,0,22,40,17917,T. Rask,M. Beleskey
Feb 24 '16,video,H,W,,PIT,33-22-6,5,1,0,0,0,1,0,0,29,42,17565,T. Rask,D. Pastrnak
Feb 22 '16,video,H,L,,CBJ,32-22-6,4,6,0,2,2,3,0,0,30,35,17565,J. Korpisalo,B. Saad
Feb 20 '16,video,R,W,,DAL,32-21-6,7,3,3,6,0,1,0,0,42,29,18532,T. Rask,L. Eriksson
Feb 18 '16,video,R,L,,NSH,31-21-6,0,2,0,4,0,2,0,0,29,24,17113,P. Rinne,C. Smith
Feb 16 '16,video,R,W,OT,CBJ,31-20-6,2,1,0,4,0,3,0,0,30,29,13140,T. Rask,L. Eriksson
Feb 14 '16,video,R,L,,DET,30-20-6,5,6,0,2,2,5,1,0,22,35,20027,P. Mrazek,D. DeKeyser
Feb 13 '16,video,R,W,,MIN,30-19-6,4,2,0,6,0,5,1,0,19,33,19191,J. Gustavsson,L. Eriksson
Feb 11 '16,video,R,W,,WPG,29-19-6,6,2,0,3,1,5,0,0,39,36,15294,T. Rask,B. Marchand
Feb 09 '16,video,H,L,,LAK,28-19-6,2,9,1,3,3,3,0,0,37,57,17565,J. Quick,A. Andreoff
Feb 06 '16,video,H,W,OT,BUF,28-18-6,2,1,0,2,0,3,0,0,38,38,17565,T. Rask,B. Marchand
Feb 04 '16,video,R,W,SO,BUF,27-18-6,2,2,0,4,0,3,0,0,33,28,18845,T. Rask,R. Spooner
Feb 02 '16,video,H,O,OT,TOR,26-18-6,3,4,0,4,1,3,0,0,42,35,17565,J. Reimer,P. Parenteau
Jan 26 '16,video,H,L,,ANA,26-18-5,2,6,0,4,1,4,0,0,34,39,17565,F. Andersen,D. Perron
Jan 25 '16,video,R,W,,PHI,26-17-5,3,2,2,4,1,4,0,0,31,36,19738,T. Rask,B. Connolly
Jan 23 '16,video,H,W,SO,CBJ,25-17-5,2,2,0,5,0,4,0,0,34,33,17565,J. Gustavsson,R. Spooner
Jan 21 '16,video,H,L,,VAN,24-17-5,2,4,0,0,0,0,0,0,30,27,17565,J. Markstrom,D. Sedin
Jan 19 '16,video,R,W,,MTL,24-16-5,4,1,0,3,0,5,0,0,24,39,21288,T. Rask,P. Bergeron
Jan 16 '16,video,H,W,,TOR,23-16-5,3,2,0,1,0,5,0,0,45,29,17565,T. Rask,B. Marchand
Jan 15 '16,video,R,W,,BUF,22-16-5,4,1,0,2,0,4,0,0,31,34,18704,J. Gustavsson,Z. Chara
Jan 13 '16,video,R,L,,PHI,21-16-5,2,3,1,2,0,3,0,0,32,21,19704,S. Mason,M. Streit
Jan 11 '16,video,R,L,,NYR,21-15-5,1,2,0,1,0,0,0,0,33,30,18006,H. Lundqvist,J. Fast
Jan 09 '16,video,R,O,OT,OTT,21-14-5,1,2,0,1,0,2,0,0,34,40,19125,C. Anderson,M. Stone
Jan 08 '16,video,R,W,,NJD,21-14-4,4,1,1,3,0,2,0,0,31,20,16514,J. Gustavsson,R. Spooner
Jan 05 '16,video,H,L,,WSH,20-14-4,2,3,1,4,1,3,0,0,27,29,17565,B. Holtby,M. Johansson
Jan 01 '16,video,H,L,,MTL,20-13-4,1,5,0,3,0,4,0,0,28,30,67246,M. Condon,P. Byron
Dec 29 '15,video,H,W,,OTT,20-12-4,7,3,4,7,0,4,0,0,37,32,17565,T. Rask,P. Bergeron
Dec 27 '15,video,R,L,,OTT,19-12-4,1,3,0,2,1,2,0,0,39,22,20061,C. Anderson,M. Zibanejad
Dec 26 '15,video,H,L,,BUF,19-11-4,3,6,0,3,0,3,0,0,33,29,17565,C. Johnson,J. McGinn
Dec 22 '15,video,H,L,,STL,19-10-4,0,2,0,0,0,1,0,0,32,29,17565,J. Allen,V. Tarasenko
Dec 20 '15,video,H,W,SO,NJD,19-9-4,1,1,0,1,0,2,0,0,39,30,17565,J. Gustavsson,R. Spooner
Dec 18 '15,video,R,W,,PIT,18-9-4,6,2,1,4,0,5,1,0,34,32,18585,T. Rask,L. Eriksson
Dec 16 '15,video,H,W,,PIT,17-9-4,3,0,1,4,0,3,0,0,29,34,17565,T. Rask,M. Talbot
Dec 14 '15,video,H,O,OT,EDM,16-9-4,2,3,0,3,0,3,0,0,49,24,17565,C. Talbot,A. Sekera
Dec 12 '15,video,H,W,,FLA,16-9-3,3,1,1,1,0,1,0,0,25,27,17565,T. Rask,R. Spooner
Dec 09 '15,video,R,W,,MTL,15-9-3,3,1,0,2,0,3,1,0,23,33,21288,T. Rask,L. Ferraro
Dec 07 '15,video,H,L,,NSH,14-9-3,2,3,1,3,2,7,0,0,17,33,17565,C. Hutton,V. Arvidsson
Dec 05 '15,video,R,W,,VAN,14-8-3,4,0,0,1,0,3,0,0,22,17,18570,T. Rask,B. Marchand
Dec 04 '15,video,R,O,OT,CGY,13-8-3,4,5,0,1,0,4,1,0,38,37,19289,K. Ramo,J. Gaudreau
Dec 02 '15,video,R,O,SO,EDM,13-8-2,2,2,0,2,0,5,0,1,40,36,16839,A. Nilsson,J. Eberle
Nov 27 '15,video,H,W,,NYR,13-8-1,4,3,2,3,1,3,0,0,34,27,17565,T. Rask,D. Krejci
Nov 25 '15,video,R,W,OT,DET,12-8-1,3,2,0,3,0,3,0,0,22,34,20027,J. Gustavsson,F. Vatrano
Nov 23 '15,video,R,W,SO,TOR,11-8-1,3,3,0,3,0,6,1,0,29,42,19609,T. Rask,D. Krejci
Nov 21 '15,video,H,W,,TOR,10-8-1,2,0,0,1,0,1,0,0,37,22,17565,T. Rask,Z. Chara
Nov 19 '15,video,H,W,,MIN,9-8-1,4,2,1,4,0,3,0,0,38,26,17565,J. Gustavsson,L. Eriksson
Nov 17 '15,video,H,L,,SJS,8-8-1,4,5,2,3,2,5,0,0,29,28,17565,M. Jones,J. Thornton
Nov 14 '15,video,H,W,,DET,8-7-1,3,1,0,1,1,3,0,0,31,23,17565,T. Rask,D. Krejci
Nov 12 '15,video,H,L,,COL,7-7-1,2,3,1,2,0,3,0,0,27,30,17565,R. Berra,M. Duchene
Nov 08 '15,video,R,W,,NYI,7-6-1,2,1,1,3,1,7,0,0,27,37,13197,T. Rask,P. Bergeron
Nov 07 '15,video,R,L,,MTL,6-6-1,2,4,1,5,2,3,0,0,31,33,21288,M. Condon,D. Desharnais
Nov 05 '15,video,R,L,,WSH,6-5-1,1,4,1,2,1,4,0,0,29,31,18506,B. Holtby,B. Laich
Nov 03 '15,video,H,L,,DAL,6-4-1,3,5,1,4,3,4,0,0,39,19,17565,K. Lehtonen,T. Seguin
Oct 31 '15,video,R,W,,TBL,6-3-1,3,1,1,3,1,5,0,0,34,22,19092,J. Gustavsson,B. Connolly
Oct 30 '15,video,R,W,,FLA,5-3-1,3,1,2,3,1,6,0,0,30,32,14112,T. Rask,B. Marchand
Oct 27 '15,video,H,W,,ARI,4-3-1,6,0,1,4,0,3,0,0,27,24,17565,T. Rask,D. Krejci
Oct 23 '15,video,R,W,,NYI,3-3-1,5,3,0,3,1,2,0,0,26,26,13113,J. Gustavsson,R. Spooner
Oct 21 '15,video,H,O,OT,PHI,2-3-1,4,5,1,3,1,2,1,0,30,37,17565,S. Mason,C. Giroux
Oct 17 '15,video,R,W,,ARI,2-3-0,5,3,3,6,1,4,1,0,43,23,13411,T. Rask,P. Bergeron
Oct 14 '15,video,R,W,,COL,1-3-0,6,2,0,2,1,4,0,0,25,22,15082,J. Gustavsson,T. Randell
Oct 12 '15,video,H,L,,TBL,0-3-0,3,6,3,4,2,4,0,0,30,23,17565,B. Bishop,S. Stamkos
Oct 10 '15,video,H,L,,MTL,0-2-0,2,4,1,4,1,6,0,0,21,38,17565,C. Price,L. Eller
Oct 08 '15,video,H,L,,WPG,0-1-0,2,6,0,2,0,0,0,0,31,32,17565,O. Pavelec,D. Stafford
