Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
24 May '10,video,R,L,,PHI,9-10,2,4,0,6,0,6,0,1,27,26,19986,M. Leighton,J. Carter
22 May '10,video,H,L,,PHI,9-9,0,3,0,2,0,3,0,0,17,25,21273,M. Leighton,C. Giroux
20 May '10,video,H,W,,PHI,9-8,5,1,1,6,0,3,0,0,38,26,21273,J. Halak,T. Pyatt
18 May '10,video,R,L,,PHI,8-8,0,3,0,4,2,4,0,0,30,23,19907,M. Leighton,D. Briere
16 May '10,video,R,L,,PHI,8-7,0,6,0,4,2,6,0,0,28,25,19927,M. Leighton,B. Coburn
12 May '10,video,R,W,,PIT,8-6,5,2,2,4,0,6,1,0,20,39,17132,J. Halak,M. Cammalleri
10 May '10,video,H,W,,PIT,7-6,4,3,0,3,1,5,0,0,25,37,21273,J. Halak,M. Lapierre
08 May '10,video,R,L,,PIT,6-6,1,2,1,3,1,3,0,0,33,25,17132,M. Fleury,S. Gonchar
06 May '10,video,H,W,,PIT,6-5,3,2,0,2,1,4,0,0,25,35,21273,J. Halak,B. Gionta
04 May '10,video,H,L,,PIT,5-5,0,2,0,2,1,4,0,0,18,25,21273,M. Fleury,E. Malkin
02 May '10,video,R,W,,PIT,5-4,3,1,1,3,0,3,0,0,21,39,17132,J. Halak,M. Cammalleri
30 Apr '10,video,R,L,,PIT,4-4,3,6,1,4,4,4,0,0,31,24,17132,M. Fleury,C. Adams
28 Apr '10,video,R,W,,WSH,4-3,2,1,1,3,0,3,0,0,16,42,18377,J. Halak,D. Moore
26 Apr '10,video,H,W,,WSH,3-3,4,1,1,5,0,6,0,0,22,54,21273,J. Halak,M. Cammalleri
23 Apr '10,video,R,W,,WSH,2-3,2,1,0,6,0,5,0,0,28,38,18377,J. Halak,T. Moen
21 Apr '10,video,H,L,,WSH,1-3,3,6,1,4,1,5,0,1,39,38,21273,S. Varlamov,J. Chimera
19 Apr '10,video,H,L,,WSH,1-2,1,5,1,5,0,7,0,1,27,36,21273,S. Varlamov,B. Laich
17 Apr '10,video,R,L,OT,WSH,1-1,5,6,1,3,0,3,0,0,24,37,18377,S. Varlamov,N. Backstrom
15 Apr '10,video,R,W,OT,WSH,1-0,3,2,1,4,0,4,0,0,38,47,18377,J. Halak,T. Plekanec
