Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
07 Apr '18,video,R,L,,TOR,29-40-13,2,4,1,4,2,5,0,0,33,30,19525,F. Andersen,N. Kadri
05 Apr '18,video,R,W,,DET,29-39-13,4,3,0,1,0,3,0,0,28,26,19515,A. Niemi,A. Lehkonen
03 Apr '18,video,H,O,OT,WPG,28-39-13,4,5,1,5,1,2,0,0,40,32,21302,S. Mason,K. Connor
01 Apr '18,video,H,L,,NJD,28-39-12,1,2,1,4,0,5,0,1,26,32,21302,K. Kinkaid,T. Hall
31 Mar '18,video,R,L,,PIT,28-38-12,2,5,1,1,3,5,0,0,26,33,18636,M. Murray,C. Hagelin
26 Mar '18,video,H,W,,DET,28-37-12,4,2,2,3,0,1,0,0,31,28,21302,C. Price,B. Gallagher
24 Mar '18,video,H,L,,WSH,27-37-12,4,6,1,3,2,3,0,0,21,30,21302,P. Grubauer,E. Kuznetsov
23 Mar '18,video,R,W,,BUF,27-36-12,3,0,0,2,0,2,0,0,24,35,18594,A. Niemi,A. Lehkonen
21 Mar '18,video,R,L,,PIT,26-36-12,3,5,0,3,2,3,1,0,30,39,18574,C. DeSmith,D. Brassard
19 Mar '18,video,H,L,,FLA,26-35-12,0,2,0,5,0,2,0,0,28,40,21302,R. Luongo,A. Ekblad
17 Mar '18,video,R,L,,TOR,26-34-12,0,4,0,1,2,4,0,0,33,49,19364,C. McElhinney,W. Nylander
15 Mar '18,video,H,L,,PIT,26-33-12,3,5,1,1,1,2,0,0,20,39,21302,T. Jarry,P. Hornqvist
13 Mar '18,video,H,W,,DAL,26-32-12,4,2,3,5,1,4,0,0,26,38,21302,A. Niemi,B. Gallagher
12 Mar '18,video,R,L,,CBJ,25-32-12,2,5,0,2,2,3,0,0,40,25,15864,S. Bobrovsky,S. Jones
10 Mar '18,video,R,O,SO,TBL,25-31-12,2,2,1,3,1,4,0,0,29,34,19092,L. Domingue,N. Kucherov
08 Mar '18,video,R,L,,FLA,25-31-11,0,5,0,4,1,2,0,1,40,32,14901,R. Luongo,J. Huberdeau
06 Mar '18,video,R,L,,NJD,25-30-11,4,6,0,2,3,5,0,0,33,33,14586,K. Kinkaid,P. Maroon
03 Mar '18,video,R,O,OT,BOS,25-29-11,1,2,0,4,1,6,0,0,28,50,17565,A. Khudobin,B. Marchand
02 Mar '18,video,R,W,,NYI,25-29-10,6,3,0,3,1,4,0,0,25,35,10685,C. Lindgren,P. Byron
28 Feb '18,video,H,W,,NYI,24-29-10,3,1,1,2,0,2,0,0,26,28,21302,A. Niemi,J. Drouin
26 Feb '18,video,H,O,SO,PHI,23-29-10,0,0,0,1,0,3,0,0,28,33,21302,P. Mrazek,S. Couturier
24 Feb '18,video,H,O,SO,TBL,23-29-9,3,3,1,4,2,5,0,0,32,39,21302,A. Vasilevskiy,B. Point
22 Feb '18,video,H,W,,NYR,23-29-8,3,1,0,5,1,4,0,0,41,32,21302,A. Niemi,J. Petry
20 Feb '18,video,R,O,OT,PHI,22-29-8,2,3,0,0,1,3,0,0,27,33,19336,A. Lyon,J. Voracek
17 Feb '18,video,R,L,,VGK,22-29-7,3,6,1,2,1,2,0,0,33,34,18122,M. Fleury,R. Carpenter
15 Feb '18,video,R,L,,ARI,22-28-7,2,5,1,3,2,2,0,0,36,21,11489,A. Raanta,B. Perlini
14 Feb '18,video,R,L,,COL,22-27-7,0,2,0,4,0,2,0,0,44,25,14928,S. Varlamov,C. Soderberg
10 Feb '18,video,H,O,SO,NSH,22-26-7,2,2,0,3,0,3,0,0,49,32,21302,P. Rinne,R. Ellis
08 Feb '18,video,R,L,,PHI,22-26-6,3,5,1,3,2,4,1,0,28,28,19655,B. Elliott,T. Konecny
04 Feb '18,video,H,W,,OTT,22-25-6,4,1,2,3,0,1,0,0,35,26,21302,C. Price,A. Lehkonen
03 Feb '18,video,H,W,,ANA,21-25-6,5,2,3,7,1,4,0,0,29,45,21302,A. Niemi,D. Schlemko
01 Feb '18,video,R,L,,CAR,20-25-6,0,2,0,1,0,3,0,0,27,30,11953,C. Ward,B. Pesce
30 Jan '18,video,R,L,,STL,20-24-6,1,3,1,3,1,3,0,1,34,31,18149,C. Hutton,P. Berglund
25 Jan '18,video,H,L,,CAR,20-23-6,5,6,1,3,1,2,0,0,31,29,21302,C. Ward,J. Williams
23 Jan '18,video,H,W,,COL,20-22-6,4,2,1,4,0,4,0,0,40,22,21302,C. Price,J. Drouin
20 Jan '18,video,H,L,,BOS,19-22-6,1,4,0,1,0,3,0,0,25,31,21302,T. Rask,T. Krug
19 Jan '18,video,R,W,,WSH,19-21-6,3,2,1,4,1,3,0,0,26,26,18506,A. Niemi,M. Pacioretty
17 Jan '18,video,R,L,,BOS,18-21-6,1,4,0,2,1,3,0,0,22,32,17565,T. Rask,R. Spooner
15 Jan '18,video,H,O,OT,NYI,18-20-6,4,5,1,4,0,2,0,1,56,24,21302,T. Greiss,J. Tavares
13 Jan '18,video,H,O,SO,BOS,18-20-5,3,3,1,4,1,1,0,0,30,32,21302,T. Rask,B. Marchand
07 Jan '18,video,H,W,,VAN,18-20-4,5,2,1,3,0,3,0,0,45,36,21302,C. Price,B. Gallagher
04 Jan '18,video,H,W,SO,TBL,17-20-4,1,1,0,2,0,2,0,0,38,45,21302,C. Price,P. Byron
02 Jan '18,video,H,L,,SJS,16-20-4,1,4,1,5,1,4,0,0,31,33,21302,A. Dell,M. Vlasic
