Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
03 May '07,,R,L,OT,ANA,5-7,1,2,0,6,0,7,0,0,27,63,17407,J. Giguere,S. Niedermayer
01 May '07,,H,L,OT,ANA,5-6,2,3,0,3,0,8,0,0,26,30,18630,J. Giguere,T. Moen
29 Apr '07,,H,L,,ANA,5-5,2,3,1,8,2,5,0,0,26,24,18630,J. Giguere,
27 Apr '07,,R,W,OT,ANA,5-4,2,1,0,5,0,7,0,0,49,44,17392,R. Luongo,J. Cowan
25 Apr '07,,R,L,,ANA,4-4,1,5,0,7,2,9,0,0,27,37,17250,J. Giguere,
23 Apr '07,,H,W,,DAL,4-3,4,1,2,10,0,5,0,0,32,20,18630,R. Luongo,
21 Apr '07,,R,L,,DAL,3-3,0,2,0,3,1,6,0,0,21,30,18600,M. Turco,
19 Apr '07,,H,L,OT,DAL,3-2,0,1,0,3,1,4,0,0,21,30,18630,M. Turco,B. Morrow
17 Apr '07,,R,W,,DAL,3-1,2,1,0,5,0,6,0,0,29,27,18532,R. Luongo,
15 Apr '07,,R,W,OT,DAL,2-1,2,1,0,3,1,5,0,0,37,30,18532,R. Luongo,T. Pyatt
13 Apr '07,,H,L,,DAL,1-1,0,2,0,6,0,7,0,0,35,27,18630,M. Turco,
11 Apr '07,,H,W,OT,DAL,1-0,5,4,1,8,1,7,0,0,56,76,18630,R. Luongo,H. Sedin
