Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
08 Apr '07,,R,L,,PHX,49-26-7,1,3,0,5,2,6,0,0,24,27,17406,C. Joseph,
07 Apr '07,,R,W,OT,SJS,49-25-7,4,3,2,6,2,6,0,0,30,30,17496,R. Luongo,M. Ohlund
05 Apr '07,,H,L,,COL,48-25-7,1,3,0,2,0,4,0,0,18,30,18630,P. Budaj,
03 Apr '07,,H,W,,LAK,48-24-7,4,2,2,6,2,5,0,0,32,17,18630,R. Luongo,
31 Mar '07,,H,L,,CGY,47-24-7,2,3,1,8,0,4,0,1,34,18,18630,M. Kiprusoff,
29 Mar '07,,R,W,,LAK,47-23-7,4,2,2,2,1,5,0,0,22,34,17916,R. Luongo,
27 Mar '07,,R,W,,COL,46-23-7,3,0,1,4,0,5,0,0,29,34,17437,R. Luongo,
25 Mar '07,,H,O,SO,COL,45-23-7,4,4,1,3,1,5,0,0,20,30,18630,J. Theodore,
21 Mar '07,,H,W,,NSH,45-23-6,2,0,0,7,0,4,0,0,30,20,18630,R. Luongo,
19 Mar '07,,R,W,,EDM,44-23-6,2,1,1,4,0,5,0,0,38,37,16839,R. Luongo,
17 Mar '07,,H,W,,DET,43-23-6,4,1,0,9,1,8,1,0,39,33,18630,R. Luongo,
15 Mar '07,,H,W,OT,STL,42-23-6,3,2,1,1,0,1,0,0,37,22,18630,R. Luongo,D. Sedin
13 Mar '07,,H,O,OT,MIN,41-23-6,2,3,0,7,0,2,0,0,24,29,18630,N. Backstrom,B. Burns
11 Mar '07,,R,L,,ANA,41-23-5,2,4,0,7,2,7,0,0,26,24,17174,J. Giguere,
09 Mar '07,,R,W,OT,SJS,41-22-5,2,1,0,2,1,4,0,0,37,26,17496,R. Luongo,H. Sedin
08 Mar '07,,R,W,,PHX,40-22-5,4,2,0,3,0,4,0,0,30,28,13841,D. Sabourin,
06 Mar '07,,H,W,,TBL,39-22-5,5,1,1,5,1,5,1,0,28,17,18630,R. Luongo,
04 Mar '07,,H,W,SO,MIN,38-22-5,3,3,0,2,1,4,0,0,35,31,18630,R. Luongo,
01 Mar '07,,H,W,,PHX,37-22-5,4,3,2,5,2,4,1,0,29,24,18630,R. Luongo,
27 Feb '07,,R,L,,STL,36-22-5,1,3,0,3,1,5,0,0,26,20,10411,C. Sanford,
25 Feb '07,,R,O,OT,DAL,36-21-5,1,2,0,1,2,7,0,0,18,36,17712,M. Turco,J. Lehtinen
22 Feb '07,,R,W,,LAK,36-21-4,3,2,1,5,1,8,0,0,30,33,17737,R. Luongo,
20 Feb '07,,R,W,OT,ANA,35-21-4,3,2,2,4,1,4,0,0,31,40,17467,D. Sabourin,D. Sedin
18 Feb '07,,H,W,,COL,34-21-4,5,4,1,4,1,2,0,1,20,36,18630,R. Luongo,
16 Feb '07,,R,W,SO,CHI,33-21-4,1,1,0,5,0,8,0,0,29,35,14552,R. Luongo,
14 Feb '07,,R,W,OT,MIN,32-21-4,3,2,1,3,0,4,0,0,34,32,18568,R. Luongo,S. Salo
10 Feb '07,,H,W,,ATL,31-21-4,3,2,1,5,1,4,0,0,33,29,18630,R. Luongo,
07 Feb '07,,H,L,,CHI,30-21-4,0,3,0,5,0,2,0,0,34,23,18630,P. Lalime,
06 Feb '07,,R,W,,EDM,30-20-4,5,2,2,5,0,2,0,0,25,30,16839,R. Luongo,
03 Feb '07,,R,L,,CGY,29-20-4,3,4,0,5,1,8,0,0,28,42,19289,M. Kiprusoff,
01 Feb '07,,H,W,,EDM,29-19-4,5,3,0,7,0,7,0,0,34,32,18630,R. Luongo,
30 Jan '07,,H,O,SO,CBJ,28-19-4,2,2,2,3,1,2,0,0,37,28,18630,T. Conklin,
28 Jan '07,,H,W,,SJS,28-19-3,3,1,1,4,0,5,0,0,24,39,18630,R. Luongo,
26 Jan '07,,H,O,OT,LAK,27-19-3,2,3,0,2,0,5,0,0,39,43,18630,S. Burke,A. Frolov
19 Jan '07,,R,O,SO,BUF,27-19-2,3,3,2,6,0,5,1,0,28,36,18690,R. Miller,
18 Jan '07,,R,W,,OTT,27-19-1,2,1,1,4,0,5,0,0,14,35,19161,R. Luongo,
16 Jan '07,,R,W,,MTL,26-19-1,4,0,1,5,0,5,0,0,24,30,21273,R. Luongo,
13 Jan '07,,R,W,,TOR,25-19-1,6,1,5,10,0,8,0,0,21,36,19608,R. Luongo,
11 Jan '07,,H,L,,MIN,24-19-1,2,5,0,2,2,4,0,0,26,38,18630,M. Fernandez,
07 Jan '07,,H,W,SO,FLA,24-18-1,3,3,1,5,0,3,0,1,29,36,18630,R. Luongo,
05 Jan '07,,H,W,OT,EDM,23-18-1,3,2,0,2,0,2,0,0,24,28,18630,R. Luongo,M. Cooke
03 Jan '07,,H,W,SO,DAL,22-18-1,1,1,1,6,0,7,0,0,21,40,18630,R. Luongo,
02 Jan '07,,R,W,,CGY,21-18-1,3,2,1,10,0,7,0,1,29,29,19289,R. Luongo,
30 Dec '06,,R,W,,EDM,20-18-1,6,2,2,5,0,9,0,0,25,37,16839,R. Luongo,
27 Dec '06,,H,W,OT,CGY,19-18-1,6,5,1,4,1,6,1,0,24,36,18630,R. Luongo,S. Salo
26 Dec '06,,R,W,,CGY,18-18-1,3,1,1,5,1,6,0,0,28,27,19289,R. Luongo,
22 Dec '06,,R,L,,CBJ,17-18-1,2,3,1,5,1,6,0,0,33,22,15861,F. Norrena,
21 Dec '06,,R,L,,BOS,17-17-1,0,2,0,6,2,6,0,0,39,19,12348,T. Thomas,
19 Dec '06,,R,L,,MIN,17-16-1,2,5,1,4,0,4,0,0,22,27,18568,M. Fernandez,
16 Dec '06,,H,W,,MIN,17-15-1,2,1,2,6,0,6,0,0,18,29,18630,R. Luongo,
14 Dec '06,,H,W,,CGY,16-15-1,3,1,0,7,0,8,0,1,27,22,18630,R. Luongo,
12 Dec '06,,H,W,,PHX,15-15-1,5,2,1,3,0,1,0,0,31,30,18630,R. Luongo,
09 Dec '06,,R,L,,CGY,14-15-1,3,5,2,5,2,7,0,0,29,38,19289,M. Kiprusoff,
08 Dec '06,,H,W,OT,CAR,14-14-1,4,3,4,9,1,7,0,0,31,39,18630,R. Luongo,D. Sedin
04 Dec '06,,H,L,,EDM,13-14-1,0,4,0,5,1,2,0,0,36,18,18630,D. Roloson,
02 Dec '06,,H,W,,COL,13-13-1,2,1,2,6,0,4,0,0,24,41,18630,R. Luongo,
30 Nov '06,,H,L,,ANA,12-13-1,1,2,0,2,1,7,0,0,24,30,18630,J. Giguere,
28 Nov '06,,H,W,,CBJ,12-12-1,1,0,0,6,0,8,0,0,33,24,18630,R. Luongo,
25 Nov '06,,R,L,,COL,11-12-1,1,4,0,2,2,7,0,0,29,39,17825,J. Theodore,
23 Nov '06,,R,L,,NSH,11-11-1,0,6,0,4,2,8,0,0,34,28,15396,T. Vokoun,
22 Nov '06,,R,W,OT,DET,11-10-1,4,3,1,6,1,6,0,0,30,30,20066,R. Luongo,B. Morrison
19 Nov '06,,H,W,,CHI,10-10-1,2,1,1,5,0,5,0,0,39,23,18630,R. Luongo,
17 Nov '06,,H,W,,STL,9-10-1,4,2,0,4,1,4,0,0,44,21,18630,R. Luongo,
14 Nov '06,,H,L,,DET,8-10-1,2,3,1,6,0,5,0,1,20,33,18630,D. Hasek,
11 Nov '06,,H,L,,CGY,8-9-1,2,3,2,6,0,4,0,0,28,21,18630,M. Kiprusoff,
09 Nov '06,,H,L,,ANA,8-8-1,0,6,0,5,0,7,0,0,20,27,18630,J. Giguere,
06 Nov '06,,H,W,,DAL,8-7-1,2,1,1,8,0,7,0,0,26,20,18630,R. Luongo,
04 Nov '06,,R,L,,COL,7-7-1,2,3,1,3,0,4,0,0,38,20,18007,J. Theodore,
02 Nov '06,,R,L,,MIN,7-6-1,2,5,0,6,3,4,0,1,30,24,18568,N. Backstrom,
31 Oct '06,,H,L,,NSH,7-5-1,2,3,0,4,1,6,0,0,24,24,18630,T. Vokoun,
27 Oct '06,,H,W,SO,WSH,7-4-1,2,2,1,7,1,4,0,0,44,21,18630,R. Luongo,
25 Oct '06,,R,W,,CHI,6-4-1,5,0,1,5,0,5,0,0,31,32,11641,R. Luongo,
23 Oct '06,,R,L,,DAL,5-4-1,1,2,0,6,1,7,0,0,34,26,16639,M. Turco,
21 Oct '06,,R,W,OT,NSH,5-3-1,4,3,0,7,0,6,0,0,46,40,16073,R. Luongo,L. Krajicek
20 Oct '06,,R,W,OT,STL,4-3-1,3,2,2,11,2,9,0,0,39,19,9049,R. Luongo,S. Salo
17 Oct '06,,R,L,,EDM,3-3-1,1,2,1,6,0,8,0,0,22,20,16839,J. Markkanen,
16 Oct '06,,H,W,,EDM,3-2-1,2,1,0,6,0,6,0,0,37,18,18630,R. Luongo,
13 Oct '06,,H,L,,SJS,2-2-1,4,6,1,6,0,6,0,1,26,37,18630,V. Toskala,
10 Oct '06,,R,O,SO,MIN,2-1-1,1,1,0,4,1,2,0,0,31,36,18064,M. Fernandez,
08 Oct '06,,R,L,,COL,2-1-0,2,3,0,5,3,8,0,0,28,35,18007,J. Theodore,
06 Oct '06,,R,W,OT,CBJ,2-0-0,3,2,1,4,2,5,0,0,44,20,18136,R. Luongo,D. Sedin
05 Oct '06,,R,W,,DET,1-0-0,3,1,2,4,0,9,0,0,17,28,20066,R. Luongo,
