Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 09 '00,,H,T,OT,BUF,44-24-12-2,1,1,0,4,0,5,0,0,18,25,18672,D. Hasek,R. Zednik
Apr 07 '00,,R,W,,DET,44-24-11-2,4,2,0,3,1,5,0,0,19,27,19983,O. Kolzig,A. Nikolishin
Apr 04 '00,,R,L,,OTT,43-24-11-2,0,4,0,3,1,5,0,0,19,37,16902,P. Lalime,P. Schastlivy
Apr 03 '00,,H,W,,NYR,43-23-11-2,4,1,0,2,1,4,0,0,28,23,14998,O. Kolzig,J. Sacco
Apr 01 '00,,H,L,,TOR,42-23-11-2,3,4,1,2,0,2,0,0,27,19,18672,C. Joseph,S. Berezin
Mar 30 '00,,H,O,OT,PIT,42-22-11-2,3,4,0,3,3,4,0,0,35,32,18672,R. Tugnutt,H. Jonsson
Mar 28 '00,,H,W,,ATL,42-22-11-1,5,2,1,4,1,4,0,0,47,24,17736,O. Kolzig,J. Halpern
Mar 25 '00,,R,W,,OTT,41-22-11-1,4,3,0,4,0,4,1,0,23,32,18136,O. Kolzig,P. Bondra
Mar 23 '00,,R,W,,NYR,40-22-11-1,4,1,0,1,1,4,2,0,25,28,18200,O. Kolzig,A. Oates
Mar 20 '00,,R,L,,STL,39-22-11-1,1,2,0,5,0,2,0,0,20,18,20284,R. Turek,M. Handzus
Mar 19 '00,,H,W,,TBL,39-21-11-1,5,2,1,5,1,6,0,0,26,29,14937,O. Kolzig,S. Gonchar
Mar 17 '00,,H,W,,CAR,38-21-11-1,4,2,2,3,0,4,0,0,24,33,14908,O. Kolzig,J. Murphy
Mar 15 '00,,H,W,,NYI,37-21-11-1,4,3,2,3,1,5,0,0,38,26,14613,O. Kolzig,C. Simon
Mar 11 '00,,H,W,,NJD,36-21-11-1,4,2,0,2,0,2,0,0,20,35,18672,O. Kolzig,U. Dahlen
Mar 09 '00,,R,L,,PHI,35-21-11-1,1,3,0,3,2,6,0,0,18,33,19680,B. Boucher,G. Odjick
Mar 07 '00,,H,W,,FLA,35-20-11-1,4,2,1,2,0,3,0,0,17,30,15035,O. Kolzig,P. Bondra
Mar 05 '00,,H,W,,BUF,34-20-11-1,2,1,0,4,0,5,0,0,26,29,17873,O. Kolzig,C. Johansson
Mar 03 '00,,H,T,OT,DET,33-20-11-1,2,2,0,1,1,4,0,0,21,54,18672,C. Osgood,S. Yzerman
Mar 01 '00,,R,W,,TBL,33-20-10-1,4,2,1,6,0,4,0,0,26,23,12813,O. Kolzig,J. Murphy
Feb 28 '00,,R,W,,NYI,32-20-10-1,3,2,0,5,1,3,0,0,37,18,6689,O. Kolzig,A. Oates
Feb 26 '00,,R,W,,MTL,31-20-10-1,3,0,2,4,0,4,0,0,22,21,21273,O. Kolzig,C. Simon
Feb 25 '00,,H,L,,BOS,30-20-10-1,0,3,0,2,1,8,0,0,21,49,18672,J. Grahame,S. Samsonov
Feb 23 '00,,H,W,OT,FLA,30-19-10-1,3,2,1,5,1,6,0,0,44,23,14386,O. Kolzig,C. Simon
Feb 21 '00,,R,T,OT,CAR,29-19-10-1,1,1,0,5,0,5,0,0,30,33,10144,A. Irbe,K. Klee
Feb 19 '00,,R,L,,PHI,29-19-9-1,2,4,1,4,0,5,0,0,21,29,19724,B. Boucher,C. Therien
Feb 18 '00,,R,W,,CHI,29-18-9-1,5,4,0,4,2,5,0,0,26,35,17434,O. Kolzig,T. Yake
Feb 15 '00,,H,W,,COL,28-18-9-1,2,1,2,5,1,3,0,0,32,32,15312,O. Kolzig,A. Oates
Feb 13 '00,,R,L,,DAL,27-18-9-1,1,2,0,6,1,6,0,0,15,23,17001,E. Belfour,B. Morrow
Feb 12 '00,,R,W,,NSH,27-17-9-1,4,2,1,6,1,8,0,0,28,31,17113,O. Kolzig,A. Oates
Feb 10 '00,,R,W,,MTL,26-17-9-1,1,0,0,3,0,4,0,0,26,24,18834,O. Kolzig,A. Nikolishin
Feb 08 '00,,R,T,OT,BOS,25-17-9-1,2,2,0,1,1,6,0,0,15,51,15389,B. Dafoe,K. Klee
Feb 03 '00,,H,W,,CAR,25-17-8-1,2,1,0,3,1,4,0,0,34,24,12439,O. Kolzig,U. Dahlen
Feb 01 '00,,R,L,,PIT,24-17-8-1,2,3,0,4,0,6,0,0,27,22,13823,J. Aubin,M. Straka
