Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
May 13 '15,video,R,L,OT,NYR,7-7,1,2,0,3,1,4,0,0,36,39,18006,H. Lundqvist,D. Stepan
May 10 '15,video,H,L,,NYR,7-6,3,4,0,4,1,3,0,0,45,28,18506,H. Lundqvist,D. Boyle
May 08 '15,video,R,L,OT,NYR,7-5,1,2,0,2,0,2,0,0,29,43,18006,H. Lundqvist,R. McDonagh
May 06 '15,video,H,W,,NYR,7-4,2,1,0,1,0,1,0,0,30,29,18506,B. Holtby,A. Burakovsky
May 04 '15,video,H,W,,NYR,6-4,1,0,0,2,0,2,0,0,22,30,18506,B. Holtby,J. Beagle
May 02 '15,video,R,L,,NYR,5-4,2,3,0,1,1,4,0,0,32,35,18006,H. Lundqvist,D. Brassard
Apr 30 '15,video,R,W,,NYR,5-3,2,1,1,2,0,2,0,0,29,32,18006,B. Holtby,J. Ward
Apr 27 '15,video,H,W,,NYI,4-3,2,1,0,0,0,1,0,0,26,11,18506,B. Holtby,E. Kuznetsov
Apr 25 '15,video,R,L,,NYI,3-3,1,3,1,3,0,1,0,0,39,38,16170,J. Halak,N. Kulemin
Apr 23 '15,video,H,W,,NYI,3-2,5,1,0,3,0,2,0,0,41,23,18506,B. Holtby,K. Alzner
Apr 21 '15,video,R,W,OT,NYI,2-2,2,1,0,1,0,4,0,0,30,37,16170,B. Holtby,N. Backstrom
Apr 19 '15,video,R,L,OT,NYI,1-2,1,2,0,3,0,3,0,0,25,42,16170,J. Halak,J. Tavares
Apr 17 '15,video,H,W,,NYI,1-1,4,3,1,1,0,1,0,0,35,21,18506,P. Grubauer,J. Chimera
Apr 15 '15,video,H,L,,NYI,0-1,1,4,0,2,0,2,0,0,25,27,18506,J. Halak,R. Strome
