Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 11 '09,,H,W,SO,ANA,36-39-7,4,4,2,6,3,4,0,0,33,35,16438,I. Bryzgalov,V. Tikhonov
Apr 09 '09,,R,W,,SJS,35-39-7,4,1,1,3,0,6,0,0,17,41,17496,A. Montoya,E. Jovanovski
Apr 07 '09,,H,L,,STL,34-39-7,1,5,0,3,0,2,0,0,29,24,13761,C. Mason,B. Winchester
Apr 04 '09,,R,L,,LAK,34-38-7,1,6,0,4,2,5,0,0,30,32,18118,J. Quick,B. Boyle
Apr 02 '09,,H,W,,LAK,34-37-7,2,1,0,4,0,1,0,0,32,21,13177,A. Montoya,S. Upshall
Apr 01 '09,,R,W,,COL,33-37-7,3,0,0,7,0,4,0,0,35,23,13437,A. Montoya,M. Boedker
Mar 30 '09,,H,W,OT,DAL,32-37-7,6,5,2,5,1,3,0,0,33,23,13831,I. Bryzgalov,P. Prucha
Mar 28 '09,,R,L,,SJS,31-37-7,2,3,0,2,1,3,0,0,27,32,17496,E. Nabokov,J. Pavelski
Mar 26 '09,,H,W,,EDM,31-36-7,3,2,0,3,1,5,0,0,23,28,14337,I. Bryzgalov,M. Hanzal
Mar 22 '09,,R,L,,ANA,30-36-7,2,6,0,4,4,5,0,0,28,30,17215,J. Hiller,C. Perry
Mar 21 '09,,H,W,,VAN,30-35-7,5,1,1,7,0,4,0,0,33,36,17125,I. Bryzgalov,S. Doan
Mar 19 '09,,H,O,SO,ANA,29-35-7,2,2,0,5,0,2,0,0,28,27,12739,J. Hiller,B. Ryan
Mar 17 '09,,H,W,,SJS,29-35-6,4,3,3,4,1,3,0,0,20,36,15563,I. Bryzgalov,S. Doan
Mar 14 '09,,H,L,,NSH,28-35-6,0,2,0,3,0,3,0,0,18,33,13197,P. Rinne,J. Dumont
Mar 12 '09,,R,L,,NJD,28-34-6,2,5,1,4,1,2,0,0,28,36,14578,M. Brodeur,D. Zubrus
Mar 10 '09,,R,O,OT,DET,28-33-6,2,3,1,3,1,1,0,0,25,43,20066,T. Conklin,J. Franzen
Mar 08 '09,,R,L,,NYI,28-33-5,2,3,0,7,0,2,0,0,42,26,13413,Y. Danis,K. Okposo
Mar 06 '09,,R,L,,BUF,28-32-5,1,5,1,6,3,6,0,0,30,31,18690,P. Lalime,A. Sekera
Mar 05 '09,,R,W,,BOS,28-31-5,2,1,1,2,0,3,0,0,18,26,16818,I. Bryzgalov,S. Reinprecht
Feb 28 '09,,H,L,,STL,27-31-5,1,3,1,3,1,2,0,0,27,30,15893,C. Mason,D. Perron
Feb 26 '09,,R,L,,NSH,27-30-5,1,4,0,1,0,2,0,0,26,47,14954,P. Rinne,J. Arnott
Feb 24 '09,,R,L,,STL,27-29-5,1,2,0,4,0,0,0,1,25,24,17512,C. Mason,J. McClement
Feb 21 '09,,R,W,,LAK,27-28-5,6,3,0,2,1,4,1,0,29,33,17177,I. Bryzgalov,O. Jokinen
Feb 19 '09,,H,W,SO,ATL,26-28-5,3,3,1,4,1,1,0,0,40,22,15341,M. Tellqvist,D. Carcillo
Feb 16 '09,,H,L,,EDM,25-28-5,1,3,1,6,2,4,0,0,29,29,14547,D. Roloson,S. Souray
Feb 14 '09,,H,L,,CGY,25-27-5,5,7,1,4,0,0,0,1,37,45,16981,M. Kiprusoff,M. Lombardi
Feb 12 '09,,H,L,,VAN,25-26-5,3,4,1,3,1,5,0,0,28,32,14872,R. Luongo,H. Sedin
Feb 11 '09,,R,W,,DAL,25-25-5,1,0,0,2,0,2,0,0,29,33,16440,I. Bryzgalov,E. Lisin
Feb 07 '09,,H,L,,CAR,24-25-5,2,7,1,5,4,5,0,1,32,41,15229,C. Ward,M. Cullen
Feb 04 '09,,R,L,,DET,24-24-5,4,5,2,4,2,5,0,0,27,33,19821,C. Osgood,N. Lidstrom
Feb 03 '09,,R,L,,NSH,24-23-5,1,2,0,3,0,4,0,0,30,24,13195,P. Rinne,R. Bonk
Jan 31 '09,,H,L,,BUF,24-22-5,0,2,0,7,0,4,0,0,28,21,16253,R. Miller,T. Connolly
Jan 29 '09,,R,L,,SJS,24-21-5,0,2,0,6,1,5,0,0,24,29,17496,E. Nabokov,C. Ehrhoff
Jan 27 '09,,H,L,,ANA,24-20-5,3,7,1,5,1,1,0,0,26,37,15383,J. Hiller,R. Niedermayer
Jan 20 '09,,H,W,,DET,24-19-5,6,3,2,6,3,6,0,0,27,37,16368,I. Bryzgalov,E. Jovanovski
Jan 18 '09,,R,L,,EDM,23-19-5,3,6,0,1,0,3,0,0,28,29,16839,D. Roloson,D. Penner
Jan 17 '09,,R,W,,CGY,23-18-5,4,3,0,2,0,2,0,0,26,32,19289,I. Bryzgalov,M. Boedker
Jan 15 '09,,R,W,,VAN,22-18-5,4,1,2,4,0,2,0,0,32,32,18630,I. Bryzgalov,J. Lindstrom
Jan 13 '09,,R,L,,MIN,21-18-5,3,6,0,1,0,4,0,0,24,34,18568,N. Backstrom,M. Koivu
Jan 10 '09,,H,W,SO,DAL,21-17-5,0,0,0,4,0,3,0,0,28,38,14557,I. Bryzgalov,K. Turris
Jan 08 '09,,H,W,,TBL,20-17-5,3,2,1,3,1,2,0,0,27,24,13736,I. Bryzgalov,K. Turris
Jan 06 '09,,H,L,,CHI,19-17-5,0,6,0,7,0,4,0,0,22,41,14651,C. Huet,A. Burish
Jan 04 '09,,R,L,,ANA,19-16-5,0,2,0,4,2,4,0,0,29,34,16878,J. Hiller,C. Pronger
Jan 02 '09,,H,W,,NYI,19-15-5,5,4,0,3,0,1,0,0,33,33,14547,M. Tellqvist,J. Lindstrom
Dec 31 '08,,H,W,,COL,18-15-5,3,1,0,2,0,3,0,0,29,29,15008,M. Tellqvist,P. Mueller
