Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 08 '00,,H,W,OT,FLA,45-24-8-5,2,1,0,6,0,4,0,0,28,15,17564,M. Brodeur,J. Arnott
Apr 06 '00,,H,L,,BUF,44-24-8-5,0,5,0,2,1,3,0,1,32,24,15826,D. Hasek,S. Barnes
Apr 03 '00,,R,L,,FLA,44-23-8-5,2,5,0,2,1,3,0,0,41,28,15427,M. Vernon,P. Bure
Apr 02 '00,,R,W,,TBL,44-22-8-5,4,1,2,5,0,5,0,0,34,27,15064,M. Brodeur,V. Malakhov
Mar 31 '00,,H,W,,ATL,43-22-8-5,6,0,2,3,0,1,0,0,34,22,17222,M. Brodeur,C. White
Mar 28 '00,,R,L,,PIT,42-22-8-5,2,3,2,5,1,4,0,0,30,25,17130,R. Tugnutt,A. Kovalev
Mar 25 '00,,R,L,,TOR,42-21-8-5,3,5,0,4,1,3,0,1,32,25,19300,C. Joseph,D. Tucker
Mar 24 '00,,R,W,,NYI,42-20-8-5,8,2,2,7,0,5,1,0,38,21,14831,M. Brodeur,R. McKay
Mar 21 '00,,H,L,,CAR,41-20-8-5,0,5,0,3,2,6,0,1,22,37,13809,A. Irbe,R. Brind'Amour
Mar 19 '00,,H,W,,FLA,41-19-8-5,5,2,1,6,2,8,0,0,36,21,16575,M. Brodeur,P. Elias
Mar 17 '00,,H,L,,TBL,40-19-8-5,1,3,0,2,1,7,0,0,35,22,14209,R. Parent,F. Modin
Mar 15 '00,,H,L,,DAL,40-18-8-5,2,3,1,3,0,2,0,0,24,30,18022,M. Fernandez,M. Modano
Mar 13 '00,,R,W,,PIT,40-17-8-5,3,2,0,1,0,4,1,0,31,24,16313,M. Brodeur,B. Holik
Mar 11 '00,,R,L,,WSH,39-17-8-5,2,4,0,2,0,2,0,0,35,20,18672,O. Kolzig,U. Dahlen
Mar 10 '00,,R,W,,ATL,39-16-8-5,9,0,2,4,0,1,1,0,38,19,18545,M. Brodeur,J. Madden
Mar 05 '00,,R,T,OT,CGY,38-16-8-5,2,2,1,4,0,4,0,0,43,30,14893,F. Brathwaite,P. Elias
Mar 04 '00,,R,L,,VAN,38-16-7-5,2,4,1,5,1,7,0,0,30,30,15373,G. Snow,B. May
Mar 02 '00,,R,L,,COL,38-15-7-5,0,5,0,4,1,3,0,0,24,26,18007,P. Roy,J. Sakic
Feb 29 '00,,R,W,,NSH,38-14-7-5,2,1,0,0,0,2,0,0,28,36,16044,M. Brodeur,J. Madden
Feb 27 '00,,H,W,,MTL,37-14-7-5,3,0,1,4,0,2,0,0,48,30,14916,M. Brodeur,P. Sykora
Feb 25 '00,,H,L,,TOR,36-14-7-5,1,3,1,6,0,7,0,1,31,31,19040,C. Joseph,I. Korolev
Feb 24 '00,,R,O,OT,MTL,36-13-7-5,2,3,1,3,2,3,0,0,23,39,20292,J. Hackett,B. Brunet
Feb 21 '00,,R,L,,BUF,36-13-7-4,2,3,1,4,2,6,0,0,37,25,18297,D. Hasek,G. Sanderson
Feb 19 '00,,H,L,,NYI,36-12-7-4,2,4,1,4,2,6,0,0,31,19,18002,K. Weekes,J. Green
Feb 17 '00,,H,T,OT,COL,36-11-7-4,5,5,1,2,0,2,1,0,32,23,14127,M. Denis,S. Gomez
Feb 15 '00,,H,W,,PHI,36-11-6-4,4,2,1,3,0,5,0,0,36,21,18608,M. Brodeur,M. Brodeur
Feb 13 '00,,H,W,,SJS,35-11-6-4,3,1,0,4,0,2,0,0,33,21,17228,M. Brodeur,P. Elias
Feb 09 '00,,H,W,,NYR,34-11-6-4,4,1,3,4,1,6,0,0,39,27,19040,M. Brodeur,B. Rafalski
Feb 08 '00,,R,T,OT,NYR,33-11-6-4,2,2,0,4,1,7,0,0,31,35,18200,M. Brodeur,M. York
Feb 03 '00,,H,W,,NSH,33-11-5-4,4,1,1,3,0,2,0,0,31,32,12819,C. Terreri,J. Arnott
Feb 02 '00,,R,W,,NYR,32-11-5-4,3,1,0,3,0,6,0,0,34,37,18200,M. Brodeur,C. Lemieux
Jan 29 '00,,R,L,,DET,31-11-5-4,1,3,0,3,0,6,0,0,36,27,19983,C. Osgood,S. Fedorov
Jan 28 '00,,R,O,OT,CAR,31-10-5-4,3,4,0,4,1,4,0,0,24,23,12136,A. Irbe,J. O'Neill
Jan 26 '00,,R,W,,FLA,31-10-5-3,3,2,0,0,0,1,0,0,27,23,15689,M. Brodeur,P. Elias
Jan 21 '00,,H,W,,NYI,30-10-5-3,4,0,1,3,0,7,0,0,33,31,17031,M. Brodeur,P. Elias
Jan 19 '00,,H,W,,CHI,29-10-5-3,4,1,0,2,0,2,0,1,43,28,12557,M. Brodeur,P. Elias
Jan 17 '00,,H,W,,CAR,28-10-5-3,5,2,2,3,1,4,1,0,32,25,11042,M. Brodeur,K. Oliwa
Jan 15 '00,,R,W,,PHI,27-10-5-3,4,1,1,5,1,6,0,0,29,31,19757,M. Brodeur,J. Arnott
Jan 14 '00,,H,O,OT,WSH,26-10-5-3,2,3,0,2,0,2,0,1,29,23,15856,O. Kolzig,A. Oates
Jan 11 '00,,R,W,,TBL,26-10-5-2,6,5,2,5,1,4,0,0,31,26,13136,M. Brodeur,S. Brylin
Jan 08 '00,,H,W,,PHX,25-10-5-2,4,3,0,3,0,3,0,0,42,16,17153,M. Brodeur,C. Lemieux
Jan 06 '00,,R,W,,BUF,24-10-5-2,6,3,1,4,0,5,0,0,27,28,18690,M. Brodeur,B. Holik
Jan 05 '00,,R,W,,PIT,23-10-5-2,3,1,1,2,0,2,0,0,35,25,16699,M. Brodeur,R. McKay
Jan 03 '00,,R,W,OT,OTT,22-10-5-2,4,3,0,2,0,7,0,0,36,32,18181,M. Brodeur,B. Morrison
Jan 01 '00,,R,T,OT,BOS,21-10-5-2,2,2,0,2,0,5,0,0,33,25,17565,B. Dafoe,J. Allison
Dec 29 '99,,H,W,OT,BOS,21-10-4-2,5,4,1,3,2,3,0,0,34,30,17366,M. Brodeur,P. Elias
Dec 27 '99,,H,W,,BUF,20-10-4-2,4,1,0,4,0,7,1,0,32,20,16248,M. Brodeur,J. Madden
Dec 26 '99,,R,T,OT,NYR,19-10-4-2,3,3,0,3,0,1,0,0,44,24,18200,M. Brodeur,M. Schneider
Dec 23 '99,,R,L,,TOR,19-10-3-2,1,4,0,2,1,5,0,1,32,20,19213,C. Joseph,N. Antropov
Dec 22 '99,,H,W,,PHI,19-9-3-2,3,2,2,3,1,3,0,0,32,25,18098,M. Brodeur,P. Elias
Dec 19 '99,,R,L,,NYI,18-9-3-2,3,5,1,6,1,5,1,0,49,29,9290,R. Luongo,O. Jokinen
Dec 18 '99,,H,W,,WSH,18-8-3-2,5,4,2,5,1,3,0,0,43,21,12514,C. Terreri,P. Elias
Dec 16 '99,,R,W,,MTL,17-8-3-2,2,1,0,3,0,2,0,1,32,18,19058,M. Brodeur,R. McKay
Dec 14 '99,,H,W,,LAK,16-8-3-2,7,1,1,2,0,5,1,0,36,35,10807,M. Brodeur,P. Elias
Dec 11 '99,,H,L,,EDM,15-8-3-2,1,3,0,2,0,2,0,0,30,23,14224,B. Ranford,E. Moreau
Dec 09 '99,,R,W,,CHI,15-7-3-2,4,0,2,4,0,3,0,0,32,23,14600,M. Brodeur,S. Nemchinov
Dec 07 '99,,H,W,,PIT,14-7-3-2,2,1,1,5,1,5,0,0,41,25,13117,M. Brodeur,R. McKay
Dec 04 '99,,H,L,,CGY,13-7-3-2,2,4,0,4,0,3,0,0,39,22,12942,F. Brathwaite,A. Nazarov
Dec 03 '99,,H,W,,OTT,13-6-3-2,7,4,1,3,0,5,0,0,23,28,12393,M. Brodeur,P. Sykora
Dec 01 '99,,H,W,,NYR,12-6-3-2,3,2,0,3,0,3,0,0,34,13,18419,M. Brodeur,P. Sykora
