Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Jun 09 '01,,R,L,,COL,15-10,1,3,1,3,1,5,0,0,26,22,18007,P. Roy,A. Tanguay
Jun 07 '01,,H,L,,COL,15-9,0,4,0,6,1,7,0,0,24,18,19040,P. Roy,A. Foote
Jun 04 '01,,R,W,,COL,15-8,4,1,1,1,1,4,0,0,26,23,18007,M. Brodeur,A. Mogilny
Jun 02 '01,,H,W,,COL,14-8,3,2,0,2,0,5,1,0,35,12,19040,M. Brodeur,P. Sykora
May 31 '01,,H,L,,COL,13-8,1,3,1,6,1,4,0,0,22,21,19040,P. Roy,R. Bourque
May 29 '01,,R,W,,COL,13-7,2,1,0,3,1,6,0,0,20,20,18007,M. Brodeur,T. Stevenson
May 26 '01,,R,L,,COL,12-7,0,5,0,6,1,5,0,0,25,30,18007,P. Roy,J. Sakic
May 22 '01,,H,W,,PIT,12-6,4,2,1,4,1,1,0,0,23,20,19040,M. Brodeur,B. Holik
May 19 '01,,R,W,,PIT,11-6,5,0,1,4,0,5,0,0,30,21,17148,M. Brodeur,P. Elias
May 17 '01,,R,W,,PIT,10-6,3,0,1,2,0,3,0,0,36,20,17148,M. Brodeur,B. Rafalski
May 15 '01,,H,L,,PIT,9-6,2,4,0,5,0,2,1,1,29,23,19040,J. Hedberg,R. Corbet
May 12 '01,,H,W,,PIT,9-5,3,1,2,3,1,2,0,0,21,15,19040,M. Brodeur,P. Sykora
May 09 '01,,H,W,,TOR,8-5,5,1,1,3,1,2,0,0,20,16,19040,M. Brodeur,P. Elias
May 07 '01,,R,W,,TOR,7-5,4,2,1,3,2,6,0,0,26,26,19481,M. Brodeur,B. Rafalski
May 05 '01,,H,L,,TOR,6-5,2,3,1,4,1,4,0,0,26,20,19040,C. Joseph,T. Kaberle
May 03 '01,,R,L,,TOR,6-4,1,3,1,4,0,5,0,0,24,20,19454,C. Joseph,S. Berezin
May 01 '01,,R,W,OT,TOR,6-3,3,2,1,5,1,3,0,0,45,28,19457,M. Brodeur,B. Rafalski
Apr 28 '01,,H,W,OT,TOR,5-3,6,5,1,5,0,3,0,1,33,21,19040,M. Brodeur,R. McKay
Apr 26 '01,,H,L,,TOR,4-3,0,2,0,8,1,3,0,0,32,17,19040,C. Joseph,N. Antropov
Apr 22 '01,,R,W,,CAR,4-2,5,1,1,2,1,6,0,0,39,15,18730,M. Brodeur,S. Brylin
Apr 20 '01,,H,L,,CAR,3-2,2,3,0,2,0,2,0,0,39,14,19040,A. Irbe,J. O'Neill
Apr 18 '01,,R,L,OT,CAR,3-1,2,3,1,2,2,7,1,0,34,33,14339,A. Irbe,R. Brind'Amour
Apr 17 '01,,R,W,,CAR,3-0,4,0,0,9,0,6,0,0,24,16,17525,M. Brodeur,B. Holik
Apr 15 '01,,H,W,,CAR,2-0,2,0,0,5,0,4,0,0,29,18,19040,M. Brodeur,A. Mogilny
Apr 12 '01,,H,W,,CAR,1-0,5,1,0,4,0,4,0,0,36,18,19040,M. Brodeur,B. Holik
