Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
May 27 '06,,H,L,,EDM,9-7,1,2,1,11,0,6,0,0,33,25,17174,D. Roloson,
May 25 '06,,R,W,,EDM,9-6,6,3,1,8,1,7,0,0,46,23,16839,J. Giguere,
May 23 '06,,R,L,,EDM,8-6,4,5,0,7,2,8,0,0,38,22,16839,D. Roloson,
May 21 '06,,H,L,,EDM,8-5,1,3,0,5,1,3,0,0,34,25,17264,D. Roloson,
May 19 '06,,H,L,,EDM,8-4,1,3,1,8,1,5,0,1,32,26,17174,D. Roloson,
May 11 '06,,R,W,,COL,8-3,4,1,0,3,0,5,0,0,34,41,18007,I. Bryzgalov,
May 09 '06,,R,W,OT,COL,7-3,4,3,0,5,0,8,0,1,39,29,18007,I. Bryzgalov,J. Lupul
May 07 '06,,H,W,,COL,6-3,3,0,1,6,0,6,0,0,35,22,17294,I. Bryzgalov,
May 05 '06,,H,W,,COL,5-3,5,0,1,5,0,5,0,0,34,29,17174,I. Bryzgalov,
May 03 '06,,R,W,,CGY,4-3,3,0,0,2,0,4,0,0,32,22,19289,I. Bryzgalov,
May 01 '06,,H,W,,CGY,3-3,2,1,1,9,0,5,0,0,30,22,16594,I. Bryzgalov,
Apr 29 '06,,R,L,,CGY,2-3,2,3,2,6,1,4,0,1,28,27,19289,M. Kiprusoff,
Apr 27 '06,,H,W,OT,CGY,2-2,3,2,1,7,0,6,0,0,30,27,17174,J. Giguere,S. O'Donnell
Apr 25 '06,,H,L,,CGY,1-2,2,5,2,9,3,7,0,0,29,24,17174,M. Kiprusoff,
Apr 23 '06,,R,W,,CGY,1-1,4,3,0,6,2,12,1,1,20,25,19289,J. Giguere,
Apr 21 '06,,R,L,OT,CGY,0-1,1,2,0,5,0,5,0,0,34,30,19289,M. Kiprusoff,D. McCarty
