Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 13 '14,video,H,W,OT,COL,54-20-8,3,2,0,2,0,1,0,0,36,31,17528,J. Gibson,N. Bonino
Apr 12 '14,video,R,W,SO,LAK,53-20-8,3,3,0,4,0,4,0,0,24,30,18372,F. Andersen,D. Smith-Pelly
Apr 09 '14,video,H,W,,SJS,52-20-8,5,2,0,3,0,5,1,0,30,38,17322,J. Gibson,P. Maroon
Apr 07 '14,video,R,W,,VAN,51-20-8,3,0,0,1,0,3,1,0,23,18,18910,J. Gibson,D. Winnik
Apr 06 '14,video,R,L,,EDM,50-20-8,2,4,1,5,1,3,0,1,36,28,16839,V. Fasth,J. Schultz
Apr 04 '14,video,H,L,,NSH,50-19-8,2,5,0,3,0,4,0,0,29,24,17174,P. Rinne,M. Fisher
Apr 02 '14,video,H,W,,EDM,50-18-8,3,2,0,3,1,3,0,0,26,32,17174,F. Andersen,F. Beauchemin
Mar 31 '14,video,H,W,OT,WPG,49-18-8,5,4,1,1,1,3,0,0,36,37,17174,F. Andersen,S. Robidas
Mar 29 '14,video,R,W,,VAN,48-18-8,5,1,1,5,0,3,0,0,21,32,18910,F. Andersen,M. Beleskey
Mar 28 '14,video,R,O,OT,EDM,47-18-8,3,4,0,4,0,1,0,0,51,23,16839,B. Scrivens,A. Ference
Mar 26 '14,video,R,W,,CGY,47-18-7,3,2,1,2,0,1,0,0,34,34,19289,J. Hiller,A. Cogliano
Mar 23 '14,video,H,W,,FLA,46-18-7,6,2,1,3,0,1,1,0,40,30,17281,J. Hiller,J. Silfverberg
Mar 20 '14,video,R,L,,SJS,45-18-7,2,3,1,2,1,3,0,0,18,28,17562,A. Niemi,B. Burns
Mar 18 '14,video,H,L,,WSH,45-17-7,2,3,0,5,2,3,0,0,45,30,17174,J. Halak,A. Ovechkin
Mar 15 '14,video,R,W,,LAK,45-16-7,2,1,0,3,1,3,0,0,20,38,18278,F. Andersen,P. Maroon
Mar 14 '14,video,R,W,,COL,44-16-7,6,4,0,4,2,5,0,0,33,38,18030,J. Hiller,B. Lovejoy
Mar 12 '14,video,R,L,,CGY,43-16-7,2,7,0,2,1,4,0,2,22,25,19289,J. Ortio,M. Cammalleri
Mar 10 '14,video,H,L,,TOR,43-15-7,1,3,0,4,1,2,0,0,44,23,17229,J. Bernier,P. Kessel
Mar 07 '14,video,H,O,SO,PIT,43-14-7,2,2,0,3,1,3,0,0,31,17,17518,M. Fleury,B. Sutter
Mar 05 '14,video,H,O,SO,MTL,43-14-6,3,3,1,6,0,5,0,0,42,31,17174,D. Tokarski,A. Markov
Mar 02 '14,video,H,W,,CAR,43-14-5,5,3,0,3,0,6,1,0,34,52,17174,F. Andersen,A. Cogliano
Feb 28 '14,video,H,W,,STL,42-14-5,1,0,0,3,0,3,0,0,19,18,17369,J. Hiller,A. Cogliano
Feb 08 '14,video,R,W,,NSH,41-14-5,5,2,1,3,1,3,0,0,24,38,17139,J. Hiller,E. Etem
Feb 05 '14,video,H,L,,CHI,40-14-5,0,2,0,5,0,2,0,0,29,25,17446,C. Crawford,M. Hossa
Feb 03 '14,video,H,L,,CBJ,40-13-5,2,4,0,2,2,5,0,0,36,33,14044,S. Bobrovsky,N. Foligno
Feb 01 '14,video,H,L,,DAL,40-12-5,0,2,0,3,0,3,0,0,26,27,17174,D. Ellis,T. Daley
Jan 30 '14,video,H,W,,PHI,40-11-5,5,3,0,1,1,4,1,0,28,30,16007,F. Andersen,D. Winnik
Jan 28 '14,video,H,L,,MIN,39-11-5,2,4,1,3,1,5,0,0,33,33,15020,D. Kuemper,Z. Parise
Jan 25 '14,video,R,W,,LAK,39-10-5,3,0,0,3,0,4,0,0,21,36,54099,J. Hiller,C. Perry
Jan 23 '14,video,H,W,,LAK,38-10-5,2,1,1,5,0,4,0,0,21,31,17503,F. Andersen,P. Maroon
Jan 21 '14,video,H,L,,WPG,37-10-5,2,3,1,4,0,2,0,1,42,21,15046,O. Pavelec,E. Kane
Jan 18 '14,video,R,W,,STL,37-9-5,3,2,1,3,1,4,0,0,21,36,19910,F. Andersen,C. Fowler
Jan 17 '14,video,R,L,,CHI,36-9-5,2,4,0,2,0,5,0,1,21,35,22064,C. Crawford,B. Bickell
Jan 15 '14,video,H,W,,VAN,36-8-5,9,1,6,11,1,3,0,0,44,32,17145,F. Andersen,T. Selanne
Jan 12 '14,video,H,W,,DET,35-8-5,1,0,0,4,0,5,0,0,23,22,17375,J. Hiller,A. Cogliano
Jan 11 '14,video,R,W,,PHX,34-8-5,5,3,1,3,1,6,0,0,30,31,13289,J. Hiller,R. Getzlaf
Jan 09 '14,video,R,W,,NSH,33-8-5,4,3,1,4,0,3,0,0,28,26,15892,F. Andersen,T. Selanne
Jan 07 '14,video,H,W,,BOS,32-8-5,5,2,3,3,0,3,1,0,20,32,17238,J. Hiller,A. Cogliano
Jan 05 '14,video,H,W,OT,VAN,31-8-5,4,3,1,3,2,3,0,0,49,20,17174,J. Hiller,C. Perry
Jan 03 '14,video,H,W,,EDM,30-8-5,5,2,0,8,0,3,0,0,37,18,17174,J. Hiller,B. Lovejoy
Dec 31 '13,video,H,W,,SJS,29-8-5,6,3,1,3,2,5,1,0,38,36,17424,J. Hiller,M. Beleskey
