Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
10 May '15,video,R,L,OT,ANA,5-6,2,3,1,4,2,4,0,0,19,47,17284,F. Andersen,C. Perry
08 May '15,video,H,L,,ANA,5-5,2,4,0,2,2,4,0,0,27,29,19289,F. Andersen,M. Beleskey
05 May '15,video,H,W,OT,ANA,5-4,4,3,1,6,0,2,1,0,21,21,19289,K. Ramo,M. Backlund
03 May '15,video,R,L,,ANA,4-4,0,3,0,3,0,4,0,0,30,34,17299,F. Andersen,M. Beleskey
30 Apr '15,video,R,L,,ANA,4-3,1,6,0,3,2,4,0,0,24,35,17174,F. Andersen,P. Maroon
25 Apr '15,video,H,W,,VAN,4-2,7,4,1,3,1,2,0,0,33,22,19289,K. Ramo,M. Stajan
23 Apr '15,video,R,L,,VAN,3-2,1,2,0,3,0,2,0,0,21,43,18870,R. Miller,D. Sedin
21 Apr '15,video,H,W,,VAN,3-1,3,1,2,4,1,2,0,0,22,29,19289,J. Hiller,J. Hudler
19 Apr '15,video,H,W,,VAN,2-1,4,2,1,5,0,3,0,0,28,25,19289,J. Hiller,S. Bennett
17 Apr '15,video,R,L,,VAN,1-1,1,4,1,2,1,4,0,0,23,32,18870,E. Lack,C. Higgins
15 Apr '15,video,R,W,,VAN,1-0,2,1,0,1,0,3,0,0,30,30,18870,J. Hiller,K. Russell
