Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
09 Apr '16,video,R,W,,MIN,35-40-7,2,1,0,2,0,5,0,0,25,36,19247,N. Backstrom,P. Sieloff
07 Apr '16,video,H,W,,VAN,34-40-7,7,3,2,4,1,5,1,0,43,27,19289,J. Ortio,J. Colborne
05 Apr '16,,H,O,OT,LAK,33-40-7,4,5,1,4,0,3,0,0,23,26,18438,J. Enroth,J. Carter
02 Apr '16,video,R,W,,EDM,33-40-6,5,0,1,6,0,2,1,0,35,28,16839,J. Ortio,M. Backlund
31 Mar '16,video,R,L,,LAK,32-40-6,0,3,0,2,1,3,0,0,21,29,18417,J. Quick,J. Carter
30 Mar '16,,R,L,,ANA,32-39-6,3,8,1,3,1,3,0,0,26,27,16004,J. Gibson,J. McGinn
28 Mar '16,video,R,W,,ARI,32-38-6,5,2,2,3,2,4,0,0,21,24,14347,J. Ortio,S. Monahan
26 Mar '16,video,H,L,,CHI,31-38-6,1,4,0,2,0,2,0,0,32,27,19289,S. Darling,A. Shaw
24 Mar '16,video,R,L,,MIN,31-37-6,2,6,1,5,3,5,0,0,33,29,19032,D. Dubnyk,Z. Parise
21 Mar '16,video,R,L,,TOR,31-36-6,2,5,0,2,0,6,1,0,25,26,19069,J. Bernier,W. Nylander
20 Mar '16,video,R,W,,MTL,31-35-6,4,1,1,3,0,1,0,0,35,22,21288,N. Backstrom,S. Monahan
18 Mar '16,video,H,O,SO,COL,30-35-6,3,3,0,2,0,2,2,0,33,28,19289,S. Varlamov,M. Boedker
16 Mar '16,video,H,W,,WPG,30-35-5,4,1,1,3,0,2,0,0,21,29,18929,J. Ortio,M. Frolik
14 Mar '16,video,H,W,,STL,29-35-5,7,4,1,3,1,4,2,0,32,35,19107,J. Ortio,S. Monahan
11 Mar '16,video,H,L,,ARI,28-35-5,1,4,0,3,1,4,1,1,25,26,19289,L. Domingue,A. Vermette
09 Mar '16,video,H,W,OT,NSH,28-34-5,3,2,0,3,0,2,0,0,34,26,19289,J. Ortio,M. Backlund
07 Mar '16,video,H,O,OT,SJS,27-34-5,1,2,1,7,0,1,0,0,48,23,18740,M. Jones,J. Pavelski
