Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
May 18 '08,,R,L,,PIT,9-8,0,6,0,4,2,4,0,0,21,25,17132,M. Fleury,R. Malone
May 15 '08,,H,W,,PIT,9-7,4,2,2,4,0,3,0,0,34,38,19972,M. Biron,J. Carter
May 13 '08,,H,L,,PIT,8-7,1,4,0,3,1,2,0,0,18,25,19965,M. Fleury,M. Hossa
May 11 '08,,R,L,,PIT,8-6,2,4,1,3,2,6,1,0,32,38,17132,M. Fleury,M. Talbot
May 09 '08,,R,L,,PIT,8-5,2,4,0,3,0,3,0,1,28,21,17132,M. Fleury,E. Malkin
May 03 '08,,R,W,,MTL,8-4,6,4,0,3,1,4,0,0,37,35,21273,M. Biron,S. Upshall
Apr 30 '08,,H,W,,MTL,7-4,4,2,2,4,0,4,0,0,26,38,19872,M. Biron,D. Briere
Apr 28 '08,,H,W,,MTL,6-4,3,2,0,3,2,8,1,0,14,34,19849,M. Biron,R. Umberger
Apr 26 '08,,R,W,,MTL,5-4,4,2,1,2,1,4,0,0,23,36,21273,M. Biron,D. Briere
Apr 24 '08,,R,L,OT,MTL,4-4,3,4,1,2,1,2,0,1,33,34,21273,C. Price,T. Kostopoulos
Apr 22 '08,,R,W,OT,WSH,4-3,3,2,2,6,1,4,0,0,34,41,18277,M. Biron,J. Lupul
Apr 21 '08,,H,L,,WSH,3-3,2,4,2,5,1,5,0,0,35,40,19927,C. Huet,A. Ovechkin
Apr 19 '08,,R,L,,WSH,3-2,2,3,1,3,2,6,0,0,32,26,18277,C. Huet,A. Semin
Apr 17 '08,,H,W,OT,WSH,3-1,4,3,1,7,2,4,0,0,46,41,19913,M. Biron,M. Knuble
Apr 15 '08,,H,W,,WSH,2-1,6,3,1,7,1,7,0,0,33,19,19822,M. Biron,D. Briere
Apr 13 '08,,R,W,,WSH,1-1,2,0,0,5,0,6,0,0,41,24,18277,M. Biron,R. Umberger
Apr 11 '08,,R,L,,WSH,0-1,4,5,1,3,1,3,0,0,22,27,18277,C. Huet,A. Ovechkin
