Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 07 '18,video,H,W,,NYR,42-26-14,5,0,1,2,0,1,0,0,40,17,20028,B. Elliott,I. Provorov
Apr 05 '18,video,H,W,,CAR,41-26-14,4,3,0,0,0,1,0,0,34,22,20001,B. Elliott,J. Voracek
Apr 03 '18,video,R,L,,NYI,40-26-14,4,5,2,2,1,3,0,0,31,37,11951,T. Greiss,M. Barzal
Apr 01 '18,video,H,W,OT,BOS,40-25-14,4,3,0,2,1,3,0,0,24,39,19904,P. Mrazek,C. Giroux
Mar 28 '18,video,R,W,,COL,39-25-14,2,1,0,2,0,3,0,0,33,28,16320,M. Neuvirth,I. Provorov
Mar 27 '18,video,R,O,OT,DAL,38-25-14,2,3,0,2,1,2,0,0,33,23,17247,K. Lehtonen,A. Radulov
Mar 25 '18,video,R,O,OT,PIT,38-25-13,4,5,1,3,1,2,0,0,45,32,18655,M. Murray,B. Rust
Mar 22 '18,video,H,W,,NYR,38-25-12,4,3,0,2,0,2,0,0,36,36,19584,A. Lyon,O. Lindblom
Mar 20 '18,video,R,O,SO,DET,37-25-12,4,4,2,4,0,1,0,1,31,31,19515,J. Howard,F. Nielsen
Mar 18 '18,video,H,W,,WSH,37-25-11,6,3,0,3,0,3,0,0,35,28,19687,P. Mrazek,W. Simmonds
Mar 17 '18,video,R,W,,CAR,36-25-11,4,2,0,2,0,3,0,0,27,25,14805,A. Lyon,V. Filppula
Mar 15 '18,video,H,L,,CBJ,35-25-11,3,5,1,3,0,1,0,0,30,29,19354,S. Bobrovsky,C. Atkinson
Mar 12 '18,video,H,L,,VGK,35-24-11,2,3,1,4,2,2,0,0,40,29,19723,M. Fleury,R. Carpenter
Mar 10 '18,video,H,W,,WPG,35-23-11,2,1,0,2,1,4,0,0,35,28,19929,P. Mrazek,A. MacDonald
Mar 08 '18,video,R,L,,BOS,34-23-11,2,3,1,5,0,3,1,0,33,27,17565,T. Rask,B. Marchand
Mar 07 '18,video,H,L,,PIT,34-22-11,2,5,0,5,1,4,0,0,28,28,19624,T. Jarry,C. Sheary
Mar 04 '18,video,R,L,,FLA,34-21-11,1,4,0,2,1,5,0,0,40,26,14428,R. Luongo,E. Dadonov
Mar 03 '18,video,R,O,SO,TBL,34-20-11,6,6,1,5,1,1,0,0,43,35,19092,A. Vasilevskiy,B. Point
Mar 01 '18,video,H,L,,CAR,34-20-10,1,4,0,2,0,1,0,0,22,35,19245,C. Ward,T. Teravainen
Feb 26 '18,video,R,W,SO,MTL,34-19-10,0,0,0,3,0,1,0,0,33,28,21302,P. Mrazek,S. Couturier
Feb 24 '18,video,R,W,,OTT,33-19-10,5,3,0,2,1,3,0,0,39,28,16128,P. Mrazek,N. Patrick
Feb 22 '18,video,H,W,,CBJ,32-19-10,2,1,1,5,0,2,0,0,20,20,19727,P. Mrazek,N. Patrick
Feb 20 '18,video,H,W,OT,MTL,31-19-10,3,2,1,3,0,0,0,0,33,27,19336,A. Lyon,J. Voracek
Feb 18 '18,video,R,W,,NYR,30-19-10,7,4,0,1,0,0,0,0,37,40,18006,A. Lyon,T. Konecny
Feb 16 '18,video,R,W,OT,CBJ,29-19-10,2,1,0,1,0,0,0,0,25,36,17364,M. Neuvirth,S. Couturier
Feb 13 '18,video,H,O,SO,NJD,28-19-10,4,4,1,5,0,3,0,0,35,36,19312,K. Kinkaid,D. Stafford
Feb 11 '18,video,R,W,,VGK,28-19-9,4,1,0,0,0,1,0,0,18,39,18220,M. Neuvirth,A. MacDonald
Feb 10 '18,video,R,W,SO,ARI,27-19-9,3,3,2,4,0,2,0,0,43,27,13004,M. Neuvirth,N. Patrick
Feb 08 '18,video,H,W,,MTL,26-19-9,5,3,2,4,1,3,0,1,28,28,19655,B. Elliott,T. Konecny
Feb 06 '18,video,R,W,OT,CAR,25-19-9,2,1,0,5,1,4,0,0,30,28,11585,B. Elliott,J. Weal
Feb 03 '18,video,H,O,SO,OTT,24-19-9,3,3,0,3,0,2,0,0,36,29,19729,C. Anderson,M. Hoffman
Feb 01 '18,video,R,L,,NJD,24-19-8,3,4,2,3,2,4,0,0,25,22,13906,K. Kinkaid,N. Hischier
Jan 31 '18,video,R,L,,WSH,24-18-8,3,5,0,1,2,3,0,0,30,25,18506,B. Holtby,T. Oshie
Jan 25 '18,video,H,L,,TBL,24-17-8,1,5,1,4,0,1,0,1,37,22,19489,A. Vasilevskiy,Y. Gourde
Jan 23 '18,video,R,W,OT,DET,24-16-8,3,2,1,2,0,2,0,0,31,21,19515,B. Elliott,T. Konecny
Jan 21 '18,video,R,W,OT,WSH,23-16-8,2,1,0,3,1,3,0,0,23,28,18506,B. Elliott,T. Konecny
Jan 20 '18,video,H,W,,NJD,22-16-8,3,1,0,4,1,5,0,0,31,29,19934,M. Neuvirth,V. Filppula
Jan 18 '18,video,H,W,OT,TOR,21-16-8,3,2,0,2,0,2,1,0,37,31,19860,M. Neuvirth,S. Couturier
Jan 16 '18,video,R,L,,NYR,20-16-8,1,5,0,3,1,2,0,1,26,29,18006,H. Lundqvist,J. Miller
Jan 13 '18,video,R,W,,NJD,20-15-8,5,3,2,2,2,7,0,0,25,29,16514,B. Elliott,T. Konecny
Jan 07 '18,video,H,W,,BUF,19-15-8,4,1,1,3,1,3,0,0,29,31,19662,M. Neuvirth,S. Couturier
