Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Jun 19 '06,,H,W,,EDM,16-9,3,1,1,5,0,4,0,0,27,23,18978,C. Ward,
Jun 17 '06,,R,L,,EDM,15-9,0,4,0,6,3,9,0,0,16,34,16839,J. Markkanen,
Jun 14 '06,,H,L,OT,EDM,15-8,3,4,3,7,1,7,0,1,24,29,18974,J. Markkanen,F. Pisani
Jun 12 '06,,R,W,,EDM,15-7,2,1,1,6,0,5,0,0,20,21,16839,C. Ward,
Jun 10 '06,,R,L,,EDM,14-7,1,2,0,5,0,7,0,0,25,30,16839,J. Markkanen,
Jun 07 '06,,H,W,,EDM,14-6,5,0,3,10,0,6,0,0,26,25,18928,C. Ward,
Jun 05 '06,,H,W,,EDM,13-6,5,4,1,5,1,7,1,0,26,38,18797,C. Ward,
Jun 01 '06,,H,W,,BUF,12-6,4,2,1,5,0,4,0,0,28,24,18730,C. Ward,
May 30 '06,,R,L,OT,BUF,11-6,1,2,0,3,1,5,0,0,26,31,18690,R. Miller,D. Briere
May 28 '06,,H,W,OT,BUF,11-5,4,3,2,7,0,4,0,0,26,26,18730,C. Ward,C. Stillman
May 26 '06,,R,W,,BUF,10-5,4,0,1,2,0,4,0,0,21,22,18690,M. Gerber,
May 24 '06,,R,L,,BUF,9-5,3,4,1,5,2,7,0,0,27,33,18690,R. Miller,
May 22 '06,,H,W,,BUF,9-4,4,3,2,5,3,7,0,0,35,19,18730,C. Ward,
May 20 '06,,H,L,,BUF,8-4,2,3,0,4,0,3,1,0,31,27,18730,R. Miller,
May 14 '06,,H,W,,NJD,8-3,4,1,1,2,0,5,0,0,31,18,18730,C. Ward,
May 13 '06,,R,L,,NJD,7-3,1,5,0,4,2,11,0,1,20,33,17585,M. Brodeur,
May 10 '06,,R,W,,NJD,7-2,3,2,2,5,1,6,0,0,24,30,16862,C. Ward,
May 08 '06,,H,W,OT,NJD,6-2,3,2,1,5,0,4,0,0,38,23,18730,C. Ward,N. Wallin
May 06 '06,,H,W,,NJD,5-2,6,0,5,8,0,5,0,0,38,21,18730,C. Ward,
May 02 '06,,R,W,OT,MTL,4-2,2,1,0,3,1,4,0,0,29,26,21273,C. Ward,C. Stillman
Apr 30 '06,,H,W,,MTL,3-2,2,1,2,5,0,5,0,0,28,31,18887,C. Ward,
Apr 28 '06,,R,W,,MTL,2-2,3,2,0,2,1,4,0,0,30,25,21273,C. Ward,
Apr 26 '06,,R,W,OT,MTL,1-2,2,1,1,7,1,3,0,0,36,28,21273,C. Ward,E. Staal
Apr 24 '06,,H,L,OT,MTL,0-2,5,6,3,8,1,8,0,0,46,36,18730,C. Huet,M. Ryder
Apr 22 '06,,H,L,,MTL,0-1,1,6,0,5,2,3,0,0,43,21,18812,C. Huet,
