Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 07 '12,video,R,L,,FLA,33-33-16,1,4,1,2,1,2,0,0,35,26,19057,S. Clemmensen,J. Madden
Apr 05 '12,video,H,W,SO,MTL,33-32-16,1,1,1,6,0,7,0,0,29,31,17836,C. Ward,E. Staal
Apr 03 '12,video,R,W,,OTT,32-32-16,2,1,1,3,0,5,0,0,31,39,19484,C. Ward,T. Ruutu
Mar 31 '12,video,H,L,,NJD,31-32-16,0,5,0,4,1,4,0,0,22,31,18680,M. Brodeur,D. Clarkson
Mar 30 '12,video,H,O,OT,WPG,31-31-16,3,4,0,4,1,5,1,0,33,35,18680,C. Mason,A. Ladd
Mar 27 '12,video,R,W,,TOR,31-31-15,3,0,0,2,0,2,0,0,22,30,19348,C. Ward,J. Jokinen
Mar 24 '12,video,R,L,,DET,30-31-15,4,5,2,2,0,2,0,0,24,50,20066,T. Conklin,D. Miller
Mar 23 '12,video,R,L,,CBJ,30-30-15,1,5,0,5,1,3,0,0,40,26,15085,S. Mason,R. Umberger
Mar 21 '12,video,H,W,,FLA,30-29-15,3,1,1,4,0,5,0,0,39,31,18680,C. Ward,J. Pitkanen
Mar 18 '12,video,R,W,,WPG,29-29-15,4,3,1,5,0,5,1,0,35,33,15004,C. Ward,C. LaRose
Mar 17 '12,video,R,W,,MIN,28-29-15,5,3,0,1,1,2,0,0,34,26,18394,B. Boucher,T. Brent
Mar 15 '12,video,H,W,,STL,27-29-15,2,0,0,5,0,5,0,0,30,40,18680,C. Ward,C. LaRose
Mar 13 '12,video,R,L,,NYR,26-29-15,2,4,1,4,0,3,0,0,29,28,18200,M. Biron,B. Richards
Mar 11 '12,video,R,L,,FLA,26-28-15,0,2,0,2,0,1,0,0,34,33,15081,J. Theodore,T. Fleischmann
Mar 10 '12,video,R,W,,TBL,26-27-15,4,2,1,1,0,2,0,0,26,38,18554,C. Ward,J. Skinner
Mar 07 '12,video,R,O,OT,BUF,25-27-15,2,3,0,3,2,7,0,0,24,42,18690,R. Miller,J. Pominville
Mar 06 '12,video,R,W,OT,WSH,25-27-14,4,3,0,2,0,1,0,0,36,49,18506,C. Ward,J. Faulk
Mar 03 '12,video,H,O,OT,TBL,24-27-14,3,4,0,2,2,4,0,0,28,23,17116,M. Garon,S. Stamkos
Mar 01 '12,video,H,L,,NYR,24-27-13,2,3,1,5,0,3,0,0,23,25,14523,M. Biron,B. Prust
Feb 28 '12,video,H,W,,NSH,24-26-13,4,3,2,6,0,1,0,0,33,29,13595,C. Ward,B. Allen
Feb 25 '12,video,H,O,SO,FLA,23-26-13,2,2,1,2,0,2,0,0,28,44,18680,J. Theodore,S. Weiss
Feb 23 '12,video,H,O,SO,ANA,23-26-12,2,2,1,2,1,5,0,0,32,37,16564,J. Hiller,S. Koivu
Feb 20 '12,video,H,W,,WSH,23-26-11,5,0,1,4,0,2,1,0,40,17,16837,J. Peters,J. Faulk
Feb 18 '12,video,R,L,,NYI,22-26-11,3,4,0,3,1,2,0,0,36,31,11818,K. Poulin,J. Tavares
Feb 17 '12,video,H,W,,SJS,22-25-11,3,2,1,2,0,1,0,0,25,37,18680,J. Peters,J. Jokinen
Feb 13 '12,video,R,W,,MTL,21-25-11,5,3,2,5,2,5,1,0,35,33,21273,C. Ward,J. McBain
Feb 10 '12,video,R,O,OT,COL,20-25-11,3,4,0,3,0,0,0,0,42,33,16854,J. Giguere,R. O'Reilly
Feb 08 '12,video,R,O,OT,ANA,20-25-10,2,3,0,2,0,1,0,0,33,34,12675,J. Hiller,C. Perry
Feb 04 '12,video,H,W,,LAK,20-25-9,2,1,0,3,1,2,0,0,22,25,18680,C. Ward,J. Skinner
Feb 02 '12,video,R,W,,BOS,19-25-9,3,0,0,4,0,2,0,0,31,47,17565,C. Ward,E. Staal
Jan 31 '12,video,H,L,,NYI,18-25-9,2,5,1,2,2,4,0,0,23,26,15575,K. Poulin,J. Tavares
Jan 23 '12,video,H,W,,WPG,18-24-9,2,1,0,2,0,2,0,0,16,30,16045,C. Ward,T. Brent
Jan 21 '12,video,R,O,OT,NYI,17-24-9,1,2,0,3,0,2,0,0,33,40,13622,E. Nabokov,J. Tavares
Jan 20 '12,video,H,W,,WSH,17-24-8,3,0,2,3,0,3,1,0,33,23,17507,C. Ward,J. Jokinen
Jan 17 '12,video,R,O,SO,PIT,16-24-8,1,1,0,3,0,1,0,0,26,41,18535,M. Fleury,J. Neal
Jan 15 '12,video,R,L,,WSH,16-24-7,1,2,1,4,0,1,0,0,44,24,18506,T. Vokoun,D. Orlov
Jan 14 '12,video,H,W,,BOS,16-23-7,4,2,0,0,0,2,0,0,21,35,18680,C. Ward,J. Harrison
Jan 12 '12,video,R,W,,TBL,15-23-7,5,2,0,1,0,2,0,0,32,36,16553,C. Ward,J. Harrison
Jan 10 '12,video,H,L,,PHI,14-23-7,1,2,1,3,0,4,0,0,36,37,14511,S. Bobrovsky,S. Couturier
Jan 07 '12,video,R,L,,NSH,14-22-7,2,5,1,2,4,5,0,0,29,36,17113,P. Rinne,P. Hornqvist
Jan 06 '12,video,H,W,,BUF,14-21-7,4,2,2,4,0,2,0,0,35,33,16095,C. Ward,C. LaRose
Jan 03 '12,video,H,O,SO,NYI,13-21-7,3,3,0,1,2,2,0,0,40,36,13828,E. Nabokov,F. Nielsen
Dec 31 '11,video,R,L,,TBL,13-21-6,2,5,2,4,1,3,0,0,26,32,19204,M. Garon,S. Stamkos
Dec 29 '11,video,H,W,OT,TOR,13-20-6,4,3,1,3,0,7,0,0,34,24,17461,C. Ward,E. Staal
Dec 27 '11,video,R,L,,PIT,12-20-6,2,4,0,2,1,3,0,0,18,52,18600,M. Fleury,P. Dupuis
Dec 26 '11,video,H,W,,NJD,12-19-6,4,2,0,4,0,1,1,0,33,25,16121,C. Ward,A. Stewart
Dec 23 '11,video,H,W,OT,OTT,11-19-6,2,1,0,3,0,1,0,0,38,23,14556,C. Ward,T. Ruutu
Dec 21 '11,video,H,L,,PHX,10-19-6,3,4,0,3,1,1,0,0,37,19,15848,J. LaBarbera,L. Korpikoski
Dec 18 '11,video,R,O,OT,FLA,10-18-6,2,3,0,3,1,3,0,0,26,25,15289,J. Theodore,K. Versteeg
Dec 15 '11,video,H,W,,VAN,10-18-5,4,3,1,6,0,1,0,0,41,36,15292,C. Ward,J. Spacek
Dec 13 '11,video,R,O,OT,TOR,9-18-5,1,2,1,3,0,3,0,0,19,38,19509,J. Reimer,T. Connolly
Dec 09 '11,video,R,L,,WPG,9-18-4,2,4,1,3,2,4,0,0,25,37,15004,C. Mason,T. Stapleton
Dec 07 '11,video,R,W,,EDM,9-17-4,5,3,2,6,0,4,1,0,33,25,16839,C. Ward,C. LaRose
Dec 06 '11,video,R,L,,CGY,8-17-4,6,7,0,3,1,2,0,0,34,35,19289,M. Kiprusoff,J. Iginla
Dec 03 '11,video,H,L,,PIT,8-16-4,2,3,1,4,0,1,0,0,32,40,17696,B. Johnson,P. Dupuis
Dec 01 '11,video,H,L,,NYR,8-15-4,3,5,0,1,1,4,0,0,31,27,12566,M. Biron,S. Avery
Nov 29 '11,video,H,L,,FLA,8-14-4,1,3,0,5,1,2,0,0,27,21,13065,J. Theodore,S. Matthias
Nov 27 '11,video,R,L,,OTT,8-13-4,3,4,1,8,1,4,0,0,37,25,19656,C. Anderson,Z. Smith
Nov 25 '11,video,H,L,,WPG,8-12-4,1,3,0,4,0,1,0,0,21,30,15718,C. Mason,A. Ladd
