Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 04 '08,,R,W,SO,NYR,35-38-9,3,3,0,3,0,8,1,0,32,51,18200,W. Dubielewicz,R. Park
Apr 03 '08,,H,L,,NYR,34-38-9,0,3,0,2,2,7,0,0,25,35,16234,H. Lundqvist,J. Jagr
Apr 01 '08,,H,O,OT,NJD,34-37-9,1,2,0,2,1,3,0,0,22,47,12357,M. Brodeur,Z. Parise
Mar 29 '08,,H,O,SO,PHI,34-37-8,3,3,0,4,1,1,0,0,30,54,15223,A. Niittymaki,D. Briere
Mar 27 '08,,R,L,,PIT,34-37-7,1,3,0,5,0,5,0,1,28,29,17025,M. Fleury,J. Ruutu
Mar 24 '08,,H,W,,PIT,34-36-7,4,1,1,5,1,6,1,0,36,29,16234,W. Dubielewicz,B. Guerin
Mar 23 '08,,R,L,,PHI,33-36-7,1,4,1,7,3,5,0,0,33,26,19136,M. Biron,B. Coburn
Mar 21 '08,,R,W,,NJD,33-35-7,3,1,1,5,1,7,0,0,16,35,17075,W. Dubielewicz,K. Okposo
Mar 18 '08,,H,L,,TOR,32-35-7,1,3,0,3,1,5,1,0,28,26,13134,V. Toskala,P. Kubina
Mar 15 '08,,R,L,,MTL,32-34-7,0,3,0,2,1,2,0,0,30,29,21273,J. Halak,R. Hamrlik
Mar 12 '08,,R,L,,FLA,32-33-7,2,4,1,3,0,2,0,0,29,32,15233,T. Vokoun,K. Skrastins
Mar 11 '08,,R,L,,TBL,32-32-7,4,8,1,4,2,5,0,0,24,44,19111,K. Ramo,V. Lecavalier
Mar 08 '08,,R,L,,PHI,32-31-7,1,4,0,5,4,7,0,0,33,27,19748,M. Biron,J. Carter
Mar 06 '08,,H,L,,NYR,32-30-7,1,4,0,5,0,3,0,0,27,28,16234,H. Lundqvist,S. Avery
Mar 04 '08,,R,W,SO,NYR,32-29-7,3,3,0,2,1,2,0,1,18,30,18200,W. Dubielewicz,J. Tambellini
Mar 02 '08,,H,L,,FLA,31-29-7,0,1,0,3,0,2,0,0,53,30,15314,C. Anderson,D. Booth
Mar 01 '08,,H,L,,PHI,31-28-7,1,4,1,3,1,1,0,1,34,31,15136,M. Biron,B. Coburn
Feb 28 '08,,R,W,OT,ATL,31-27-7,5,4,0,5,0,3,0,1,37,23,16332,R. DiPietro,T. Hunter
Feb 26 '08,,H,L,,PIT,30-27-7,2,4,1,9,2,4,0,0,52,21,11258,T. Conklin,J. Staal
Feb 23 '08,,R,L,,NJD,30-26-7,2,4,0,3,1,5,0,1,21,42,17625,M. Brodeur,Z. Parise
Feb 21 '08,,H,W,,TBL,30-25-7,1,0,0,4,0,3,0,0,28,32,12382,R. DiPietro,M. Satan
Feb 20 '08,,R,W,SO,WSH,29-25-7,2,2,0,2,1,4,0,0,19,30,17584,R. DiPietro,M. Comrie
Feb 18 '08,,H,W,,SJS,28-25-7,3,2,0,5,0,5,0,0,21,30,16234,R. DiPietro,F. Meyer
Feb 16 '08,,H,W,,ATL,27-25-7,4,1,1,6,1,6,0,0,49,10,16234,R. DiPietro,R. Fedotenko
Feb 14 '08,,R,W,,TOR,26-25-7,5,4,4,7,1,5,0,0,29,31,19227,R. DiPietro,F. Meyer
Feb 12 '08,,H,W,,PHI,25-25-7,4,3,0,4,1,6,0,0,47,29,11193,R. DiPietro,R. Fedotenko
Feb 09 '08,,R,O,OT,MIN,24-25-7,3,4,0,3,0,4,0,0,29,18,18568,N. Backstrom,B. Burns
Feb 07 '08,,R,L,,PIT,24-25-6,3,4,2,3,2,3,0,0,32,27,17075,T. Conklin,K. Letang
Feb 05 '08,,H,L,,ANA,24-24-6,0,3,0,1,1,6,0,0,25,26,9649,J. Giguere,S. Niedermayer
Feb 02 '08,,R,L,,MTL,24-23-6,1,4,0,5,1,5,0,1,30,32,21273,C. Huet,M. Streit
Jan 31 '08,,H,L,,LAK,24-22-6,1,3,0,1,1,5,0,0,29,27,10148,J. LaBarbera,R. Blake
Jan 29 '08,,H,L,,OTT,24-21-6,2,5,1,2,1,4,0,0,25,26,9546,M. Gerber,D. McAmmond
Jan 24 '08,,R,L,,BOS,24-20-6,1,4,0,3,2,3,0,0,29,30,13461,T. Thomas,M. Lucic
Jan 22 '08,,R,W,,CAR,24-19-6,6,3,0,5,1,8,3,0,31,47,15675,W. Dubielewicz,S. Bergenheim
Jan 21 '08,,H,O,OT,CAR,23-19-6,2,3,0,1,1,2,0,0,25,29,16234,C. Ward,C. Stillman
Jan 19 '08,,H,L,,PHI,23-19-5,3,5,1,5,3,6,0,0,31,32,16234,M. Biron,S. Hartnell
Jan 16 '08,,R,W,,NJD,23-18-5,3,1,1,4,0,5,0,0,23,38,15975,R. DiPietro,M. Sillinger
Jan 15 '08,,H,L,,MTL,22-18-5,1,3,0,1,0,2,0,1,18,22,11439,C. Huet,T. Plekanec
Jan 13 '08,,R,W,,OTT,22-17-5,3,1,2,9,1,3,0,0,31,32,19804,R. DiPietro,M. Bergeron
Jan 11 '08,,R,W,SO,CGY,21-17-5,4,4,0,4,0,5,0,0,25,42,19289,R. DiPietro,R. Park
Jan 08 '08,,R,O,SO,VAN,20-17-5,2,2,0,1,0,7,0,0,28,45,18630,R. Luongo,A. Edler
Jan 07 '08,,R,L,,EDM,20-17-4,0,4,0,3,1,4,0,0,35,33,16839,M. Garon,A. Hemsky
Jan 05 '08,,R,O,OT,COL,20-16-4,1,2,0,3,0,4,0,0,24,39,17154,J. Theodore,M. Svatos
Jan 03 '08,,H,O,OT,FLA,20-16-3,3,4,2,6,1,3,0,0,40,32,11428,C. Anderson,J. Cullimore
Dec 31 '07,,R,W,,CAR,20-16-2,4,1,3,7,0,4,0,0,24,29,17091,W. Dubielewicz,B. Guerin
Dec 29 '07,,H,W,,NJD,19-16-2,5,2,1,3,0,3,1,0,33,29,16234,W. Dubielewicz,A. Sutton
Dec 27 '07,,R,L,,OTT,18-16-2,2,5,0,3,1,4,0,1,27,37,20268,M. Gerber,A. Vermette
Dec 26 '07,,H,W,OT,TOR,18-15-2,4,3,0,2,0,4,0,1,28,32,15301,W. Dubielewicz,M. Comrie
Dec 22 '07,,H,W,OT,WSH,17-15-2,3,2,0,3,0,3,0,0,31,16,14305,R. DiPietro,R. Park
Dec 21 '07,,R,W,,PIT,16-15-2,4,2,0,3,1,6,0,0,24,26,17008,R. DiPietro,B. Comeau
Dec 19 '07,,H,L,,BUF,15-15-2,1,2,0,5,0,6,0,0,43,17,10806,R. Miller,M. Afinogenov
Dec 15 '07,,H,L,,PIT,15-14-2,2,3,1,2,1,6,0,0,29,40,15269,D. Sabourin,T. Kennedy
Dec 13 '07,,H,W,,PHX,15-13-2,3,2,1,3,1,6,0,1,33,36,9581,R. DiPietro,B. Guerin
Dec 12 '07,,R,L,,BUF,14-13-2,3,5,1,5,1,6,0,0,31,41,18690,R. Miller,D. Roy
Dec 08 '07,,R,W,OT,TBL,14-12-2,3,2,1,8,2,7,0,0,33,34,18319,R. DiPietro,M. Sillinger
Dec 07 '07,,R,L,,FLA,13-12-2,0,3,0,3,2,5,0,0,25,41,14502,T. Vokoun,S. Weiss
