Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
May 08 '16,video,R,L,,TBL,5-6,0,4,0,2,1,5,0,0,28,25,19092,B. Bishop,V. Hedman
May 06 '16,video,H,L,OT,TBL,5-5,1,2,1,3,0,3,0,0,28,24,15795,B. Bishop,J. Garrison
May 03 '16,video,H,L,OT,TBL,5-4,4,5,1,4,1,4,0,0,39,41,15795,B. Bishop,B. Boyle
Apr 30 '16,video,R,L,,TBL,5-3,1,4,1,5,1,6,0,0,20,31,19092,B. Bishop,J. Drouin
Apr 27 '16,video,R,W,,TBL,5-2,5,3,1,4,0,2,0,0,22,36,19092,T. Greiss,J. Tavares
Apr 24 '16,video,H,W,OT,FLA,4-2,2,1,0,3,0,3,0,0,51,42,15795,T. Greiss,J. Tavares
Apr 22 '16,video,R,W,OT,FLA,3-2,2,1,1,5,0,1,0,0,42,48,20247,T. Greiss,A. Quine
Apr 20 '16,video,H,L,,FLA,2-2,1,2,1,4,1,4,0,0,27,29,15795,R. Luongo,A. Petrovic
Apr 17 '16,video,H,W,OT,FLA,2-1,4,3,2,4,0,3,0,0,39,39,15795,T. Greiss,T. Hickey
Apr 15 '16,,R,L,,FLA,1-1,1,3,0,3,0,1,0,0,42,31,18373,R. Luongo,N. Bjugstad
Apr 14 '16,video,R,W,,FLA,1-0,5,4,1,2,1,3,0,0,26,46,17422,T. Greiss,R. Strome
