Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
07 Apr '07,,H,W,SO,TBL,43-28-11,2,2,1,4,0,5,0,0,43,36,18756,K. Lehtonen,
06 Apr '07,,R,W,,CAR,42-28-11,4,1,0,5,1,7,0,0,28,33,17158,J. Hedberg,
04 Apr '07,,H,L,,WSH,41-28-11,2,3,0,4,1,3,1,0,32,26,18783,B. Johnson,
31 Mar '07,,R,W,,BOS,41-27-11,3,2,0,7,1,3,0,0,40,27,16218,K. Lehtonen,
29 Mar '07,,H,W,OT,TOR,40-27-11,3,2,2,4,0,3,0,0,27,29,17062,J. Hedberg,V. Kozlov
28 Mar '07,,R,O,SO,FLA,39-27-11,2,2,1,8,1,3,0,0,35,35,12864,C. Anderson,
24 Mar '07,,R,L,,PIT,39-27-10,1,2,0,3,0,5,0,0,26,28,17132,J. Thibault,
22 Mar '07,,H,L,,SJS,39-26-10,1,5,0,1,0,1,0,0,19,32,16367,V. Toskala,
18 Mar '07,,H,W,OT,BUF,39-25-10,4,3,3,5,0,5,0,0,31,38,18602,K. Lehtonen,K. Tkachuk
16 Mar '07,,H,W,OT,NYR,38-25-10,2,1,1,6,0,6,0,0,22,39,18547,J. Hedberg,A. Zhitnik
15 Mar '07,,R,L,,PHI,37-25-10,2,3,0,3,1,2,0,0,39,36,19122,M. Biron,
12 Mar '07,,H,W,,WSH,37-24-10,4,2,0,2,1,4,0,0,21,33,14041,K. Lehtonen,
10 Mar '07,,R,L,,FLA,36-24-10,2,3,0,3,0,5,0,0,32,39,17927,E. Belfour,
08 Mar '07,,H,W,,MTL,36-23-10,6,2,1,5,0,6,0,0,29,35,14528,K. Lehtonen,
06 Mar '07,,H,W,,FLA,35-23-10,4,2,2,10,1,6,0,0,30,40,12566,K. Lehtonen,
04 Mar '07,,H,W,,CAR,34-23-10,3,1,1,4,0,4,0,0,25,36,17783,K. Lehtonen,
02 Mar '07,,H,W,,OTT,33-23-10,4,2,0,5,2,3,0,0,24,23,16190,K. Lehtonen,
26 Feb '07,,R,W,,BOS,32-23-10,3,2,2,5,0,4,0,0,20,24,16417,K. Lehtonen,
24 Feb '07,,H,L,,CAR,31-23-10,1,4,0,2,0,3,1,0,29,28,18774,J. Grahame,
22 Feb '07,,H,O,OT,TBL,31-22-10,4,5,1,3,1,5,0,0,28,29,16032,M. Denis,M. St. Louis
20 Feb '07,,R,W,,CAR,31-22-9,3,1,0,2,0,4,1,0,23,34,16228,J. Hedberg,
17 Feb '07,,R,L,,OTT,30-22-9,3,5,2,3,0,2,0,1,31,30,19881,M. Gerber,
13 Feb '07,,R,L,,CGY,30-21-9,1,4,0,4,3,6,0,0,22,27,19289,M. Kiprusoff,
11 Feb '07,,R,L,,EDM,30-20-9,1,5,0,6,2,7,0,0,30,32,16839,D. Roloson,
10 Feb '07,,R,L,,VAN,30-19-9,2,3,1,4,1,5,0,0,29,33,18630,R. Luongo,
08 Feb '07,,R,W,,COL,30-18-9,6,3,1,4,2,3,0,0,32,48,17428,K. Lehtonen,
06 Feb '07,,H,O,SO,BUF,29-18-9,3,3,1,6,3,5,0,0,30,28,17881,R. Miller,
03 Feb '07,,H,L,,PHI,29-18-8,2,5,0,4,0,1,0,1,38,24,18622,A. Niittymaki,
01 Feb '07,,H,L,,NYI,29-17-8,2,5,0,6,1,4,0,0,32,31,13543,M. Dunham,
30 Jan '07,,H,W,SO,NJD,29-16-8,4,4,3,6,2,3,0,0,40,40,12162,K. Lehtonen,
28 Jan '07,,H,L,,PHI,28-16-8,1,2,0,6,1,2,0,0,38,23,18598,A. Niittymaki,
26 Jan '07,,H,W,OT,NYI,28-15-8,5,4,0,5,0,2,0,1,33,33,18089,K. Lehtonen,I. Kovalchuk
20 Jan '07,,R,W,,NYR,27-15-8,3,1,0,4,0,6,0,0,32,30,18200,K. Lehtonen,
18 Jan '07,,H,L,,MTL,26-15-8,1,4,0,3,2,3,0,0,45,33,14025,C. Huet,
16 Jan '07,,H,W,,LAK,26-14-8,6,2,2,3,0,2,0,0,29,30,13205,K. Lehtonen,
13 Jan '07,,R,W,SO,CAR,25-14-8,3,3,1,7,0,5,0,0,26,27,18639,K. Lehtonen,
12 Jan '07,,R,L,,NJD,24-14-8,1,2,0,5,2,6,0,0,26,34,13249,M. Brodeur,
09 Jan '07,,R,L,,MTL,24-13-8,2,4,0,6,1,5,0,0,30,34,21273,C. Huet,
06 Jan '07,,R,O,OT,WSH,24-12-8,2,3,1,5,2,8,0,0,22,37,15642,O. Kolzig,A. Semin
05 Jan '07,,H,O,OT,PHX,24-12-7,4,5,0,6,1,5,0,0,22,31,18545,C. Joseph,Y. Perreault
02 Jan '07,,R,L,,MIN,24-12-6,1,5,1,3,2,8,0,0,15,35,18568,M. Fernandez,
01 Jan '07,,R,W,OT,OTT,24-11-6,3,2,1,3,2,4,0,0,29,35,19707,K. Lehtonen,V. Kozlov
30 Dec '06,,R,L,,BUF,23-11-6,1,4,0,4,1,5,0,0,30,32,18690,R. Miller,
27 Dec '06,,R,W,,PIT,23-10-6,4,2,2,6,2,6,0,0,31,37,17132,K. Lehtonen,
26 Dec '06,,H,W,,TBL,22-10-6,2,1,0,5,0,3,0,1,29,25,16356,K. Lehtonen,
23 Dec '06,,H,W,,NJD,21-10-6,5,2,0,3,1,4,0,0,27,38,17548,K. Lehtonen,
21 Dec '06,,H,W,SO,PIT,20-10-6,3,3,2,7,0,7,0,1,32,39,17328,K. Lehtonen,
19 Dec '06,,R,W,SO,NJD,19-10-6,3,3,0,3,2,5,2,0,31,34,10116,K. Lehtonen,
16 Dec '06,,R,L,,NYI,18-10-6,0,6,0,5,0,1,0,1,37,32,10452,R. DiPietro,
15 Dec '06,,H,O,OT,WSH,18-9-6,2,3,1,3,2,5,0,0,30,33,16920,B. Johnson,A. Ovechkin
13 Dec '06,,H,L,,ANA,18-9-5,1,2,1,7,1,5,0,0,35,32,16028,J. Giguere,
09 Dec '06,,H,O,OT,PIT,18-8-5,3,4,1,6,2,4,1,0,23,43,18687,M. Fleury,C. Armstrong
07 Dec '06,,R,L,,TBL,18-8-4,0,8,0,4,2,8,0,1,21,38,17704,M. Denis,
05 Dec '06,,R,W,,TOR,18-7-4,5,2,2,10,1,3,0,0,37,19,19507,J. Hedberg,
02 Dec '06,,R,W,,FLA,17-7-4,3,1,1,8,0,3,0,0,25,28,13333,K. Lehtonen,
30 Nov '06,,H,W,,TOR,16-7-4,5,0,3,7,0,7,0,0,27,36,15092,K. Lehtonen,
28 Nov '06,,R,W,OT,NYR,15-7-4,5,4,0,1,3,6,0,0,30,34,18200,K. Lehtonen,B. Holik
25 Nov '06,,H,W,,FLA,14-7-4,1,0,0,3,0,7,0,0,28,37,17053,K. Lehtonen,
