Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Jun 13 '14,video,H,W,OT,NYR,16-10,3,2,1,4,1,5,0,1,51,30,18713,J. Quick,A. Martinez
Jun 11 '14,video,R,L,,NYR,15-10,1,2,0,2,0,3,0,0,41,19,18006,H. Lundqvist,M. St. Louis
Jun 09 '14,video,R,W,,NYR,15-9,3,0,1,4,0,6,0,0,15,32,18006,J. Quick,J. Carter
Jun 07 '14,video,H,W,OT,NYR,14-9,5,4,1,4,1,5,0,0,44,38,18532,J. Quick,D. Brown
Jun 04 '14,video,H,W,OT,NYR,13-9,3,2,0,4,0,3,0,1,43,27,18399,J. Quick,J. Williams
Jun 01 '14,video,R,W,OT,CHI,12-9,5,4,0,2,2,5,0,0,32,41,22315,J. Quick,A. Martinez
May 30 '14,video,H,L,,CHI,11-9,3,4,1,2,1,2,0,0,29,25,18471,C. Crawford,P. Kane
May 28 '14,video,R,L,OT,CHI,11-8,4,5,0,3,1,4,0,0,44,45,21871,C. Crawford,M. Handzus
May 26 '14,video,H,W,,CHI,11-7,5,2,2,3,0,3,0,0,21,24,18468,J. Quick,D. Brown
May 24 '14,video,H,W,,CHI,10-7,4,3,1,3,0,4,0,1,32,27,18374,J. Quick,D. Doughty
May 21 '14,video,R,W,,CHI,9-7,6,2,2,4,1,4,0,0,31,25,22019,J. Quick,J. Muzzin
May 18 '14,video,R,L,,CHI,8-7,1,3,0,2,1,2,0,0,26,20,21832,C. Crawford,D. Keith
May 16 '14,video,R,W,,ANA,8-6,6,2,2,5,0,3,0,0,30,27,17395,J. Quick,M. Richards
May 14 '14,video,H,W,,ANA,7-6,2,1,0,4,0,5,0,0,23,22,18519,J. Quick,T. Lewis
May 12 '14,video,R,L,,ANA,6-6,3,4,1,3,1,3,0,0,42,24,17233,J. Gibson,J. Silfverberg
May 10 '14,video,H,L,,ANA,6-5,0,2,0,4,1,3,0,0,28,14,18489,J. Gibson,D. Smith-Pelly
May 08 '14,video,H,L,,ANA,6-4,2,3,1,1,2,2,0,0,31,22,18622,J. Hiller,B. Lovejoy
May 05 '14,video,R,W,,ANA,6-3,3,1,0,3,1,4,0,0,17,37,17281,J. Quick,A. Martinez
May 03 '14,video,R,W,OT,ANA,5-3,3,2,1,4,0,4,0,0,36,35,17393,J. Quick,M. Gaborik
Apr 30 '14,video,R,W,,SJS,4-3,5,1,1,3,0,6,0,0,30,40,17562,J. Quick,A. Kopitar
Apr 28 '14,video,H,W,,SJS,3-3,4,1,1,4,0,4,0,0,30,26,18384,J. Quick,J. Williams
Apr 26 '14,video,R,W,,SJS,2-3,3,0,1,4,0,5,0,0,41,30,17562,J. Quick,T. Toffoli
Apr 24 '14,video,H,W,,SJS,1-3,6,3,1,5,1,4,0,0,31,39,18376,J. Quick,T. Toffoli
Apr 22 '14,video,H,L,OT,SJS,0-3,3,4,2,4,1,4,0,0,31,40,18390,A. Niemi,P. Marleau
Apr 20 '14,video,R,L,,SJS,0-2,2,7,0,1,1,6,0,0,26,40,17562,A. Niemi,J. Braun
Apr 17 '14,video,R,L,,SJS,0-1,3,6,0,3,1,3,0,0,34,33,17562,A. Niemi,R. Torres
