Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 09 '17,video,R,O,OT,ANA,39-35-8,3,4,1,4,1,5,0,0,18,24,16564,J. Bernier,S. Theodore
Apr 08 '17,video,H,W,OT,CHI,39-35-7,3,2,1,2,0,3,0,0,26,27,18230,J. Quick,D. Doughty
Apr 06 '17,video,H,L,,CGY,38-35-7,1,4,0,3,1,2,0,0,28,24,18230,J. Gillies,D. Wideman
Apr 04 '17,video,H,W,,EDM,38-34-7,6,4,0,3,1,3,0,0,27,27,18230,J. Quick,T. Pearson
Apr 02 '17,video,H,L,,ARI,37-34-7,1,2,1,6,1,1,0,0,35,15,18230,M. Smith,A. Duclair
Mar 31 '17,video,R,W,,VAN,37-33-7,2,0,1,1,0,2,0,0,26,35,18865,J. Quick,J. Iginla
Mar 29 '17,video,R,W,,CGY,36-33-7,4,1,0,6,0,6,0,0,33,26,19005,B. Bishop,J. Iginla
Mar 28 '17,video,R,L,,EDM,35-33-7,1,2,0,1,0,3,0,0,35,29,18347,C. Talbot,E. Gryba
Mar 25 '17,video,H,L,,NYR,35-32-7,0,3,0,3,1,3,0,0,30,20,18230,A. Raanta,D. Stepan
Mar 23 '17,video,H,W,,WPG,35-31-7,5,2,3,4,1,4,1,0,36,21,18230,B. Bishop,M. Gaborik
Mar 20 '17,video,R,L,,EDM,34-31-7,0,2,0,2,1,3,0,0,35,31,18347,C. Talbot,P. Maroon
Mar 19 '17,video,R,L,,CGY,34-30-7,2,5,0,3,0,3,0,0,21,24,19115,B. Elliott,M. Giordano
Mar 16 '17,video,H,W,,BUF,34-29-7,2,0,0,2,0,2,0,0,36,26,18230,J. Quick,J. Iginla
Mar 14 '17,video,H,O,SO,ARI,33-29-7,2,2,1,3,0,3,0,0,46,32,18230,L. Domingue,T. DeAngelo
Mar 13 '17,video,H,L,,STL,33-29-6,1,3,0,3,1,4,0,0,39,26,18230,J. Allen,M. Paajarvi
Mar 11 '17,video,H,W,,WSH,33-28-6,4,2,2,6,1,3,0,0,22,19,18230,J. Quick,A. Kempe
Mar 09 '17,video,H,W,OT,NSH,32-28-6,3,2,3,3,0,2,0,0,34,23,18230,J. Quick,J. Iginla
Mar 04 '17,video,H,L,,VAN,31-28-6,3,4,2,7,0,2,1,0,44,21,18230,R. Miller,N. Goldobin
Mar 02 '17,video,H,W,SO,TOR,31-27-6,2,2,1,3,0,1,0,0,35,31,18230,J. Quick,A. Kopitar
Feb 28 '17,video,R,O,OT,CGY,30-27-6,1,2,1,1,0,2,0,0,29,30,19289,B. Elliott,T. Brodie
Feb 27 '17,video,R,O,OT,MIN,30-27-5,4,5,0,1,0,2,0,0,30,35,19118,D. Dubnyk,M. Granlund
Feb 25 '17,video,H,W,,ANA,30-27-4,4,1,0,4,0,4,0,0,33,33,18230,J. Quick,T. Toffoli
Feb 23 '17,video,H,L,,BOS,29-27-4,1,4,1,3,1,1,0,0,28,25,18230,A. Khudobin,D. Pastrnak
Feb 21 '17,video,R,W,,COL,29-26-4,2,1,0,1,0,3,0,0,32,25,13768,P. Budaj,T. Lewis
Feb 19 '17,video,R,L,,ANA,28-26-4,0,1,0,2,0,2,0,0,24,29,17174,J. Gibson,J. Manson
Feb 18 '17,video,H,L,,FLA,28-25-4,2,3,0,3,0,2,0,0,35,25,18230,R. Luongo,A. Barkov
Feb 16 '17,video,H,L,,ARI,28-24-4,3,5,1,3,1,3,0,1,44,22,18230,M. Smith,J. Martinook
Feb 09 '17,video,R,W,,FLA,28-23-4,6,3,1,3,0,4,0,0,26,39,13451,P. Budaj,T. Pearson
Feb 07 '17,video,R,L,,TBL,27-23-4,0,5,0,2,0,2,0,0,28,21,19092,B. Bishop,J. Drouin
Feb 05 '17,video,R,L,,WSH,27-22-4,0,5,0,4,0,2,0,0,38,20,18506,P. Grubauer,L. Eller
Feb 04 '17,video,R,W,OT,PHI,27-21-4,1,0,0,2,0,2,0,0,28,17,19833,P. Budaj,J. Carter
Feb 01 '17,video,H,W,,COL,26-21-4,5,0,1,3,0,4,0,0,40,22,18230,P. Budaj,M. Gaborik
Jan 31 '17,video,R,W,,ARI,25-21-4,3,2,1,3,0,1,0,0,39,32,11577,P. Budaj,J. Muzzin
Jan 26 '17,video,R,W,,CAR,24-21-4,3,0,0,1,0,4,0,0,29,22,10486,P. Budaj,M. Gaborik
Jan 24 '17,video,R,W,,NJD,23-21-4,3,1,1,2,0,4,0,0,25,25,13412,P. Budaj,T. Pearson
Jan 23 '17,video,R,L,,NYR,22-21-4,2,3,0,2,0,3,0,0,38,17,18006,H. Lundqvist,M. Zuccarello
Jan 21 '17,video,R,L,,NYI,22-20-4,2,4,1,2,3,5,0,0,36,36,15138,J. Berube,A. Lee
Jan 18 '17,video,H,L,,SJS,22-19-4,2,3,0,4,1,4,0,0,24,27,18230,M. Jones,J. Pavelski
Jan 16 '17,video,H,L,,TBL,22-18-4,1,2,0,3,0,2,0,0,32,29,18230,B. Bishop,B. Boyle
Jan 14 '17,video,H,W,OT,WPG,22-17-4,3,2,0,4,2,4,0,0,38,28,18230,P. Budaj,J. Carter
Jan 12 '17,video,H,W,,STL,21-17-4,5,1,1,5,0,3,0,0,28,22,18230,P. Budaj,T. Lewis
Jan 09 '17,video,H,L,,DAL,20-17-4,4,6,2,3,0,1,1,0,22,26,18230,A. Niemi,J. Hudler
Jan 07 '17,video,H,W,OT,MIN,20-16-4,4,3,1,3,1,3,0,0,36,24,18230,P. Budaj,T. Pearson
Jan 05 '17,video,H,L,,DET,19-16-4,0,4,0,0,0,2,0,0,34,22,18230,J. Coreau,T. Vanek
Jan 03 '17,video,R,W,OT,SJS,19-15-4,2,1,1,3,0,3,0,0,35,27,17562,P. Budaj,T. Pearson
Dec 31 '16,video,H,W,,SJS,18-15-4,3,2,1,5,1,3,0,0,27,20,18230,P. Budaj,J. Carter
Dec 29 '16,video,R,L,,EDM,17-15-4,1,3,0,2,1,2,0,0,29,35,18347,C. Talbot,E. Gryba
Dec 28 '16,video,R,L,,VAN,17-14-4,1,2,0,2,1,3,0,0,37,20,18865,R. Miller,H. Sedin
Dec 23 '16,video,R,O,OT,DAL,17-13-4,2,3,1,3,0,3,0,0,31,31,18156,K. Lehtonen,E. Lindell
Dec 22 '16,video,R,W,,NSH,17-13-3,4,0,0,2,0,3,0,0,26,28,17156,P. Budaj,N. Shore
Dec 20 '16,video,R,O,SO,CBJ,16-13-3,2,2,1,2,0,2,0,0,46,27,16568,C. McElhinney,S. Gagner
Dec 18 '16,video,R,L,,BOS,16-13-2,0,1,0,4,0,4,0,0,18,30,17565,T. Rask,J. Hayes
Dec 16 '16,video,R,W,OT,PIT,16-12-2,1,0,0,1,0,4,0,0,28,39,18544,P. Budaj,T. Toffoli
Dec 15 '16,video,R,W,,DET,15-12-2,4,1,0,3,0,4,0,0,31,18,20027,J. Zatkoff,N. Dowd
Dec 13 '16,video,R,L,,BUF,14-12-2,3,6,0,0,0,1,0,0,33,26,18375,R. Lehner,J. Eichel
Dec 10 '16,video,H,W,,OTT,14-11-2,4,1,3,4,0,4,0,0,19,20,18230,P. Budaj,A. Martinez
Dec 08 '16,video,H,L,,CAR,13-11-2,1,3,0,3,0,0,0,1,22,18,18230,C. Ward,D. Ryan
Dec 04 '16,video,H,O,SO,MTL,13-10-2,4,4,2,4,2,5,0,0,31,30,18230,C. Price,P. Byron
Dec 01 '16,video,R,W,,ARI,13-10-1,4,3,0,6,2,6,0,0,33,32,11327,J. Zatkoff,T. Lewis
Nov 30 '16,video,H,L,,SJS,12-10-1,1,4,1,2,0,1,0,0,27,24,18230,M. Jones,L. Couture
Nov 26 '16,video,H,W,OT,CHI,12-9-1,2,1,0,3,0,3,0,0,29,19,18435,P. Budaj,J. Carter
Nov 23 '16,video,H,W,,NYI,11-9-1,4,2,0,2,0,2,0,0,28,24,18230,P. Budaj,D. King
Nov 20 '16,video,R,W,,ANA,10-9-1,3,2,2,3,1,7,0,0,29,30,16611,P. Budaj,J. Carter
Nov 19 '16,video,H,W,,NJD,9-9-1,4,2,0,1,0,2,0,0,28,23,18230,P. Budaj,J. Carter
Nov 17 '16,video,H,W,,EDM,8-9-1,4,2,0,2,0,1,1,0,25,30,18230,P. Budaj,J. Carter
Nov 15 '16,video,R,L,,COL,7-9-1,1,4,1,4,0,4,0,0,33,30,14805,S. Varlamov,R. Bourque
Nov 13 '16,video,R,O,SO,WPG,7-8-1,2,2,0,5,2,5,0,0,29,29,15294,C. Hellebuyck,M. Scheifele
Nov 11 '16,video,R,L,,OTT,7-8-0,1,2,0,2,0,3,0,0,33,33,15622,C. Anderson,M. Stone
Nov 10 '16,video,R,L,,MTL,7-7-0,1,4,1,5,0,2,0,0,24,23,21288,C. Price,D. Carr
Nov 08 '16,video,R,W,,TOR,7-6-0,7,0,0,4,0,1,0,0,43,19,18976,P. Budaj,D. Brown
Nov 05 '16,video,H,W,,CGY,6-6-0,5,0,0,3,0,3,0,0,39,24,18230,P. Budaj,J. Carter
Nov 03 '16,video,H,W,OT,PIT,5-6-0,3,2,0,3,0,3,0,0,27,23,18230,P. Budaj,N. Dowd
Nov 01 '16,video,H,L,,ANA,4-6-0,0,4,0,1,2,4,0,0,30,21,18230,J. Gibson,R. Rakell
Oct 30 '16,video,R,L,,CHI,4-5-0,0,3,0,2,2,7,0,0,32,29,21329,C. Crawford,J. Toews
Oct 29 '16,video,R,L,,STL,4-4-0,0,1,0,5,0,4,0,0,27,25,18631,J. Allen,J. Schwartz
Oct 27 '16,video,H,W,OT,NSH,4-3-0,3,2,1,3,0,3,0,1,45,26,18230,P. Budaj,J. Carter
Oct 25 '16,video,H,W,OT,CBJ,3-3-0,3,2,0,1,1,1,0,0,30,21,18230,P. Budaj,A. Martinez
Oct 22 '16,video,H,W,SO,VAN,2-3-0,3,3,1,3,2,6,1,0,31,25,18230,P. Budaj,T. Pearson
Oct 20 '16,video,R,W,OT,DAL,1-3-0,4,3,1,6,1,4,0,0,39,20,18532,P. Budaj,A. Martinez
Oct 18 '16,video,R,L,,MIN,0-3-0,3,6,0,5,1,4,0,0,30,26,18644,D. Kuemper,M. Koivu
Oct 14 '16,video,H,L,,PHI,0-2-0,2,4,0,2,0,2,0,0,25,30,18453,M. Neuvirth,S. Couturier
Oct 12 '16,,R,L,,SJS,0-1-0,1,2,1,1,1,3,0,0,22,31,17562,M. Jones,B. Burns
