Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
May 02 '03,,R,L,OT,NJD,5-6,1,2,0,0,1,4,0,0,39,48,18612,M. Brodeur,G. Marshall
Apr 30 '03,,H,L,,NJD,5-5,1,3,0,3,1,2,0,0,26,26,21222,M. Brodeur,P. Elias
Apr 28 '03,,H,W,,NJD,5-4,4,3,1,2,1,4,0,0,29,27,19854,N. Khabibulin,D. Andreychuk
Apr 26 '03,,R,L,OT,NJD,4-4,2,3,0,4,1,3,1,0,28,36,17732,M. Brodeur,J. Langenbrunner
Apr 24 '03,,R,L,,NJD,4-3,0,3,0,1,0,3,0,0,15,32,15568,M. Brodeur,J. Langenbrunner
Apr 20 '03,,R,W,OT,WSH,4-2,2,1,2,6,1,7,0,0,46,61,15269,N. Khabibulin,M. St. Louis
Apr 18 '03,,H,W,,WSH,3-2,2,1,1,3,0,4,0,0,22,23,21324,N. Khabibulin,M. St. Louis
Apr 16 '03,,R,W,,WSH,2-2,3,1,0,6,0,3,1,0,25,23,15576,N. Khabibulin,M. St. Louis
Apr 15 '03,,R,W,OT,WSH,1-2,4,3,1,4,1,4,0,0,28,19,17279,N. Khabibulin,V. Lecavalier
Apr 12 '03,,H,L,,WSH,0-2,3,6,0,4,3,6,0,0,43,31,20053,O. Kolzig,M. Nylander
Apr 10 '03,,H,L,,WSH,0-1,0,3,0,4,0,3,0,0,28,22,20214,O. Kolzig,R. Lang
