Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 05 '08,,R,L,,ATL,31-42-9,1,4,1,2,0,3,0,0,31,24,18732,K. Lehtonen,C. Armstrong
Apr 03 '08,,R,L,,WSH,31-41-9,1,4,0,4,1,7,0,0,19,40,18277,C. Huet,A. Ovechkin
Apr 02 '08,,R,L,,CAR,31-40-9,2,6,2,6,2,6,0,0,25,32,17644,C. Ward,C. LaRose
Mar 31 '08,,H,L,,ATL,31-39-9,0,2,0,6,0,2,0,0,36,24,17441,K. Lehtonen,I. Kovalchuk
Mar 29 '08,,H,W,,CAR,31-38-9,2,1,1,6,0,7,0,0,21,39,19311,K. Ramo,J. Halpern
Mar 27 '08,,H,O,OT,WSH,30-38-9,3,4,1,2,0,3,0,1,26,32,17777,C. Huet,T. Fleischmann
Mar 25 '08,,H,W,,FLA,30-38-8,3,1,0,1,0,3,0,0,26,35,16110,K. Ramo,J. Halpern
Mar 22 '08,,R,L,,FLA,29-38-8,2,4,0,5,2,4,0,0,37,26,18502,T. Vokoun,O. Jokinen
Mar 20 '08,,R,L,,PIT,29-37-8,2,4,2,5,0,2,0,0,21,23,17044,M. Fleury,J. Staal
Mar 19 '08,,R,L,,BUF,29-36-8,4,7,1,2,0,3,0,1,19,32,18690,R. Miller,T. Vanek
Mar 15 '08,,H,W,,NYR,29-35-8,3,0,1,5,0,3,0,0,30,20,20926,M. Smith,A. Picard
Mar 13 '08,,R,W,,BOS,28-35-8,3,1,1,1,0,3,0,0,26,36,13373,M. Smith,A. Karlsson
Mar 11 '08,,H,W,,NYI,27-35-8,8,4,2,5,1,4,0,0,44,24,19111,K. Ramo,V. Lecavalier
Mar 09 '08,,R,L,,CBJ,26-35-8,3,5,0,7,1,4,0,0,27,25,14796,P. Leclaire,J. Chimera
Mar 07 '08,,R,O,OT,NJD,26-34-8,1,2,1,3,0,5,0,0,22,33,15670,M. Brodeur,P. Elias
Mar 06 '08,,R,L,,PHI,26-34-7,2,3,0,2,0,5,0,0,20,25,19217,M. Biron,J. Carter
Mar 04 '08,,H,L,,PIT,26-33-7,0,2,0,1,0,3,0,0,35,23,19206,M. Fleury,M. Talbot
Mar 01 '08,,R,L,,CAR,26-32-7,1,5,0,1,1,6,0,0,23,33,16831,C. Ward,J. Corvo
Feb 29 '08,,H,W,OT,TOR,26-31-7,3,2,3,4,0,2,0,0,27,25,20641,M. Smith,D. Boyle
Feb 27 '08,,H,L,,MIN,25-31-7,2,3,1,7,2,2,0,0,33,27,17211,N. Backstrom,B. Rolston
Feb 23 '08,,H,L,,BOS,25-30-7,3,5,1,7,2,6,1,1,28,28,20519,A. Auld,G. Murray
Feb 21 '08,,R,L,,NYI,25-29-7,0,1,0,3,0,4,0,0,32,28,12382,R. DiPietro,M. Satan
Feb 20 '08,,R,O,OT,BUF,25-28-7,3,4,0,2,1,6,0,0,25,46,18690,R. Miller,T. Vanek
Feb 16 '08,,H,L,,WSH,25-28-6,2,3,0,1,1,4,0,0,41,35,20454,O. Kolzig,A. Semin
Feb 14 '08,,R,W,,PHI,25-27-6,5,3,1,5,0,1,0,1,28,30,19336,J. Holmqvist,M. St. Louis
Feb 12 '08,,H,W,,MTL,24-27-6,3,2,0,2,1,3,0,0,36,21,17420,K. Ramo,V. Prospal
Feb 09 '08,,R,O,OT,ATL,23-27-6,1,2,0,1,0,2,0,0,28,22,18879,K. Lehtonen,A. Zhitnik
Feb 07 '08,,R,W,OT,NSH,23-27-5,2,1,0,1,0,2,0,0,25,19,13959,J. Holmqvist,V. Prospal
Feb 05 '08,,R,W,,STL,22-27-5,5,4,1,1,1,2,0,0,24,25,17150,J. Holmqvist,N. Tarnasky
Feb 02 '08,,H,L,,FLA,21-27-5,2,3,0,4,1,5,0,0,46,32,19977,T. Vokoun,R. Zednik
Jan 31 '08,,H,W,,VAN,21-26-5,4,3,1,2,1,4,0,0,27,26,17019,K. Ramo,B. Richards
Jan 29 '08,,H,L,,BUF,20-26-5,2,4,2,4,0,3,0,0,25,26,18920,R. Miller,D. Stafford
Jan 24 '08,,H,L,,OTT,20-25-5,4,8,0,3,1,2,0,1,25,26,16346,M. Gerber,A. Vermette
Jan 22 '08,,H,W,,EDM,20-24-5,4,3,1,4,1,3,1,0,22,28,16799,J. Holmqvist,V. Lecavalier
Jan 19 '08,,R,W,,OTT,19-24-5,2,0,1,2,0,4,0,0,26,25,20091,J. Holmqvist,M. St. Louis
Jan 18 '08,,R,W,,PIT,18-24-5,3,0,0,4,0,4,0,0,34,27,17132,J. Holmqvist,K. Wanvig
Jan 15 '08,,H,L,,COL,17-24-5,0,3,0,2,2,3,0,0,32,25,17222,J. Theodore,J. Finger
Jan 12 '08,,R,W,,FLA,17-23-5,5,3,1,3,0,1,0,0,25,30,16578,J. Holmqvist,B. Richards
Jan 10 '08,,H,L,,PIT,16-23-5,1,4,0,4,1,2,0,0,36,29,20426,T. Conklin,J. Staal
Jan 08 '08,,R,W,,NYR,16-22-5,5,3,0,2,2,6,0,0,26,34,18200,K. Ramo,V. Prospal
Jan 05 '08,,R,O,OT,OTT,15-22-5,3,4,0,0,0,2,0,0,19,27,20108,R. Emery,M. Fisher
Jan 03 '08,,R,L,,MTL,15-22-4,3,6,1,5,2,6,0,0,33,30,21273,C. Huet,A. Kostitsyn
Jan 01 '08,,R,O,SO,TOR,15-21-4,3,3,0,5,0,2,0,0,33,29,19347,S. Clemmensen,M. Sundin
Dec 29 '07,,H,L,,PHI,15-21-3,2,4,1,5,1,5,0,0,33,22,20124,M. Biron,S. Hartnell
Dec 27 '07,,H,L,,MTL,15-20-3,2,5,0,1,1,5,0,0,30,29,20294,C. Huet,A. Kovalev
Dec 26 '07,,R,L,,WSH,15-19-3,2,3,0,1,0,4,0,0,20,32,15035,O. Kolzig,M. Bradley
Dec 22 '07,,H,L,,CAR,15-18-3,1,4,0,2,0,3,0,0,30,37,18765,C. Ward,R. Whitney
Dec 20 '07,,H,W,,TOR,15-17-3,2,1,0,3,0,3,0,0,21,32,19131,K. Ramo,V. Lecavalier
Dec 18 '07,,R,L,,ATL,14-17-3,2,6,1,4,0,1,1,1,34,24,14060,K. Lehtonen,V. Kozlov
Dec 15 '07,,H,L,,WSH,14-16-3,2,3,0,4,1,5,0,0,25,32,18367,B. Johnson,B. Pothier
Dec 13 '07,,H,L,,CGY,14-15-3,6,9,2,5,2,4,1,0,31,32,19026,M. Kiprusoff,J. Iginla
Dec 11 '07,,R,W,SO,MTL,14-14-3,2,2,1,5,1,3,0,0,31,30,21273,M. Denis,B. Richards
Dec 10 '07,,R,L,,TOR,13-14-3,1,6,0,5,2,3,0,0,27,29,19454,V. Toskala,M. Sundin
Dec 08 '07,,H,O,OT,NYI,13-13-3,2,3,2,7,1,8,0,0,34,33,18319,R. DiPietro,M. Sillinger
Dec 06 '07,,H,W,,CAR,13-13-2,2,1,2,5,0,5,0,0,32,24,16674,J. Holmqvist,M. St. Louis
Dec 04 '07,,H,W,SO,OTT,12-13-2,3,3,0,5,1,5,0,0,28,29,17540,J. Holmqvist,V. Prospal
Dec 01 '07,,H,W,,BOS,11-13-2,4,1,1,3,1,4,0,0,28,29,18444,J. Holmqvist,V. Lecavalier
Nov 29 '07,,R,L,,DET,10-13-2,2,4,0,3,1,2,0,0,23,39,17001,C. Osgood,T. Kopecky
Nov 28 '07,,R,L,,CHI,10-12-2,1,5,1,4,1,6,0,0,22,17,11122,N. Khabibulin,D. Byfuglien
Nov 24 '07,,H,L,,NJD,10-11-2,2,3,1,4,1,4,0,0,36,21,19077,M. Brodeur,D. Clarkson
Nov 23 '07,,R,L,,CAR,10-10-2,3,4,0,2,0,4,0,0,28,22,18033,C. Ward,G. Wesley
Nov 21 '07,,H,L,,NYR,10-9-2,1,2,0,4,0,2,0,0,33,29,20110,H. Lundqvist,C. Orr
Nov 19 '07,,R,O,OT,ATL,10-8-2,3,4,0,3,2,6,0,0,20,24,13419,J. Hedberg,T. White
Nov 16 '07,,H,W,,WSH,10-8-1,5,2,2,4,0,4,0,0,24,30,19526,J. Holmqvist,B. Richards
Nov 14 '07,,H,W,,CAR,9-8-1,6,1,0,4,1,6,1,0,28,29,17444,J. Holmqvist,V. Lecavalier
Nov 10 '07,,R,W,,WSH,8-8-1,5,2,2,4,0,2,0,0,34,25,14617,J. Holmqvist,M. St. Louis
