Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
04 May '04,,H,L,OT,PHI,6-7,2,3,0,3,0,2,0,0,36,25,19625,R. Esche,J. Roenick
02 May '04,,R,L,,PHI,6-6,2,7,1,7,0,7,0,1,11,29,19825,R. Esche,K. Primeau
30 Apr '04,,H,W,,PHI,6-5,3,1,0,6,0,4,0,0,31,29,19614,E. Belfour,M. Sundin
28 Apr '04,,H,W,,PHI,5-5,4,1,1,5,1,2,0,0,29,19,19628,E. Belfour,A. Ponikarovsky
25 Apr '04,,R,L,,PHI,4-5,1,2,0,4,2,5,0,0,27,24,19792,R. Esche,A. Zhamnov
22 Apr '04,,R,L,,PHI,4-4,1,3,0,2,0,3,0,0,23,26,19447,R. Esche,M. Ragnarsson
20 Apr '04,,H,W,,OTT,4-3,4,1,0,6,0,4,0,0,26,37,19646,E. Belfour,J. Nieuwendyk
18 Apr '04,,R,L,OT,OTT,3-3,1,2,1,3,0,4,0,0,28,46,18500,P. Lalime,M. Fisher
16 Apr '04,,H,W,,OTT,3-2,2,0,0,2,0,3,0,0,16,21,19584,E. Belfour,T. Domi
14 Apr '04,,R,L,,OTT,2-2,1,4,1,7,1,7,0,0,24,36,18500,P. Lalime,M. Hossa
12 Apr '04,,R,W,,OTT,2-1,2,0,0,4,0,3,0,0,17,37,18500,E. Belfour,J. Nieuwendyk
10 Apr '04,,H,W,,OTT,1-1,2,0,1,7,0,6,0,0,26,31,19529,E. Belfour,G. Roberts
08 Apr '04,,H,L,,OTT,0-1,2,4,1,3,2,8,0,0,17,30,19535,P. Lalime,M. Hossa
