Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
07 Apr '18,video,H,W,,MTL,49-26-7,4,2,2,5,1,4,0,0,30,33,19525,F. Andersen,N. Kadri
05 Apr '18,video,R,L,,NJD,48-26-7,1,2,1,2,0,2,0,0,32,39,16514,K. Kinkaid,M. Wood
02 Apr '18,video,H,W,,BUF,48-25-7,5,2,2,3,2,5,0,0,36,34,18846,C. McElhinney,W. Nylander
31 Mar '18,video,H,L,,WPG,47-25-7,1,3,1,4,1,3,0,0,29,29,19101,C. Hellebuyck,D. Byfuglien
30 Mar '18,video,R,W,,NYI,47-24-7,5,4,1,2,2,3,0,0,32,33,13018,F. Andersen,A. Matthews
28 Mar '18,video,H,W,,FLA,46-24-7,4,3,0,1,0,3,0,0,35,33,18893,F. Andersen,J. van Riemsdyk
26 Mar '18,video,H,L,,BUF,45-24-7,2,3,1,1,0,0,0,0,41,27,19108,C. Johnson,J. Eichel
24 Mar '18,video,H,W,,DET,45-23-7,4,3,0,4,0,1,0,0,29,41,19154,F. Andersen,N. Kadri
22 Mar '18,video,R,W,,NSH,44-23-7,5,2,2,3,1,6,0,0,28,25,17550,F. Andersen,W. Nylander
20 Mar '18,video,R,L,,TBL,43-23-7,3,4,1,3,0,1,0,0,30,25,19092,A. Vasilevskiy,A. Killorn
17 Mar '18,video,H,W,,MTL,43-22-7,4,0,2,4,0,1,0,0,49,33,19364,C. McElhinney,W. Nylander
15 Mar '18,video,R,W,,BUF,42-22-7,5,2,1,3,2,5,0,0,39,40,19070,C. McElhinney,C. Carrick
14 Mar '18,video,H,W,SO,DAL,41-22-7,5,5,1,1,0,1,0,0,33,35,18918,C. McElhinney,T. Bozak
10 Mar '18,video,H,W,,PIT,40-22-7,5,2,2,2,0,3,0,0,26,40,19504,F. Andersen,N. Kadri
05 Mar '18,video,R,L,,BUF,39-22-7,3,5,2,2,1,2,0,0,41,24,18705,C. Johnson,R. O'Reilly
03 Mar '18,video,R,L,,WSH,39-21-7,2,5,0,2,2,2,0,0,29,34,29516,B. Holtby,N. Backstrom
27 Feb '18,video,R,O,OT,FLA,39-20-7,2,3,0,2,1,4,0,0,39,31,14265,R. Luongo,J. McCann
26 Feb '18,video,R,O,SO,TBL,39-20-6,3,3,1,4,0,4,0,0,30,42,19092,A. Vasilevskiy,B. Point
24 Feb '18,video,H,W,,BOS,39-20-5,4,3,2,3,0,2,0,0,36,23,19370,F. Andersen,R. Hainsey
22 Feb '18,video,H,W,SO,NYI,38-20-5,3,3,0,3,0,2,0,0,31,35,18856,F. Andersen,T. Bozak
20 Feb '18,video,H,W,,FLA,37-20-5,1,0,0,2,0,2,0,0,31,40,18961,F. Andersen,J. van Riemsdyk
18 Feb '18,video,R,W,,DET,36-20-5,3,2,0,2,1,1,0,0,34,29,19515,C. McElhinney,A. Matthews
17 Feb '18,video,R,L,,PIT,35-20-5,3,5,1,2,0,1,0,0,32,39,18647,M. Murray,O. Maatta
14 Feb '18,video,H,W,,CBJ,35-19-5,6,3,0,3,0,2,0,0,28,57,18890,F. Andersen,M. Marner
12 Feb '18,video,H,W,,TBL,34-19-5,4,3,0,1,0,2,0,0,23,34,19112,F. Andersen,J. van Riemsdyk
10 Feb '18,video,H,W,,OTT,33-19-5,6,3,1,5,0,2,0,0,41,25,19477,F. Andersen,J. van Riemsdyk
07 Feb '18,video,H,W,SO,NSH,32-19-5,2,2,0,2,0,2,1,0,32,46,18878,F. Andersen,J. van Riemsdyk
05 Feb '18,video,H,W,,ANA,31-19-5,7,4,1,3,1,3,0,0,40,44,19055,C. McElhinney,W. Nylander
03 Feb '18,video,R,L,,BOS,30-19-5,1,4,1,4,2,3,0,0,24,30,17565,T. Rask,D. Pastrnak
01 Feb '18,video,R,W,,NYR,30-18-5,4,0,0,1,0,3,0,0,32,25,18006,C. McElhinney,J. Holl
31 Jan '18,video,H,W,,NYI,29-18-5,5,0,0,2,0,1,0,0,50,28,19267,F. Andersen,K. Kapanen
25 Jan '18,video,R,W,,DAL,28-18-5,4,1,1,2,0,3,0,0,29,40,18225,C. McElhinney,Z. Hyman
24 Jan '18,video,R,W,OT,CHI,27-18-5,3,2,1,4,2,4,0,0,36,36,21563,F. Andersen,W. Nylander
22 Jan '18,video,H,L,,COL,26-18-5,2,4,0,3,0,0,0,0,31,27,18979,J. Bernier,B. Comeau
20 Jan '18,video,R,W,,OTT,26-17-5,4,3,1,3,1,2,0,1,33,18,17768,F. Andersen,C. Carrick
18 Jan '18,video,R,O,OT,PHI,25-17-5,2,3,0,2,0,2,0,1,31,37,19860,M. Neuvirth,S. Couturier
16 Jan '18,video,H,O,OT,STL,25-17-4,1,2,0,1,0,2,1,0,31,42,18951,C. Hutton,V. Dunn
10 Jan '18,video,H,L,,OTT,25-17-3,3,4,0,3,0,1,0,0,48,32,19117,C. Anderson,T. Pyatt
08 Jan '18,video,H,O,OT,CBJ,25-16-3,2,3,1,2,0,3,0,0,37,33,18933,S. Bobrovsky,A. Panarin
06 Jan '18,video,H,W,SO,VAN,25-16-2,2,2,0,4,1,3,0,0,36,36,19361,F. Andersen,T. Bozak
04 Jan '18,video,H,W,SO,SJS,24-16-2,2,2,1,4,0,5,0,0,28,35,19132,F. Andersen,T. Bozak
02 Jan '18,video,H,L,,TBL,23-16-2,0,2,0,2,0,3,0,0,29,36,19344,A. Vasilevskiy,C. Paquette
31 Dec '17,video,R,L,,VGK,23-15-2,3,6,0,3,0,3,0,0,23,31,18118,M. Subban,W. Karlsson
29 Dec '17,video,R,O,OT,COL,23-14-2,3,4,0,2,1,4,0,0,34,28,18013,S. Varlamov,J. Compher
28 Dec '17,video,R,W,,ARI,23-14-1,7,4,1,1,1,6,1,0,33,34,17125,F. Andersen,W. Nylander
23 Dec '17,video,R,W,,NYR,22-14-1,3,2,1,6,0,3,0,0,37,32,18006,F. Andersen,A. Matthews
20 Dec '17,video,R,L,,CBJ,21-14-1,2,4,0,1,1,2,0,0,41,37,17708,J. Korpisalo,P. Dubois
19 Dec '17,video,H,W,,CAR,21-13-1,8,1,3,3,0,4,1,0,36,33,19288,F. Andersen,M. Marner
15 Dec '17,video,R,L,,DET,20-13-1,1,3,0,3,1,4,0,1,26,29,19515,J. Howard,T. Daley
14 Dec '17,video,R,L,,MIN,20-12-1,0,2,0,4,0,1,0,0,28,26,18857,A. Stalock,T. Ennis
12 Dec '17,video,R,L,,PHI,20-11-1,2,4,1,1,0,1,0,0,22,39,19077,B. Elliott,S. Couturier
10 Dec '17,video,H,W,,EDM,20-10-1,1,0,0,2,0,4,0,0,23,41,19486,C. McElhinney,Z. Hyman
09 Dec '17,video,R,W,,PIT,19-10-1,4,3,0,1,1,4,0,0,25,36,18658,F. Andersen,T. Bozak
06 Dec '17,video,H,W,SO,CGY,18-10-1,1,1,0,4,1,2,0,0,29,48,19217,F. Andersen,W. Nylander
02 Dec '17,video,R,L,,VAN,17-10-1,1,2,0,2,0,1,0,0,36,26,18865,J. Markstrom,A. Edler
30 Nov '17,video,R,W,,EDM,17-9-1,6,4,2,2,0,2,0,0,36,45,18347,F. Andersen,P. Marleau
28 Nov '17,video,R,W,,CGY,16-9-1,4,1,0,2,0,3,0,0,30,20,19289,F. Andersen,N. Zaitsev
25 Nov '17,video,H,L,,WSH,15-9-1,2,4,0,1,1,3,0,0,29,21,19404,B. Holtby,J. Vrana
24 Nov '17,video,R,W,,CAR,15-8-1,5,4,1,2,0,2,0,0,25,47,15241,F. Andersen,P. Marleau
22 Nov '17,video,R,O,SO,FLA,14-8-1,1,1,0,3,0,3,0,0,44,43,15256,R. Luongo,N. Bjugstad
20 Nov '17,video,H,L,,ARI,14-8-0,1,4,1,1,2,4,0,0,28,31,19196,A. Raanta,O. Ekman-Larsson
18 Nov '17,video,R,W,,MTL,14-7-0,6,0,0,3,0,1,0,0,31,33,21302,F. Andersen,R. Hainsey
