Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
16 May '98,,R,L,,DAL,5-7,1,2,0,5,1,8,0,0,19,26,16928,E. Belfour,G. Adams
13 May '98,,H,L,,DAL,5-6,1,3,0,6,0,6,0,0,24,36,17099,E. Belfour,B. Hogue
11 May '98,,H,L,OT,DAL,5-5,0,1,0,5,0,4,0,0,28,28,17099,E. Belfour,B. Hogue
09 May '98,,R,W,,DAL,5-4,2,0,1,4,0,6,0,0,21,15,16928,C. Joseph,D. Weight
07 May '98,,R,L,,DAL,4-4,1,3,0,6,1,8,0,0,32,14,16928,E. Belfour,S. Zubov
04 May '98,,R,W,,COL,4-3,4,0,0,6,0,5,0,0,17,31,16061,C. Joseph,J. Niinimaa
02 May '98,,H,W,,COL,3-3,2,0,1,8,0,8,0,0,23,31,17099,C. Joseph,D. Berehowsky
30 Apr '98,,R,W,,COL,2-3,3,1,1,5,0,2,0,0,33,31,16061,C. Joseph,M. Grier
28 Apr '98,,H,L,,COL,1-3,1,3,1,4,0,2,0,0,27,25,17099,P. Roy,C. Lemieux
26 Apr '98,,H,L,OT,COL,1-2,4,5,1,6,2,4,0,0,31,35,17099,P. Roy,J. Sakic
24 Apr '98,,R,L,,COL,1-1,2,5,2,10,2,10,0,1,27,32,16061,P. Roy,J. Sakic
22 Apr '98,,R,W,,COL,1-0,3,2,1,7,1,4,0,0,34,27,16061,C. Joseph,B. Mironov
