Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
09 Apr '17,video,H,W,,VAN,47-26-9,5,2,1,5,0,1,0,0,44,17,18347,L. Brossoit,D. Caggiula
08 Apr '17,video,R,W,,VAN,46-26-9,3,2,1,2,1,3,0,0,35,31,18865,C. Talbot,I. Pakarinen
06 Apr '17,video,R,W,,SJS,45-26-9,4,2,2,5,0,4,0,0,32,15,17562,C. Talbot,M. Lucic
04 Apr '17,video,R,L,,LAK,44-26-9,4,6,1,3,0,3,0,0,27,27,18230,J. Quick,T. Pearson
01 Apr '17,video,H,W,OT,ANA,44-25-9,3,2,1,4,2,2,0,0,37,18,18347,C. Talbot,L. Draisaitl
30 Mar '17,video,H,W,,SJS,43-25-9,3,2,0,3,0,2,1,0,22,40,18347,C. Talbot,P. Maroon
28 Mar '17,video,H,W,,LAK,42-25-9,2,1,0,3,0,1,0,0,29,35,18347,C. Talbot,E. Gryba
25 Mar '17,video,H,W,,COL,41-25-9,4,1,2,4,0,3,0,0,29,25,18347,L. Brossoit,L. Draisaitl
23 Mar '17,video,R,W,,COL,40-25-9,7,4,0,2,0,3,0,0,30,21,14142,L. Brossoit,D. Caggiula
22 Mar '17,video,R,L,,ANA,39-25-9,3,4,1,5,0,5,0,0,32,34,15310,J. Bernier,R. Rakell
20 Mar '17,video,H,W,,LAK,39-24-9,2,0,1,3,0,2,0,0,31,35,18347,C. Talbot,P. Maroon
18 Mar '17,video,H,W,,VAN,38-24-9,2,0,1,3,0,2,0,0,22,33,18347,C. Talbot,C. McDavid
16 Mar '17,video,H,W,,BOS,37-24-9,7,4,3,6,2,4,0,1,36,36,18347,C. Talbot,R. Nugent-Hopkins
14 Mar '17,video,H,W,,DAL,36-24-9,7,1,1,2,0,1,0,0,29,23,18347,C. Talbot,O. Klefbom
12 Mar '17,video,H,L,,MTL,35-24-9,1,4,0,3,0,2,0,0,25,41,18347,C. Price,M. Pacioretty
10 Mar '17,video,H,O,SO,PIT,35-23-9,2,2,1,2,0,2,0,0,42,30,18347,M. Fleury,P. Kessel
07 Mar '17,video,H,L,,NYI,35-23-8,1,4,0,2,1,1,0,0,28,27,18347,T. Greiss,A. Lee
04 Mar '17,video,H,W,,DET,35-22-8,4,3,0,2,0,0,0,0,38,25,18347,C. Talbot,P. Maroon
28 Feb '17,video,R,W,,STL,34-22-8,2,1,1,2,1,2,0,0,25,26,18944,C. Talbot,M. Letestu
26 Feb '17,video,R,L,,NSH,33-22-8,4,5,2,4,3,5,0,0,32,28,17113,P. Rinne,V. Arvidsson
24 Feb '17,video,R,L,,WSH,33-21-8,1,2,0,0,0,2,0,0,31,25,18506,B. Holtby,J. Williams
22 Feb '17,video,R,W,,FLA,33-20-8,4,3,0,1,2,2,0,0,35,34,15300,C. Talbot,K. Russell
21 Feb '17,video,R,L,,TBL,32-20-8,1,4,0,1,0,1,0,0,21,27,19092,B. Bishop,O. Palat
