Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 06 '03,,H,L,,PHI,24-36-13-9,2,6,1,8,1,8,0,0,27,39,19250,R. Esche,R. Somik
Apr 04 '03,,H,W,,CAR,24-35-13-9,4,1,0,3,0,8,0,0,26,35,16544,R. Luongo,D. Shvidki
Apr 01 '03,,R,L,,WSH,23-35-13-9,0,3,0,1,0,7,0,0,31,33,17745,O. Kolzig,S. Gonchar
Mar 29 '03,,R,T,OT,TBL,23-34-13-9,1,1,1,7,0,7,0,0,30,40,19420,R. Luongo,M. St. Louis
Mar 27 '03,,R,L,,STL,23-34-12-9,1,2,1,5,1,7,0,0,28,26,19903,B. Johnson,D. Weight
Mar 26 '03,,R,L,,BUF,23-33-12-9,1,2,0,2,1,7,0,0,30,26,11235,M. Noronen,D. Briere
Mar 24 '03,,H,L,,NJD,23-32-12-9,1,4,1,1,0,8,0,0,20,37,16644,M. Brodeur,B. Gionta
Mar 22 '03,,H,L,,OTT,23-31-12-9,1,3,0,5,0,8,1,0,25,37,18613,P. Lalime,M. Hossa
Mar 19 '03,,H,L,,MIN,23-30-12-9,1,3,0,2,1,8,0,0,32,26,15344,D. Roloson,S. Zholtok
Mar 16 '03,,R,W,,PIT,23-29-12-9,4,2,1,4,1,7,1,0,29,33,16958,R. Luongo,O. Jokinen
Mar 15 '03,,R,L,,BOS,22-29-12-9,1,4,1,5,1,7,0,1,25,33,15576,J. Hackett,J. Girard
Mar 12 '03,,H,L,,MTL,22-28-12-9,0,4,0,3,0,8,0,0,32,31,15844,J. Theodore,Y. Perreault
Mar 10 '03,,R,W,,NYR,22-27-12-9,2,1,1,3,0,7,1,0,32,41,18200,R. Luongo,V. Kozlov
Mar 08 '03,,H,L,,BUF,21-27-12-9,0,4,0,6,1,8,0,0,29,25,19250,M. Noronen,B. Campbell
Mar 07 '03,,R,W,,ATL,21-26-12-9,2,1,0,5,0,7,1,0,27,41,14224,R. Luongo,K. Huselius
Mar 05 '03,,H,L,,COL,20-26-12-9,1,3,0,3,0,8,0,0,31,24,15913,P. Roy,P. Forsberg
Mar 03 '03,,R,W,,TOR,20-25-12-9,2,1,0,4,0,7,0,0,32,32,19294,R. Luongo,S. Weiss
Mar 01 '03,,R,L,,NYR,19-25-12-9,2,5,1,5,2,7,0,0,34,47,18200,M. Dunham,M. Messier
Feb 27 '03,,R,L,,TBL,19-24-12-9,1,3,0,2,1,7,0,0,36,39,14192,N. Khabibulin,V. Lecavalier
Feb 26 '03,,H,L,,ANA,19-23-12-9,1,2,1,2,0,8,0,0,32,29,14644,J. Giguere,P. Sykora
Feb 24 '03,,H,T,OT,BUF,19-22-12-9,2,2,0,2,2,8,0,0,31,25,11944,M. Biron,J. Bednar
Feb 22 '03,,R,W,,PHI,19-22-11-9,4,2,0,2,1,7,0,0,29,46,19433,R. Luongo,M. Cullen
Feb 20 '03,,R,W,,OTT,18-22-11-9,4,3,0,4,1,7,0,0,27,31,17239,R. Luongo,I. Majesky
Feb 18 '03,,R,W,,MTL,17-22-11-9,3,0,1,3,0,7,0,0,30,24,21026,R. Luongo,J. Toms
Feb 15 '03,,H,L,,WSH,16-22-11-9,1,2,0,6,0,8,0,0,17,30,16144,S. Charpentier,I. Ciernik
Feb 14 '03,,H,O,OT,BOS,16-21-11-9,5,6,1,5,2,8,0,0,36,41,14813,J. Hackett,B. Rolston
Feb 12 '03,,H,L,,NYR,16-21-11-8,1,3,1,4,1,8,0,0,28,26,15834,M. Dunham,S. McCarthy
Feb 08 '03,,H,T,OT,TBL,16-20-11-8,4,4,2,5,0,8,0,0,26,24,14522,J. Hurme,J. Bouwmeester
Feb 06 '03,,R,W,,PIT,16-20-10-8,6,0,2,11,0,7,0,0,47,28,12231,R. Luongo,I. Majesky
Feb 05 '03,,H,L,,TOR,15-20-10-8,0,6,0,4,1,8,0,0,33,27,13944,E. Belfour,R. Reichel
Jan 30 '03,,R,T,OT,DET,15-19-10-8,2,2,0,4,1,7,0,0,37,35,20058,M. Legace,V. Kozlov
Jan 28 '03,,R,L,,MTL,15-19-9-8,3,6,1,4,2,7,0,0,38,35,20025,J. Theodore,R. Zednik
Jan 25 '03,,H,W,OT,CAR,15-18-9-8,3,2,1,4,1,8,0,0,22,41,16122,R. Luongo,S. Weiss
Jan 24 '03,,R,L,,CAR,14-18-9-8,1,3,0,3,1,7,0,0,21,44,15346,A. Irbe,N. Wallin
Jan 22 '03,,H,L,,OTT,14-17-9-8,1,2,0,5,0,8,0,0,17,17,13944,P. Lalime,M. Hossa
Jan 20 '03,,H,L,,MTL,14-16-9-8,2,3,1,1,1,8,0,0,33,34,19250,J. Theodore,J. Bulis
Jan 18 '03,,H,W,,PIT,14-15-9-8,3,0,0,3,0,8,0,0,32,35,18313,R. Luongo,O. Jokinen
Jan 15 '03,,H,W,,BOS,13-15-9-8,3,0,0,3,0,8,0,0,25,27,13844,R. Luongo,O. Jokinen
Jan 13 '03,,R,L,,NJD,12-15-9-8,2,6,0,3,2,7,0,0,12,41,10191,M. Brodeur,M. Rupp
Jan 11 '03,,R,L,,WSH,12-14-9-8,2,12,0,4,3,7,0,0,26,40,16687,O. Kolzig,S. Gonchar
Jan 10 '03,,H,L,,NJD,12-13-9-8,1,2,1,6,0,8,0,0,28,36,16144,M. Brodeur,S. Gomez
Jan 08 '03,,H,O,OT,DET,12-12-9-8,1,2,1,4,1,8,0,0,29,32,19250,M. Legace,B. Hull
Jan 04 '03,,R,L,,VAN,12-12-9-7,2,3,0,1,1,7,0,0,21,31,18422,D. Cloutier,M. Naslund
Jan 02 '03,,R,W,,COL,12-11-9-7,4,1,0,2,0,7,0,0,17,28,18007,J. Hurme,L. Ward
Jan 01 '03,,R,W,,NJD,11-11-9-7,2,1,0,3,1,7,0,0,14,27,13044,R. Luongo,B. Mezei
Dec 30 '02,,R,O,OT,NYI,10-11-9-7,1,2,0,3,1,7,0,0,25,35,15238,C. Osgood,R. Hamrlik
Dec 28 '02,,H,O,OT,NYR,10-11-9-6,1,2,1,3,1,8,0,0,20,37,19250,M. Dunham,D. Kasparaitis
Dec 27 '02,,H,L,,DAL,10-11-9-5,0,4,0,7,1,8,0,0,23,29,19250,R. Tugnutt,M. Malhotra
Dec 23 '02,,H,O,OT,NSH,10-10-9-5,2,3,0,3,1,8,0,0,30,27,13344,T. Vokoun,D. Legwand
Dec 21 '02,,R,T,OT,BOS,10-10-9-4,3,3,1,5,0,7,0,1,33,43,13208,J. Grahame,I. Novoseltsev
Dec 20 '02,,R,W,,BUF,10-10-8-4,3,0,1,5,0,7,0,0,31,30,10752,R. Luongo,J. Bednar
Dec 18 '02,,H,T,OT,TOR,9-10-8-4,2,2,0,6,2,8,0,0,32,31,12444,R. Luongo,J. Bednar
Dec 13 '02,,H,T,OT,NYI,9-10-7-4,3,3,0,4,1,8,0,1,28,41,14313,R. Luongo,K. Huselius
Dec 10 '02,,H,L,,PHI,9-10-6-4,2,5,1,5,0,8,0,1,26,35,12622,R. Esche,S. Gagne
Dec 07 '02,,H,L,,EDM,9-9-6-4,0,4,0,4,1,8,0,0,22,29,14144,J. Markkanen,J. Chimera
Dec 06 '02,,R,W,,CAR,9-8-6-4,2,0,0,5,0,7,0,0,25,40,17006,R. Luongo,S. Ozolinsh
Dec 04 '02,,H,W,,CAR,8-8-6-4,4,2,1,6,1,8,0,0,22,33,10944,R. Luongo,O. Jokinen
Nov 30 '02,,H,L,,VAN,7-8-6-4,2,5,2,5,3,8,0,1,31,28,15313,D. Cloutier,M. Naslund
Nov 27 '02,,R,W,,LAK,7-7-6-4,5,2,1,5,1,7,0,0,27,34,16782,J. Hurme,S. Ozolinsh
Nov 24 '02,,R,T,OT,ANA,6-7-6-4,4,4,2,5,1,7,0,0,24,36,13254,J. Giguere,K. Huselius
Nov 22 '02,,R,T,OT,PHX,6-7-5-4,3,3,1,3,0,7,0,0,39,40,11377,J. Hurme,C. Lemieux
Nov 20 '02,,H,T,OT,NYI,6-7-4-4,3,3,1,7,1,8,0,0,24,42,14444,J. Hurme,K. Jonsson
Nov 19 '02,,R,O,OT,ATL,6-7-3-4,3,4,0,2,1,7,2,0,15,39,9012,P. Nurminen,S. McEachern
Nov 16 '02,,H,L,,SJS,6-7-3-3,3,7,0,3,1,8,0,0,34,27,16322,E. Nabokov,T. Selanne
Nov 14 '02,,R,O,OT,OTT,6-6-3-3,2,3,1,4,2,7,0,0,26,34,13323,P. Lalime,T. White
Nov 13 '02,,R,T,OT,PHI,6-6-3-2,1,1,1,3,0,7,0,0,29,30,18834,J. Hurme,K. Huselius
Nov 11 '02,,H,T,OT,CHI,6-6-2-2,2,2,2,7,1,8,0,0,32,34,12974,J. Thibault,J. Bouwmeester
Nov 09 '02,,H,W,,CGY,6-6-1-2,3,0,2,5,0,8,0,0,24,28,14794,J. Hurme,K. Huselius
Nov 07 '02,,R,O,OT,WSH,5-6-1-2,1,2,0,4,1,7,0,1,33,32,15604,O. Kolzig,J. Jagr
Nov 06 '02,,H,W,OT,PIT,5-6-1-1,4,3,1,1,0,8,0,0,24,29,14244,R. Luongo,V. Bure
Nov 02 '02,,H,L,,ATL,4-6-1-1,1,3,1,7,0,8,0,1,22,32,13722,P. Nurminen,T. Hrkac
Oct 30 '02,,R,W,OT,DAL,4-5-1-1,3,2,0,4,1,7,0,1,13,44,18532,J. Hurme,V. Bure
Oct 28 '02,,H,L,,TBL,3-5-1-1,1,6,1,5,1,8,0,0,23,38,13244,N. Khabibulin,V. Prospal
Oct 26 '02,,H,T,OT,WSH,3-4-1-1,1,1,0,5,0,8,0,0,19,36,14913,R. Luongo,R. Lang
Oct 24 '02,,R,L,,NYI,3-4-0-1,3,5,0,7,2,7,0,0,22,37,12234,C. Osgood,A. Yashin
Oct 23 '02,,R,W,,TOR,3-3-0-1,4,1,1,6,0,7,1,0,30,31,18781,R. Luongo,O. Jokinen
Oct 21 '02,,H,W,,ATL,2-3-0-1,3,2,0,4,1,8,0,0,23,28,12144,R. Luongo,K. Huselius
Oct 19 '02,,R,L,,CBJ,1-3-0-1,1,4,0,6,2,7,0,0,27,22,17424,M. Denis,D. Vyborny
Oct 17 '02,,R,L,,CHI,1-2-0-1,1,4,0,5,1,7,0,0,16,42,10192,J. Thibault,P. Housley
Oct 15 '02,,R,L,,MIN,1-1-0-1,1,4,1,4,1,7,0,1,31,27,18064,M. Fernandez,A. Laaksonen
Oct 12 '02,,R,W,OT,ATL,1-0-0-1,5,4,3,5,3,2,0,0,35,34,18545,R. Luongo,O. Jokinen
Oct 10 '02,,H,O,OT,TBL,0-0-0-1,3,4,2,7,1,7,0,0,25,32,18013,N. Khabibulin,V. Prospal
