Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
May 22 '01,,R,L,,NJD,9-9,2,4,1,1,1,4,0,0,20,23,19040,M. Brodeur,B. Holik
May 19 '01,,H,L,,NJD,9-8,0,5,0,5,1,4,0,0,21,30,17148,M. Brodeur,P. Elias
May 17 '01,,H,L,,NJD,9-7,0,3,0,3,1,2,0,0,20,36,17148,M. Brodeur,B. Rafalski
May 15 '01,,R,W,,NJD,9-6,4,2,0,2,0,5,1,1,23,29,19040,J. Hedberg,R. Corbet
May 12 '01,,R,L,,NJD,8-6,1,3,1,2,2,3,0,0,15,21,19040,M. Brodeur,P. Sykora
May 10 '01,,R,W,OT,BUF,8-5,3,2,1,2,1,3,0,0,28,30,18690,J. Hedberg,D. Kasparaitis
May 08 '01,,H,W,OT,BUF,7-5,3,2,0,5,0,2,0,0,33,18,17148,J. Hedberg,M. Straka
May 05 '01,,R,L,OT,BUF,6-5,2,3,1,4,1,8,0,1,27,30,18690,D. Hasek,S. Barnes
May 02 '01,,H,L,,BUF,6-4,2,5,1,2,1,2,0,1,17,28,17148,D. Hasek,S. Barnes
Apr 30 '01,,H,L,,BUF,6-3,1,4,1,5,0,6,0,0,20,30,17148,D. Hasek,J. Woolley
Apr 28 '01,,R,W,,BUF,6-2,3,1,0,4,1,7,0,0,15,22,18690,J. Hedberg,A. Ference
Apr 26 '01,,R,W,,BUF,5-2,3,0,0,5,0,5,0,0,32,25,18136,J. Hedberg,M. Lemieux
Apr 23 '01,,H,W,OT,WSH,4-2,4,3,2,6,1,3,0,0,36,31,17148,J. Hedberg,M. Straka
Apr 21 '01,,R,W,,WSH,3-2,2,1,0,3,1,3,0,0,18,22,18672,J. Hedberg,M. Lemieux
Apr 18 '01,,H,L,OT,WSH,2-2,3,4,2,5,3,4,0,0,32,29,17148,O. Kolzig,J. Halpern
Apr 16 '01,,H,W,,WSH,2-1,3,0,0,4,0,4,0,0,24,34,17148,J. Hedberg,K. Stevens
Apr 14 '01,,R,W,,WSH,1-1,2,1,1,2,1,3,0,0,27,18,18672,J. Hedberg,M. Lemieux
Apr 12 '01,,R,L,,WSH,0-1,0,1,0,1,1,5,0,0,16,27,18672,O. Kolzig,P. Bondra
