Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 04 '04,,H,W,,WSH,23-47-8-4,4,3,0,5,0,1,0,0,33,30,16124,S. Caron,M. Kraft
Apr 02 '04,,R,W,,ATL,22-47-8-4,3,2,0,3,0,4,0,0,24,33,18854,J. Aubin,A. Morozov
Mar 30 '04,,R,L,,WSH,21-47-8-4,2,4,1,4,0,3,0,0,29,29,13417,M. Yeats,T. Whitfield
Mar 27 '04,,H,T,OT,BUF,21-46-8-4,2,2,1,3,1,4,0,0,39,28,12964,M. Biron,K. Koltsov
Mar 26 '04,,R,L,,BUF,21-46-7-4,1,5,1,5,1,6,0,0,25,31,18333,M. Biron,J. McKee
Mar 23 '04,,R,W,,NYR,21-45-7-4,5,2,2,4,0,5,0,0,17,37,17902,J. Aubin,L. Pirjeta
Mar 21 '04,,H,W,OT,NYR,20-45-7-4,4,3,3,4,0,5,0,0,35,34,12307,J. Aubin,A. Morozov
Mar 19 '04,,H,W,OT,CAR,19-45-7-4,4,3,2,5,2,6,0,0,31,24,10098,S. Caron,A. Morozov
Mar 17 '04,,R,L,,NJD,18-45-7-4,1,6,1,1,0,1,0,0,15,42,13239,S. Clemmensen,S. Niedermayer
Mar 16 '04,,H,W,,WSH,18-44-7-4,4,1,3,7,1,3,0,0,27,21,10982,S. Caron,M. Eastwood
Mar 14 '04,,H,T,OT,PHI,17-44-7-4,3,3,1,5,1,6,0,0,21,27,10907,S. Burke,S. Gagne
Mar 11 '04,,R,W,,TOR,17-44-6-4,3,2,1,3,1,3,0,0,17,46,19411,S. Caron,A. Morozov
Mar 09 '04,,H,W,,DAL,16-44-6-4,4,0,1,1,0,6,0,0,19,45,10302,J. Aubin,J. Sim
Mar 07 '04,,R,W,,NYR,15-44-6-4,7,4,2,4,1,3,0,0,31,42,18200,J. Aubin,K. Koltsov
Mar 06 '04,,H,W,,ANA,14-44-6-4,2,1,1,3,0,3,0,0,28,27,14286,A. Chiodo,M. Bradley
Mar 04 '04,,H,L,,NSH,13-44-6-4,4,9,1,4,6,10,0,0,24,32,9507,T. Vokoun,D. Hamhuis
Mar 02 '04,,H,T,OT,NYI,13-43-6-4,3,3,0,5,0,4,1,0,24,34,10821,G. Snow,M. Bergevin
Feb 29 '04,,R,W,OT,NYI,13-43-5-4,3,2,1,2,0,5,0,1,24,40,15218,A. Chiodo,R. Malone
Feb 27 '04,,R,L,,SJS,12-43-5-4,2,4,0,2,2,6,0,0,33,30,17496,E. Nabokov,T. Preissing
Feb 25 '04,,R,W,OT,PHX,12-42-5-4,4,3,0,1,1,6,0,0,22,31,14712,A. Chiodo,R. Jackman
Feb 22 '04,,H,L,,OTT,11-42-5-4,3,6,1,3,0,4,0,0,26,34,11780,M. Prusek,C. Neil
Feb 20 '04,,H,L,,FLA,11-41-5-4,0,2,0,5,0,4,0,0,34,32,11917,R. Luongo,K. Huselius
Feb 18 '04,,R,L,,NYI,11-40-5-4,3,4,1,6,3,8,0,0,21,34,13570,G. Snow,K. Jonsson
Feb 16 '04,,H,L,,TOR,11-39-5-4,4,8,2,6,4,5,0,1,26,37,10527,M. Tellqvist,M. Sundin
Feb 14 '04,,R,O,OT,STL,11-38-5-4,2,3,0,5,2,7,0,0,24,26,19812,C. Osgood,E. Boguniecki
Feb 12 '04,,R,L,,FLA,11-38-5-3,1,5,0,7,1,4,1,1,35,37,15863,R. Luongo,N. Hagman
Feb 10 '04,,H,L,,BOS,11-37-5-3,3,6,1,4,3,5,0,1,33,27,10741,A. Raycroft,D. McGillis
Feb 03 '04,,H,L,,MTL,11-36-5-3,3,4,2,4,1,4,0,0,35,30,10041,M. Garon,N. Sundstrom
Feb 01 '04,,R,L,,BOS,11-35-5-3,1,4,1,4,1,6,0,0,39,47,15692,A. Raycroft,G. Murray
Jan 31 '04,,H,L,,PHI,11-34-5-3,3,5,0,6,2,4,1,0,30,32,12965,R. Esche,M. Handzus
Jan 29 '04,,R,L,,TBL,11-33-5-3,1,5,0,4,1,3,0,0,14,32,15847,N. Khabibulin,P. Kubina
Jan 27 '04,,H,L,,TBL,11-32-5-3,2,6,1,2,3,6,0,1,22,39,9391,J. Grahame,C. Stillman
Jan 24 '04,,H,L,,COL,11-31-5-3,3,5,1,5,0,3,0,0,28,33,16704,P. Sauve,S. Konowalchuk
Jan 22 '04,,R,L,,OTT,11-30-5-3,5,6,3,6,2,9,1,0,27,31,16777,P. Lalime,J. Langfeld
Jan 20 '04,,H,L,,NJD,11-29-5-3,0,3,0,4,0,2,0,0,25,19,10146,S. Clemmensen,T. Stevenson
Jan 18 '04,,R,L,,WSH,11-28-5-3,3,4,2,8,2,5,0,0,25,26,16168,O. Kolzig,J. Halpern
Jan 16 '04,,R,L,,MIN,11-27-5-3,2,4,1,4,0,5,0,0,24,25,18568,D. Roloson,F. Kuba
Jan 13 '04,,H,L,,TBL,11-26-5-3,1,3,1,2,1,4,0,0,13,31,10039,J. Grahame,B. Richards
Jan 12 '04,,R,W,,PHI,11-25-5-3,2,1,2,5,0,4,0,0,21,34,19542,J. Aubin,T. Kostopoulos
Jan 10 '04,,H,L,,MTL,10-25-5-3,0,8,0,5,4,6,0,0,25,34,15286,J. Theodore,M. Ryder
Jan 08 '04,,R,L,,BOS,10-24-5-3,1,3,0,2,1,4,0,0,32,27,12914,A. Raycroft,P. Bergeron
Jan 07 '04,,R,W,,NJD,10-23-5-3,4,2,1,5,1,4,0,0,21,33,11948,J. Aubin,R. Malone
Jan 05 '04,,H,L,,TOR,9-23-5-3,0,5,0,4,0,1,0,0,25,34,10216,T. Kidd,J. Nieuwendyk
Jan 03 '04,,H,L,,NYR,9-22-5-3,1,4,0,6,0,4,0,0,41,27,10078,J. Markkanen,P. Nedved
Jan 01 '04,,R,L,,NSH,9-21-5-3,2,3,1,5,3,7,0,0,31,30,16238,T. Vokoun,M. Erat
Dec 31 '03,,H,L,,NYI,9-20-5-3,1,6,0,6,1,3,0,1,22,26,11939,G. Snow,T. Hunter
Dec 29 '03,,H,W,,CHI,9-19-5-3,1,0,0,1,0,1,0,0,21,31,16120,S. Caron,T. Surovy
Dec 27 '03,,H,L,,NJD,8-19-5-3,0,2,0,2,2,5,0,0,21,28,12139,C. Schwab,J. Pandolfo
Dec 26 '03,,R,T,OT,OTT,8-18-5-3,3,3,0,2,1,4,0,0,11,44,18316,P. Lalime,Z. Chara
Dec 22 '03,,R,L,,MTL,8-18-4-3,1,4,0,3,1,5,0,0,17,37,21273,J. Theodore,S. Koivu
Dec 20 '03,,H,L,,ATL,8-17-4-3,4,7,0,3,3,6,0,0,25,32,13683,P. Nurminen,I. Kovalchuk
Dec 18 '03,,R,O,OT,CAR,8-16-4-3,1,2,0,2,0,4,0,0,11,36,11028,K. Weekes,J. O'Neill
Dec 16 '03,,H,W,,BUF,8-16-4-2,2,1,0,4,0,1,0,0,26,22,10554,S. Caron,K. Koltsov
Dec 13 '03,,H,W,,CBJ,7-16-4-2,5,3,2,5,1,4,0,0,25,26,11989,S. Caron,B. Holzinger
Dec 12 '03,,R,L,,ATL,6-16-4-2,3,6,2,9,2,5,0,0,27,32,15039,B. Dafoe,J. Vigier
Dec 09 '03,,R,O,OT,VAN,6-15-4-2,3,4,2,5,1,6,0,0,17,37,18630,J. Hedberg,M. Naslund
Dec 07 '03,,R,L,,CGY,6-15-4-1,1,6,0,2,2,6,0,0,22,43,15009,M. Kiprusoff,S. Donovan
Dec 06 '03,,R,L,,EDM,6-14-4-1,3,4,2,4,0,5,0,0,27,42,16839,T. Conklin,S. Horcoff
Dec 03 '03,,R,L,,PHI,6-13-4-1,2,5,1,5,2,6,0,0,32,39,18972,J. Hackett,E. Weinrich
Dec 01 '03,,H,W,,ATL,6-12-4-1,4,3,1,4,2,4,0,1,32,27,9576,M. Fleury,R. Abid
Nov 29 '03,,R,L,,CAR,5-12-4-1,3,4,1,7,1,7,0,0,25,38,14881,K. Weekes,R. Vrbata
Nov 28 '03,,H,L,,NYR,5-11-4-1,1,4,1,6,0,1,0,1,21,35,15908,J. Markkanen,M. Rucinsky
Nov 26 '03,,H,T,OT,PHI,5-10-4-1,1,1,1,6,0,2,0,0,20,39,11014,R. Esche,E. Chouinard
Nov 22 '03,,H,W,OT,OTT,5-10-3-1,2,1,0,5,1,5,0,0,19,32,11233,S. Caron,R. Malone
Nov 21 '03,,R,O,OT,NJD,4-10-3-1,1,2,1,6,0,6,0,0,19,33,16810,M. Brodeur,P. Elias
Nov 19 '03,,H,L,,MIN,4-10-3-0,2,6,0,3,0,3,0,0,40,28,10957,D. Roloson,A. Laaksonen
Nov 15 '03,,H,L,,FLA,4-9-3-0,2,3,1,5,0,1,0,0,35,20,11004,R. Luongo,V. Bure
Nov 14 '03,,R,W,OT,BUF,4-8-3-0,2,1,0,7,0,4,0,0,23,22,18002,S. Caron,A. Morozov
