Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 04 '04,,R,W,OT,COL,38-29-11-4,2,1,0,1,0,3,0,0,23,39,18007,C. Mason,D. Legwand
Apr 03 '04,,H,L,,STL,37-29-11-4,1,4,0,4,0,1,0,0,17,25,17113,C. Osgood,B. Savage
Apr 01 '04,,R,W,,CHI,37-28-11-4,3,1,2,5,0,3,0,0,29,35,13951,T. Vokoun,A. Hall
Mar 30 '04,,H,W,,CHI,36-28-11-4,5,2,0,7,1,2,0,0,35,26,16362,T. Vokoun,D. Legwand
Mar 27 '04,,H,O,OT,CBJ,35-28-11-4,2,3,0,7,1,5,0,0,37,32,17113,M. Denis,T. Wright
Mar 25 '04,,R,W,,NYR,35-28-11-3,4,2,0,3,1,1,0,0,32,28,18200,T. Vokoun,A. Johansson
Mar 23 '04,,H,L,,ANA,34-28-11-3,1,4,1,9,2,5,0,1,26,29,15976,M. Gerber,S. Ozolinsh
Mar 20 '04,,R,W,,CGY,34-27-11-3,3,1,0,5,1,3,0,0,31,21,18439,T. Vokoun,M. Erat
Mar 19 '04,,R,L,,EDM,33-27-11-3,4,5,0,4,0,3,0,1,27,36,16839,T. Conklin,I. Ulanov
Mar 16 '04,,R,T,OT,VAN,33-26-11-3,2,2,0,1,0,3,0,0,28,27,18630,T. Vokoun,A. Hall
Mar 14 '04,,R,O,OT,DET,33-26-10-3,2,3,1,5,1,3,0,0,29,31,20066,C. Joseph,B. Shanahan
Mar 13 '04,,H,T,OT,CGY,33-26-10-2,4,4,2,7,0,3,0,0,32,24,17113,M. Kiprusoff,J. Iginla
Mar 11 '04,,R,T,OT,STL,33-26-9-2,1,1,1,3,1,3,0,0,25,29,18954,T. Vokoun,E. Weinrich
Mar 09 '04,,H,L,,BOS,33-26-8-2,2,3,1,6,0,1,1,0,26,30,14844,A. Raycroft,J. Thornton
Mar 06 '04,,R,L,,OTT,33-25-8-2,2,4,1,5,1,2,0,0,27,31,18500,M. Prusek,P. Bondra
