Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
May 12 '16,video,R,L,,SJS,7-7,0,5,0,1,2,3,0,0,20,27,17562,M. Jones,J. Pavelski
May 09 '16,video,H,W,OT,SJS,7-6,4,3,0,1,1,1,0,0,32,18,17292,P. Rinne,V. Arvidsson
May 07 '16,video,R,L,,SJS,6-6,1,5,0,3,1,3,0,0,25,29,17562,M. Jones,J. Pavelski
May 05 '16,video,H,W,OT,SJS,6-5,4,3,0,5,1,5,0,0,45,47,17188,P. Rinne,M. Fisher
May 03 '16,video,H,W,,SJS,5-5,4,1,2,5,0,4,0,0,25,27,17163,P. Rinne,S. Weber
May 01 '16,video,R,L,,SJS,4-5,2,3,0,3,1,2,0,0,39,25,17562,M. Jones,J. Thornton
Apr 29 '16,video,R,L,,SJS,4-4,2,5,1,2,2,3,0,0,31,38,17026,M. Jones,L. Couture
Apr 27 '16,video,R,W,,ANA,4-3,2,1,0,3,1,4,0,0,20,37,17407,P. Rinne,P. Gaustad
Apr 25 '16,video,H,W,,ANA,3-3,3,1,0,1,1,2,0,0,26,27,17113,P. Rinne,J. Neal
Apr 23 '16,video,R,L,,ANA,2-3,2,5,0,3,1,7,0,0,29,32,17360,F. Andersen,S. Vatanen
Apr 21 '16,,H,L,,ANA,2-2,1,4,0,6,0,5,0,0,31,25,17232,F. Andersen,N. Thompson
Apr 19 '16,video,H,L,,ANA,2-1,0,3,0,5,0,2,0,0,27,21,17204,F. Andersen,J. McGinn
Apr 17 '16,video,R,W,,ANA,2-0,3,2,1,5,0,1,0,0,27,29,17174,P. Rinne,S. Weber
Apr 15 '16,video,R,W,,ANA,1-0,3,2,0,3,1,4,0,0,33,29,17236,P. Rinne,F. Forsberg
