Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 05 '03,,R,L,,MTL,32-36-10-4,4,5,1,4,0,7,0,0,38,24,21273,J. Theodore,S. Koivu
Apr 04 '03,,H,L,,NJD,32-35-10-4,1,2,1,3,1,8,0,0,19,41,18200,M. Brodeur,J. Friesen
Apr 01 '03,,R,T,OT,NYI,32-34-10-4,2,2,0,5,1,7,0,0,37,30,16234,G. Snow,A. Kovalev
Mar 31 '03,,H,O,OT,ATL,32-34-9-4,3,4,0,2,2,8,0,0,41,25,18200,P. Nurminen,Y. Tremblay
Mar 29 '03,,R,W,,BOS,32-34-9-3,3,1,1,4,0,7,0,0,24,32,17565,M. Dunham,A. Kovalev
Mar 26 '03,,H,L,,PIT,31-34-9-3,1,3,0,2,2,8,0,0,34,23,18200,S. Caron,T. Surovy
Mar 22 '03,,R,W,,PHI,31-33-9-3,2,1,0,2,0,7,0,0,19,35,19737,D. Blackburn,P. Nedved
Mar 19 '03,,H,W,,BUF,30-33-9-3,3,0,0,5,0,8,0,0,36,27,18200,M. Dunham,T. Poti
Mar 17 '03,,H,W,,NYI,29-33-9-3,1,0,1,6,0,8,0,0,39,17,18200,M. Dunham,B. Leetch
Mar 15 '03,,R,L,,NJD,28-33-9-3,1,3,0,4,0,7,0,1,17,38,19040,M. Brodeur,P. Rheaume
Mar 13 '03,,R,O,OT,OTT,28-32-9-3,2,3,0,2,0,7,1,0,20,34,18011,P. Lalime,W. Redden
Mar 10 '03,,H,L,,FLA,28-32-9-2,1,2,0,5,1,8,0,1,41,32,18200,R. Luongo,V. Kozlov
Mar 07 '03,,H,W,,PHI,28-31-9-2,5,1,0,1,0,8,1,0,34,35,18200,M. Dunham,B. Holik
Mar 03 '03,,H,T,OT,NYI,27-31-9-2,1,1,1,5,0,8,0,0,35,37,18200,G. Snow,B. Leetch
Mar 01 '03,,H,W,,FLA,27-31-8-2,5,2,2,6,1,8,0,0,47,34,18200,M. Dunham,M. Messier
Feb 27 '03,,H,W,,BOS,26-31-8-2,4,1,1,4,0,8,2,0,47,38,18200,M. Dunham,M. Messier
Feb 25 '03,,R,T,OT,NJD,25-31-8-2,3,3,1,3,0,7,0,0,26,36,19040,M. Brodeur,P. Nedved
Feb 23 '03,,R,L,,COL,25-31-7-2,1,4,0,4,1,7,0,0,38,24,18007,P. Roy,D. Morris
Feb 21 '03,,R,W,,ANA,25-30-7-2,6,2,1,4,0,7,0,0,31,34,17174,M. Dunham,P. Bure
Feb 19 '03,,R,W,,MIN,24-30-7-2,4,2,1,1,2,7,0,0,19,29,18568,M. Dunham,M. Messier
Feb 17 '03,,R,L,,OTT,23-30-7-2,2,3,1,3,2,7,0,0,28,29,18094,P. Lalime,M. Havlat
Feb 15 '03,,R,L,,BUF,23-29-7-2,4,5,0,6,0,7,0,2,52,32,18165,M. Biron,C. Brown
Feb 14 '03,,H,W,,PIT,23-28-7-2,1,0,1,6,0,8,0,0,25,26,18200,M. Dunham,A. Kovalev
Feb 12 '03,,R,W,,FLA,22-28-7-2,3,1,1,5,1,7,0,0,26,28,15834,M. Dunham,S. McCarthy
Feb 08 '03,,R,L,,PHI,21-28-7-2,1,2,1,7,2,7,0,0,27,19,19717,R. Cechmanek,S. Kapanen
Feb 06 '03,,R,T,OT,STL,21-27-7-2,4,4,1,5,1,7,0,1,27,25,17276,D. Blackburn,M. Samuelsson
Feb 05 '03,,H,L,,OTT,21-27-6-2,3,5,2,6,3,8,1,0,29,23,18200,P. Lalime,T. White
Jan 30 '03,,H,O,OT,COL,21-26-6-2,3,4,1,4,1,8,0,0,41,29,18200,D. Aebischer,G. De Vries
Jan 28 '03,,R,L,,ATL,21-26-6-1,2,5,2,4,2,7,0,1,39,27,12229,P. Nurminen,B. Tapper
Jan 26 '03,,R,L,,WSH,21-25-6-1,2,7,0,3,5,7,0,0,29,34,18020,O. Kolzig,K. Miller
Jan 25 '03,,H,L,,ATL,21-24-6-1,1,4,0,3,0,8,0,0,24,28,18200,P. Nurminen,D. Heatley
Jan 23 '03,,R,W,,NSH,21-23-6-1,4,2,1,2,0,7,0,0,23,30,13549,M. Dunham,T. Poti
Jan 21 '03,,R,W,,NYI,20-23-6-1,5,0,0,3,0,7,0,0,29,31,16234,M. Dunham,M. Barnaby
Jan 19 '03,,H,L,,PHI,19-23-6-1,2,4,0,2,1,8,1,0,33,27,18200,R. Cechmanek,M. Handzus
Jan 15 '03,,R,W,OT,WSH,19-22-6-1,2,1,0,2,0,7,0,0,36,25,14161,M. Dunham,J. Bouchard
Jan 13 '03,,H,W,,TOR,18-22-6-1,5,1,1,2,0,8,0,0,35,24,18200,M. Dunham,E. Lindros
