Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
May 29 '15,video,H,L,,TBL,11-8,0,2,0,2,0,0,0,0,22,25,18006,B. Bishop,A. Killorn
May 26 '15,video,R,W,,TBL,11-7,7,3,1,3,1,3,0,0,34,39,19204,H. Lundqvist,J. Sheppard
May 24 '15,video,H,L,,TBL,10-7,0,2,0,4,1,3,0,0,26,22,18006,B. Bishop,V. Filppula
May 22 '15,video,R,W,,TBL,10-6,5,1,2,4,0,4,0,0,24,39,19204,H. Lundqvist,C. Kreider
May 20 '15,video,R,L,OT,TBL,9-6,5,6,2,4,1,2,0,0,28,40,19204,B. Bishop,N. Kucherov
May 18 '15,video,H,L,,TBL,9-5,2,6,2,5,3,6,0,1,37,26,18006,B. Bishop,T. Johnson
May 16 '15,video,H,W,,TBL,9-4,2,1,0,2,1,4,0,0,30,24,18006,H. Lundqvist,D. Moore
May 13 '15,video,H,W,OT,WSH,8-4,2,1,1,4,0,3,0,0,39,36,18006,H. Lundqvist,D. Stepan
May 10 '15,video,R,W,,WSH,7-4,4,3,1,3,0,4,0,0,28,45,18506,H. Lundqvist,D. Boyle
May 08 '15,video,H,W,OT,WSH,6-4,2,1,0,2,0,2,0,0,43,29,18006,H. Lundqvist,R. McDonagh
May 06 '15,video,R,L,,WSH,5-4,1,2,0,1,0,1,0,0,29,30,18506,B. Holtby,A. Burakovsky
May 04 '15,video,R,L,,WSH,5-3,0,1,0,2,0,2,0,0,30,22,18506,B. Holtby,J. Beagle
May 02 '15,video,H,W,,WSH,5-2,3,2,1,4,0,1,0,0,35,32,18006,H. Lundqvist,D. Brassard
Apr 30 '15,video,H,L,,WSH,4-2,1,2,0,2,1,2,0,0,32,29,18006,B. Holtby,J. Ward
Apr 24 '15,video,H,W,OT,PIT,4-1,2,1,1,3,0,3,0,0,36,38,18006,H. Lundqvist,C. Hagelin
Apr 22 '15,video,R,W,OT,PIT,3-1,2,1,0,3,0,3,0,0,24,23,18619,H. Lundqvist,K. Hayes
Apr 20 '15,video,R,W,,PIT,2-1,2,1,0,2,0,2,0,0,26,24,18645,H. Lundqvist,C. Kreider
Apr 18 '15,video,H,L,,PIT,1-1,3,4,1,7,2,4,0,0,26,22,18006,M. Fleury,C. Kunitz
Apr 16 '15,video,H,W,,PIT,1-0,2,1,1,5,0,1,0,0,38,25,18006,H. Lundqvist,R. McDonagh
