Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 07 '12,video,H,O,SO,CHI,48-28-6,2,2,0,2,0,6,0,0,32,33,20066,C. Crawford,P. Kane
Apr 05 '12,video,H,L,,NJD,48-28-5,1,2,1,1,0,2,0,0,24,21,20066,M. Brodeur,P. Sykora
Apr 04 '12,video,R,W,SO,STL,48-27-5,2,2,0,4,0,2,0,1,28,29,18755,J. Howard,T. Bertuzzi
Apr 01 '12,video,H,W,SO,FLA,47-27-5,1,1,0,3,0,6,0,0,32,28,20066,J. Howard,J. Hudler
Mar 30 '12,video,H,L,,NSH,46-27-5,1,4,0,3,0,2,0,0,32,27,20066,P. Rinne,F. Bouillon
Mar 28 '12,video,R,L,,CBJ,46-26-5,2,4,2,4,0,3,0,0,31,31,12432,A. York,D. Brassard
Mar 26 '12,video,H,W,,CBJ,46-25-5,7,2,2,6,0,4,0,0,39,26,20066,T. Conklin,T. Holmstrom
Mar 24 '12,video,H,W,,CAR,45-25-5,5,4,0,2,2,2,0,0,50,24,20066,T. Conklin,D. Miller
Mar 21 '12,video,R,O,OT,NYR,44-25-5,1,2,0,1,1,3,0,0,27,34,18200,H. Lundqvist,R. Callahan
Mar 19 '12,video,H,L,,WSH,44-25-4,3,5,1,3,3,4,0,0,33,22,20066,B. Holtby,K. Aucoin
Mar 17 '12,video,R,O,OT,SJS,44-24-4,2,3,0,2,0,3,0,0,28,35,17562,A. Niemi,M. Havlat
Mar 14 '12,video,R,L,,ANA,44-24-3,0,4,0,3,0,2,0,0,23,24,16331,J. Hiller,T. Selanne
Mar 13 '12,video,R,L,,LAK,44-23-3,2,5,0,4,1,2,0,1,24,27,18118,J. Quick,D. Doughty
Mar 10 '12,video,R,L,,NSH,44-22-3,2,3,0,4,2,4,0,0,37,20,17113,P. Rinne,A. Kostitsyn
Mar 09 '12,video,H,W,,LAK,44-21-3,4,3,0,3,1,4,0,0,15,24,20066,J. MacDonald,D. Helm
Mar 06 '12,video,R,L,,PHI,43-21-3,2,3,0,4,0,2,0,1,39,23,19892,I. Bryzgalov,M. Talbot
