Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
May 29 '13,video,R,L,OT,CHI,7-7,1,2,0,2,0,4,0,0,27,35,22103,C. Crawford,B. Seabrook
May 27 '13,video,H,L,,CHI,7-6,3,4,0,3,1,5,0,0,38,28,20066,C. Crawford,M. Frolik
May 25 '13,video,R,L,,CHI,7-5,1,4,0,4,2,3,0,0,26,45,22014,C. Crawford,A. Shaw
May 23 '13,video,H,W,,CHI,7-4,2,0,1,3,0,3,0,0,27,28,20066,J. Howard,J. Kindl
May 20 '13,video,H,W,,CHI,6-4,3,1,0,5,0,4,0,0,30,40,20066,J. Howard,D. Miller
May 18 '13,video,R,W,,CHI,5-4,4,1,0,4,0,2,0,0,30,20,21822,J. Howard,B. Smith
May 15 '13,video,R,L,,CHI,4-4,1,4,0,3,1,3,0,0,21,42,21494,C. Crawford,J. Oduya
May 12 '13,video,R,W,,ANA,4-3,3,2,0,2,1,4,1,0,32,33,17412,J. Howard,V. Filppula
May 10 '13,video,H,W,OT,ANA,3-3,4,3,1,3,0,0,0,0,29,37,20066,J. Howard,H. Zetterberg
May 08 '13,video,R,L,OT,ANA,2-3,2,3,1,3,1,3,0,0,31,34,17395,J. Hiller,N. Bonino
May 06 '13,video,H,W,OT,ANA,2-2,3,2,0,1,0,3,0,0,49,33,20066,J. Howard,D. Brunner
May 04 '13,video,H,L,,ANA,1-2,0,4,0,6,2,6,0,1,23,29,20066,J. Hiller,N. Bonino
May 02 '13,video,R,W,OT,ANA,1-1,5,4,3,6,1,5,0,0,32,32,17182,J. Howard,G. Nyquist
Apr 30 '13,video,R,L,,ANA,0-1,1,3,1,4,2,4,0,0,22,27,17200,J. Hiller,T. Selanne
