Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Jun 04 '98,,H,L,OT,WSH,10-5,2,3,0,6,1,6,0,0,41,38,18595,O. Kolzig,J. Juneau
Jun 02 '98,,R,W,,WSH,10-4,2,1,0,4,1,5,0,0,16,35,19740,D. Hasek,J. Woolley
May 30 '98,,H,L,,WSH,9-4,0,2,0,7,0,4,0,1,30,19,18595,O. Kolzig,C. Berube
May 28 '98,,H,L,OT,WSH,9-3,3,4,1,5,2,4,0,0,30,30,18595,O. Kolzig,P. Bondra
May 25 '98,,R,L,OT,WSH,9-2,2,3,1,4,1,7,0,0,33,39,19740,O. Kolzig,T. Krygier
May 23 '98,,R,W,,WSH,9-1,2,0,0,7,0,5,0,0,20,19,19740,D. Hasek,M. Grosek
May 14 '98,,R,W,,MTL,8-1,3,1,2,7,0,4,0,0,18,38,21152,D. Hasek,D. Audette
May 12 '98,,R,W,OT,MTL,7-1,5,4,1,5,0,6,0,0,31,46,20829,D. Hasek,M. Peca
May 10 '98,,H,W,,MTL,6-1,6,3,1,6,1,6,0,0,25,26,18595,D. Hasek,M. Barnaby
May 08 '98,,H,W,OT,MTL,5-1,3,2,1,7,0,7,0,0,25,48,18595,D. Hasek,G. Sanderson
May 01 '98,,R,W,OT,PHI,4-1,3,2,3,9,1,8,0,0,29,37,19798,D. Hasek,M. Grosek
Apr 29 '98,,H,W,,PHI,3-1,4,1,3,6,0,6,0,0,20,45,18595,D. Hasek,M. Satan
Apr 27 '98,,H,W,,PHI,2-1,6,1,2,7,1,6,2,0,28,32,18595,D. Hasek,M. Grosek
Apr 24 '98,,R,L,,PHI,1-1,2,3,1,6,1,10,0,0,27,38,19734,S. Burke,J. LeClair
Apr 22 '98,,R,W,,PHI,1-0,3,2,0,3,0,6,0,0,25,24,19610,D. Hasek,D. Audette
