Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 06 '03,,H,T,OT,NJD,27-37-10-8,2,2,0,3,0,8,0,0,30,30,17845,M. Noronen,P. Elias
Apr 05 '03,,R,L,,BOS,27-37-9-8,5,8,0,1,2,7,1,0,25,37,17565,T. Thomas,J. Stumpel
Apr 02 '03,,H,W,,ATL,27-36-9-8,4,3,2,5,1,8,0,0,40,23,15827,M. Noronen,T. Connolly
Mar 31 '03,,R,L,,DAL,26-36-9-8,0,3,0,4,0,7,0,0,18,21,18532,M. Turco,R. Matvichuk
Mar 29 '03,,R,W,,CAR,26-35-9-8,3,1,3,5,0,7,0,0,15,39,17677,M. Noronen,M. Afinogenov
Mar 28 '03,,H,W,,MTL,25-35-9-8,4,1,1,4,0,8,0,0,31,27,16024,M. Biron,J. Hecht
Mar 26 '03,,H,W,,FLA,24-35-9-8,2,1,1,4,0,8,0,0,26,30,11235,M. Noronen,D. Briere
Mar 24 '03,,H,W,OT,COL,23-35-9-8,4,3,1,7,1,8,0,0,35,36,13250,M. Biron,J. Hecht
Mar 22 '03,,R,O,OT,TOR,22-35-9-8,2,3,1,5,1,7,0,0,27,19,19372,E. Belfour,B. McCabe
Mar 19 '03,,R,L,,NYR,22-35-9-7,0,3,0,7,0,7,0,0,27,36,18200,M. Dunham,T. Poti
Mar 18 '03,,H,W,,PHI,22-34-9-7,5,2,1,4,1,8,0,0,23,32,14942,M. Biron,M. Afinogenov
Mar 15 '03,,R,L,,ATL,21-34-9-7,3,5,1,5,0,7,0,0,39,24,15327,P. Nurminen,V. Kozlov
Mar 14 '03,,H,L,,TBL,21-33-9-7,2,4,0,3,1,8,0,0,28,33,13876,J. Grahame,B. Richards
Mar 12 '03,,H,O,OT,CAR,21-32-9-7,2,3,0,3,0,8,0,0,34,34,15425,P. Desrochers,C. Adams
Mar 09 '03,,R,T,OT,TBL,21-32-9-6,1,1,1,2,1,7,0,0,27,28,19907,M. Noronen,A. Kotalik
Mar 08 '03,,R,W,,FLA,21-32-8-6,4,0,1,5,0,7,0,0,25,29,19250,M. Noronen,B. Campbell
Mar 06 '03,,H,W,,TOR,20-32-8-6,4,2,1,3,1,8,0,0,26,33,18016,M. Biron,C. Brown
Mar 04 '03,,H,L,,WSH,19-32-8-6,1,2,1,6,1,8,0,0,36,23,11750,O. Kolzig,J. Halpern
Mar 01 '03,,R,O,OT,NYI,19-31-8-6,1,2,0,3,0,7,0,0,37,33,15118,G. Snow,J. Blake
Feb 28 '03,,H,W,,DAL,19-31-8-5,5,3,1,4,1,8,1,0,20,34,13266,M. Biron,C. Brown
Feb 26 '03,,R,L,,WSH,18-31-8-5,2,3,1,3,1,7,0,0,37,31,14031,O. Kolzig,P. Bondra
Feb 24 '03,,R,T,OT,FLA,18-30-8-5,2,2,2,6,0,7,0,0,25,31,11944,M. Biron,J. Bednar
Feb 23 '03,,R,W,,TBL,18-30-7-5,4,1,1,2,1,7,0,0,25,31,16654,M. Biron,A. Zhitnik
Feb 21 '03,,H,L,,LAK,17-30-7-5,1,4,0,5,0,8,0,1,32,41,11866,J. Storr,B. Smolinski
Feb 19 '03,,H,W,OT,MTL,17-29-7-5,2,1,0,1,0,8,0,0,30,26,15027,R. Miller,M. Satan
Feb 17 '03,,R,O,OT,ATL,16-29-7-5,3,4,1,3,3,7,1,0,27,30,14462,F. Cassivi,P. Stefan
Feb 15 '03,,H,W,,NYR,16-29-7-4,5,4,0,4,0,8,2,0,32,52,18165,M. Biron,C. Brown
Feb 13 '03,,R,L,,DET,15-29-7-4,2,4,0,2,2,7,0,0,33,24,20058,C. Joseph,S. Fedorov
