Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
15 May '98,,R,L,,WSH,5-6,0,3,0,4,1,3,0,0,29,21,19740,O. Kolzig,J. Juneau
13 May '98,,H,L,,WSH,5-5,0,2,0,5,0,3,0,1,36,11,18500,O. Kolzig,S. Gonchar
11 May '98,,H,W,,WSH,5-4,4,3,3,5,2,4,0,0,34,17,18500,D. Rhodes,A. Yashin
09 May '98,,R,L,,WSH,4-4,1,6,0,7,1,4,0,1,31,18,19740,O. Kolzig,J. Juneau
07 May '98,,R,L,,WSH,4-3,2,4,1,5,0,2,1,0,38,23,17941,O. Kolzig,P. Bondra
02 May '98,,H,W,,NJD,4-2,3,1,1,3,0,2,0,0,31,22,18500,D. Rhodes,J. Laukkanen
30 Apr '98,,R,L,,NJD,3-2,1,3,0,4,1,5,0,1,23,26,19040,M. Brodeur,L. Odelein
28 Apr '98,,H,W,,NJD,3-1,4,3,1,4,1,5,0,1,28,34,18500,D. Rhodes,D. Alfredsson
26 Apr '98,,H,W,OT,NJD,2-1,2,1,2,5,0,4,0,0,23,31,18500,D. Rhodes,A. Yashin
24 Apr '98,,R,L,,NJD,1-1,1,3,0,3,1,3,0,0,28,32,19040,M. Brodeur,D. Gilmour
22 Apr '98,,R,W,OT,NJD,1-0,2,1,0,6,0,4,0,0,32,29,18457,D. Rhodes,B. Gardiner
