Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
07 Apr '07,,R,W,,BOS,48-25-9,6,3,1,4,1,6,0,0,28,32,17565,R. Emery,
05 Apr '07,,H,L,,PIT,47-25-9,2,3,2,8,2,8,0,0,37,27,20064,M. Fleury,
03 Apr '07,,R,O,SO,NJD,47-24-9,1,1,0,3,0,3,0,0,23,28,11642,M. Brodeur,
31 Mar '07,,R,W,,NYI,47-24-8,5,2,0,7,1,8,0,0,47,23,15598,M. Gerber,
30 Mar '07,,H,W,,MTL,46-24-8,5,2,0,2,1,6,0,0,37,28,20185,R. Emery,
27 Mar '07,,H,L,,BOS,45-24-8,2,3,1,7,1,5,0,0,34,17,19786,J. MacDonald,
24 Mar '07,,R,W,,TBL,45-23-8,7,2,1,3,1,2,0,0,28,23,20342,R. Emery,
22 Mar '07,,R,W,,FLA,44-23-8,4,2,1,3,0,4,0,0,19,37,14202,R. Emery,
20 Mar '07,,R,W,,STL,43-23-8,4,2,0,3,0,7,2,0,23,31,13188,M. Gerber,
18 Mar '07,,R,O,SO,PIT,42-23-8,3,3,1,6,2,8,0,0,35,19,17132,M. Fleury,
17 Mar '07,,H,W,,PHI,42-23-7,3,2,0,7,1,3,0,0,33,30,19639,M. Gerber,
15 Mar '07,,H,W,,NYI,41-23-7,5,2,0,4,1,3,0,0,36,30,19989,R. Emery,
13 Mar '07,,R,W,,NYR,40-23-7,3,2,0,2,0,3,0,0,33,34,18200,R. Emery,
10 Mar '07,,R,O,OT,TOR,39-23-7,3,4,1,3,1,5,1,0,22,45,19527,A. Raycroft,D. Tucker
08 Mar '07,,H,W,,TOR,39-23-6,5,1,3,6,0,8,1,0,40,29,20018,R. Emery,
06 Mar '07,,H,O,SO,PIT,38-23-6,4,4,2,9,0,4,1,1,23,27,20074,J. Thibault,
04 Mar '07,,R,O,SO,CHI,38-23-5,3,3,1,3,0,3,0,0,33,25,13917,P. Lalime,
02 Mar '07,,R,L,,ATL,38-23-4,2,4,2,3,0,5,0,0,23,24,16190,K. Lehtonen,
28 Feb '07,,H,W,,CAR,38-22-4,2,0,0,5,0,8,0,0,26,27,19261,R. Emery,
27 Feb '07,,R,W,,CAR,37-22-4,4,2,0,2,1,3,0,0,35,25,17812,M. Gerber,
24 Feb '07,,H,W,,BUF,36-22-4,6,5,2,7,1,7,1,0,37,36,20040,R. Emery,
22 Feb '07,,R,O,SO,BUF,35-22-4,5,5,3,8,1,4,0,0,43,32,18690,R. Miller,
20 Feb '07,,H,W,SO,EDM,35-22-3,3,3,0,2,1,3,0,0,34,30,19716,M. Gerber,
17 Feb '07,,H,W,,ATL,34-22-3,5,3,0,2,2,3,1,0,30,31,19881,M. Gerber,
14 Feb '07,,H,W,,FLA,33-22-3,4,0,1,6,0,3,0,0,33,28,18561,M. Gerber,
10 Feb '07,,R,W,,MTL,32-22-3,5,3,1,8,2,6,0,0,30,40,21273,R. Emery,
08 Feb '07,,H,W,,MTL,31-22-3,4,1,1,8,0,6,0,0,39,28,19915,R. Emery,
07 Feb '07,,R,L,,BUF,30-22-3,2,3,1,4,1,4,0,0,30,37,18690,M. Biron,
03 Feb '07,,H,O,SO,TOR,30-21-3,2,2,1,4,0,2,0,0,32,38,20112,A. Raycroft,
30 Jan '07,,H,W,,WSH,30-21-2,3,2,1,5,0,5,0,0,38,37,19178,M. Gerber,
29 Jan '07,,R,L,,MTL,29-21-2,1,3,0,3,1,4,0,1,27,28,21273,D. Aebischer,
27 Jan '07,,H,W,,BOS,29-20-2,3,1,0,5,0,4,1,0,36,30,19846,R. Emery,
20 Jan '07,,R,W,,BOS,28-20-2,3,0,1,10,0,6,1,0,39,18,17565,R. Emery,
18 Jan '07,,H,L,,VAN,27-20-2,1,2,0,5,1,4,0,0,35,14,19161,R. Luongo,
16 Jan '07,,H,W,,WSH,27-19-2,5,2,1,4,0,5,1,1,34,30,18810,R. Emery,
13 Jan '07,,H,W,,MTL,26-19-2,8,3,3,5,1,6,0,0,33,40,20038,R. Emery,
11 Jan '07,,R,W,,NYR,25-19-2,6,4,0,2,0,2,0,0,33,42,18200,R. Emery,
09 Jan '07,,H,W,,BOS,24-19-2,5,2,0,5,0,3,0,1,36,25,18292,R. Emery,
07 Jan '07,,H,W,,PHI,23-19-2,6,1,0,5,0,2,0,0,43,21,18509,M. Gerber,
06 Jan '07,,H,L,,NJD,22-19-2,2,3,0,3,0,3,0,0,35,29,19548,M. Brodeur,
03 Jan '07,,H,W,,BUF,22-18-2,6,3,3,4,1,5,1,0,36,36,19777,R. Emery,
01 Jan '07,,H,O,OT,ATL,21-18-2,2,3,2,4,1,3,0,0,35,29,19707,K. Lehtonen,V. Kozlov
30 Dec '06,,R,W,OT,TOR,21-18-1,3,2,0,4,1,5,1,0,34,45,19483,R. Emery,C. Phillips
29 Dec '06,,H,W,,NYR,20-18-1,1,0,0,2,0,6,0,0,28,27,20214,R. Emery,
27 Dec '06,,H,W,,NYI,19-18-1,2,0,1,5,0,1,0,0,29,18,20192,R. Emery,
