Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
May 07 '00,,R,L,,DAL,5-7,1,4,1,3,2,3,0,0,33,30,17001,E. Belfour,S. Thornton
May 05 '00,,H,L,,DAL,5-6,4,5,2,7,0,5,1,2,35,33,17483,E. Belfour,J. Nieuwendyk
May 02 '00,,H,W,,DAL,5-5,2,1,1,7,1,4,0,0,28,31,17483,S. Shields,O. Nolan
Apr 30 '00,,R,L,,DAL,4-5,0,1,0,5,0,3,0,0,19,18,17001,E. Belfour,M. Modano
Apr 28 '00,,R,L,,DAL,4-4,0,4,0,6,2,7,0,0,18,27,17001,E. Belfour,A. Gavey
Apr 25 '00,,R,W,,STL,4-3,3,1,0,3,1,5,0,0,19,22,20418,S. Shields,O. Nolan
Apr 23 '00,,H,L,,STL,3-3,2,6,1,4,1,9,0,0,27,24,17483,R. Turek,J. Hecht
Apr 21 '00,,R,L,,STL,3-2,3,5,2,7,2,7,0,0,25,33,20361,R. Turek,C. Pronger
Apr 19 '00,,H,W,,STL,3-1,3,2,0,4,1,4,0,0,19,27,17483,S. Shields,G. Suter
Apr 17 '00,,H,W,,STL,2-1,2,1,1,5,1,3,0,0,22,32,17483,S. Shields,O. Nolan
Apr 15 '00,,R,W,,STL,1-1,4,2,2,9,1,5,0,0,19,20,20337,S. Shields,M. Ricci
Apr 12 '00,,R,L,,STL,0-1,3,5,0,3,1,6,1,0,31,37,20199,R. Turek,C. Pronger
