Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 04 '04,,H,W,OT,LAK,43-21-12-6,4,3,2,3,0,2,0,0,42,28,17496,E. Nabokov,V. Damphousse
Apr 02 '04,,H,L,,VAN,42-21-12-6,1,4,0,6,0,2,0,1,34,26,17496,D. Cloutier,M. Cooke
Mar 31 '04,,R,W,,LAK,42-20-12-6,3,0,0,2,0,4,0,0,25,22,18118,E. Nabokov,A. McCauley
Mar 28 '04,,H,W,OT,DAL,41-20-12-6,2,1,0,4,0,3,0,0,31,21,17496,E. Nabokov,W. Primeau
Mar 26 '04,,R,W,,PHX,40-20-12-6,3,0,1,5,0,2,0,0,26,30,16921,V. Toskala,J. Cheechoo
Mar 25 '04,,H,W,,CGY,39-20-12-6,3,2,0,2,1,4,0,0,27,30,15588,E. Nabokov,V. Damphousse
Mar 23 '04,,H,W,,DET,38-20-12-6,5,2,0,2,0,2,0,0,20,39,17496,E. Nabokov,J. Cheechoo
Mar 21 '04,,H,L,,EDM,37-20-12-6,2,5,1,4,1,4,1,1,34,27,16176,J. Markkanen,J. Smith
Mar 19 '04,,R,W,,ANA,37-19-12-6,4,2,1,4,1,2,0,0,41,23,17174,E. Nabokov,A. Korolyuk
Mar 18 '04,,R,W,,LAK,36-19-12-6,5,3,3,6,2,7,0,1,23,31,18118,E. Nabokov,J. Cheechoo
Mar 16 '04,,R,T,OT,DAL,35-19-12-6,3,3,0,5,2,4,1,0,27,21,18532,M. Turco,J. Cheechoo
Mar 13 '04,,H,W,,LAK,35-19-11-6,3,1,1,2,0,5,0,0,27,33,17496,V. Toskala,N. Ekman
Mar 11 '04,,H,W,,NYI,34-19-11-6,5,4,2,6,0,4,0,1,28,41,15543,E. Nabokov,J. Cheechoo
Mar 09 '04,,H,L,,MIN,33-19-11-6,3,4,0,2,0,3,0,0,31,24,14703,M. Fernandez,A. Daigle
Mar 07 '04,,R,L,,DAL,33-18-11-6,0,4,0,3,0,3,0,0,22,28,18532,M. Turco,J. Klemm
Mar 05 '04,,R,L,,COL,33-17-11-6,1,5,0,3,0,3,0,0,28,33,18007,D. Aebischer,M. Hejduk
Mar 03 '04,,H,W,,MTL,33-16-11-6,4,3,3,6,1,4,0,0,29,28,15614,E. Nabokov,N. Dimitrakos
Feb 29 '04,,H,W,,STL,32-16-11-6,1,0,0,2,0,3,0,0,18,24,17496,E. Nabokov,J. Cheechoo
Feb 27 '04,,H,W,,PIT,31-16-11-6,4,2,2,6,0,2,0,0,30,33,17496,E. Nabokov,T. Preissing
Feb 26 '04,,R,O,OT,VAN,30-16-11-6,2,3,0,3,2,5,0,0,21,36,18630,D. Cloutier,B. Sopel
Feb 23 '04,,H,W,,CBJ,30-16-11-5,4,2,1,5,0,3,0,0,38,26,14886,E. Nabokov,J. Cheechoo
Feb 19 '04,,R,W,,CHI,29-16-11-5,6,3,2,7,1,2,0,0,30,34,11480,E. Nabokov,M. Sturm
Feb 18 '04,,R,L,,NSH,28-16-11-5,3,7,0,3,5,7,1,0,27,20,10155,T. Vokoun,K. Timonen
Feb 16 '04,,R,W,,PHI,28-15-11-5,5,2,0,3,1,2,0,0,20,22,19285,E. Nabokov,S. Thornton
Feb 14 '04,,R,W,OT,CBJ,27-15-11-5,2,1,0,4,0,4,0,0,50,24,18136,E. Nabokov,M. Sturm
Feb 11 '04,,R,L,,DET,26-15-11-5,2,4,0,3,1,2,0,1,24,33,20066,M. Legace,S. Yzerman
Feb 10 '04,,R,L,,BUF,26-14-11-5,1,2,0,4,1,4,0,0,28,35,9381,M. Biron,D. Briere
Feb 05 '04,,H,W,,PHX,26-13-11-5,5,0,2,9,0,4,0,0,35,20,14724,E. Nabokov,A. McCauley
Feb 03 '04,,H,W,,FLA,25-13-11-5,3,0,0,5,0,3,1,0,28,26,14438,E. Nabokov,N. Ekman
Jan 31 '04,,R,O,OT,NSH,24-13-11-5,2,3,0,2,1,3,0,0,26,30,17113,T. Vokoun,M. Zidlicky
Jan 30 '04,,R,L,,DAL,24-13-11-4,1,3,1,4,1,5,0,0,15,36,18532,M. Turco,J. Lehtinen
Jan 28 '04,,H,W,,CGY,24-12-11-4,4,1,0,4,0,3,0,0,35,19,15119,E. Nabokov,P. Marleau
Jan 24 '04,,H,W,,MIN,23-12-11-4,4,0,1,4,0,2,0,0,37,24,17496,E. Nabokov,N. Dimitrakos
Jan 22 '04,,H,L,,PHX,22-12-11-4,1,2,0,4,0,3,0,0,35,20,14544,B. Boucher,L. Nagy
Jan 21 '04,,R,W,,PHX,22-11-11-4,4,2,0,6,1,5,0,0,38,28,15103,V. Toskala,J. Cheechoo
Jan 19 '04,,H,W,,DET,21-11-11-4,2,1,0,3,0,1,0,0,24,35,17361,E. Nabokov,N. Dimitrakos
Jan 17 '04,,R,W,,COL,20-11-11-4,2,1,0,4,1,6,0,0,24,33,18007,V. Toskala,N. Ekman
Jan 15 '04,,H,W,,VAN,19-11-11-4,3,1,0,3,0,5,0,0,30,35,15017,E. Nabokov,J. Cheechoo
Jan 13 '04,,H,L,,DAL,18-11-11-4,0,3,0,4,0,2,0,0,17,23,15100,M. Turco,S. Young
Jan 10 '04,,H,W,,ATL,18-10-11-4,5,2,1,2,0,4,1,0,26,33,15971,E. Nabokov,N. Dimitrakos
Jan 08 '04,,H,O,OT,CBJ,17-10-11-4,2,3,0,3,2,6,0,0,36,25,14549,M. Denis,R. Nash
Jan 05 '04,,R,W,,VAN,17-10-11-3,2,1,0,5,0,4,0,0,19,38,18630,V. Toskala,P. Marleau
Jan 03 '04,,R,W,,STL,16-10-11-3,3,1,1,3,0,5,1,0,33,26,19381,V. Toskala,M. Sturm
Jan 02 '04,,R,L,,CHI,15-10-11-3,1,2,0,4,0,2,0,0,32,30,13455,S. Passmore,I. Korolev
Dec 31 '03,,R,W,,CBJ,15-9-11-3,1,0,0,3,0,4,0,0,29,26,18136,E. Nabokov,A. McCauley
Dec 29 '03,,H,W,,NSH,14-9-11-3,5,2,1,3,1,4,1,0,29,21,16220,E. Nabokov,M. Sturm
Dec 27 '03,,R,T,OT,LAK,13-9-11-3,4,4,2,6,0,3,0,1,27,33,18743,C. Huet,S. Avery
Dec 26 '03,,H,W,,LAK,13-9-10-3,5,0,1,4,0,4,0,0,26,25,17496,E. Nabokov,N. Ekman
Dec 22 '03,,H,W,,ANA,12-9-10-3,2,1,0,5,1,6,0,0,27,25,15695,E. Nabokov,J. Cheechoo
Dec 21 '03,,R,W,,ANA,11-9-10-3,2,1,1,5,0,5,0,0,24,25,14853,E. Nabokov,V. Damphousse
Dec 18 '03,,R,L,,STL,10-9-10-3,2,4,2,7,1,4,0,1,29,35,18089,C. Osgood,J. Mayers
Dec 17 '03,,R,O,OT,DET,10-8-10-3,2,3,1,4,1,5,0,0,28,29,20066,C. Joseph,B. Shanahan
Dec 13 '03,,H,W,,ANA,10-8-10-2,2,0,1,4,0,2,0,0,25,28,16216,E. Nabokov,A. Korolyuk
Dec 11 '03,,H,T,OT,EDM,9-8-10-2,2,2,1,4,0,4,0,0,30,44,14853,T. Conklin,A. Hemsky
Dec 10 '03,,R,L,,ANA,9-8-9-2,2,3,0,3,0,3,0,0,20,30,12246,M. Gerber,R. Salei
Dec 06 '03,,H,W,,DAL,9-7-9-2,2,1,1,5,0,5,0,0,20,16,16148,V. Toskala,N. Ekman
Dec 04 '03,,H,T,OT,COL,8-7-9-2,2,2,0,4,0,3,1,0,27,27,15360,D. Aebischer,J. Liles
Dec 02 '03,,R,L,,CGY,8-7-8-2,1,3,0,4,1,6,0,0,20,33,13059,M. Kiprusoff,S. Donovan
Nov 30 '03,,R,W,,EDM,8-6-8-2,2,1,1,1,0,3,0,0,21,36,16839,V. Toskala,P. Marleau
Nov 28 '03,,R,W,,MIN,7-6-8-2,2,1,2,7,0,5,0,0,21,18,18568,V. Toskala,V. Damphousse
Nov 26 '03,,H,W,,CHI,6-6-8-2,3,2,0,3,0,3,0,0,22,25,15237,V. Toskala,C. Ehrhoff
Nov 22 '03,,H,W,,NSH,5-6-8-2,3,1,1,4,0,4,0,0,32,33,14572,V. Toskala,M. Sturm
Nov 21 '03,,R,W,,PHX,4-6-8-2,5,0,2,8,0,5,0,0,33,40,14559,E. Nabokov,M. Sturm
Nov 18 '03,,H,T,OT,NYR,3-6-8-2,2,2,1,4,0,1,0,0,33,31,14618,J. Markkanen,M. Sturm
Nov 15 '03,,H,T,OT,TOR,3-6-7-2,2,2,1,6,1,1,0,1,27,18,17496,V. Toskala,N. Ekman
Nov 13 '03,,H,O,OT,STL,3-6-6-2,3,4,2,7,0,4,0,0,33,35,14459,C. Osgood,P. Cajanek
Nov 11 '03,,H,L,,COL,3-6-6-1,3,4,0,3,2,5,0,0,29,31,16262,D. Aebischer,T. Selanne
Nov 08 '03,,R,W,,WSH,3-5-6-1,3,2,0,2,1,3,0,0,29,34,15557,E. Nabokov,P. Marleau
Nov 06 '03,,R,T,OT,BOS,2-5-6-1,5,5,2,2,2,4,0,0,23,52,12926,F. Potvin,S. Samsonov
Nov 05 '03,,R,O,OT,NJD,2-5-5-1,2,3,0,1,0,3,0,0,15,32,11627,M. Brodeur,J. Langenbrunner
Nov 02 '03,,R,T,OT,ATL,2-5-5-0,2,2,0,2,0,5,0,0,35,26,12320,P. Nurminen,M. Sturm
Nov 01 '03,,R,W,,FLA,2-5-4-0,6,2,1,4,1,6,0,0,20,29,13412,E. Nabokov,A. McCauley
Oct 30 '03,,R,T,OT,TBL,1-5-4-0,2,2,0,7,2,8,1,0,27,35,17609,E. Nabokov,D. Andreychuk
Oct 28 '03,,R,L,,CAR,1-5-3-0,0,3,0,4,1,6,0,0,28,28,9655,K. Weekes,J. Vasicek
Oct 25 '03,,H,T,OT,PHX,1-4-3-0,4,4,0,4,1,3,0,0,45,35,14551,Z. Bierk,S. Thornton
Oct 23 '03,,H,T,OT,CHI,1-4-2-0,3,3,2,5,1,9,0,1,37,36,14441,J. Thibault,T. Preissing
Oct 21 '03,,H,L,,ANA,1-4-1-0,0,2,0,3,0,5,0,0,34,27,14362,M. Gerber,S. Ozolinsh
Oct 18 '03,,H,L,,OTT,1-3-1-0,1,4,1,7,1,3,0,0,29,23,14807,P. Lalime,R. Bonk
Oct 16 '03,,H,T,OT,PHI,1-2-1-0,0,0,0,6,0,5,0,0,27,26,17167,J. Hackett,-
Oct 12 '03,,R,W,,MIN,1-2-0-0,3,2,2,5,0,3,0,0,28,25,18568,V. Toskala,P. Marleau
Oct 11 '03,,R,L,,CGY,0-2-0-0,2,3,1,4,2,7,0,0,19,20,17039,J. McLennan,S. Donovan
Oct 09 '03,,R,L,,EDM,0-1-0-0,2,5,1,3,2,5,0,0,21,28,16839,T. Salo,R. Torres
