Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Jun 19 '99,,R,W,OT,BUF,16-7,2,1,0,2,0,2,0,0,50,54,18595,E. Belfour,B. Hull
Jun 17 '99,,H,W,,BUF,15-7,2,0,1,3,0,3,0,0,21,23,17001,E. Belfour,D. Sydor
Jun 15 '99,,R,L,,BUF,14-7,1,2,1,3,0,5,0,0,31,18,18595,D. Hasek,D. Ward
Jun 12 '99,,R,W,,BUF,14-6,2,1,0,2,0,8,0,0,29,12,18595,E. Belfour,J. Nieuwendyk
Jun 10 '99,,H,W,,BUF,13-6,4,2,0,6,2,4,0,0,31,21,17001,E. Belfour,B. Hull
Jun 08 '99,,H,L,OT,BUF,12-6,2,3,1,10,1,4,0,0,37,24,17001,D. Hasek,J. Woolley
Jun 04 '99,,H,W,,COL,12-5,4,1,0,3,0,2,0,0,25,19,17001,E. Belfour,M. Keane
Jun 01 '99,,R,W,,COL,11-5,4,1,1,3,0,3,0,0,40,27,16061,E. Belfour,J. Langenbrunner
May 30 '99,,H,L,,COL,10-5,5,7,2,5,1,4,1,0,30,26,17001,P. Roy,C. Drury
May 28 '99,,R,L,OT,COL,10-4,2,3,1,5,0,5,0,0,45,45,16061,P. Roy,C. Drury
May 26 '99,,R,W,,COL,10-3,3,0,0,4,0,3,0,0,26,34,16061,E. Belfour,J. Nieuwendyk
May 24 '99,,H,W,,COL,9-3,4,2,1,7,1,4,0,0,45,19,17001,E. Belfour,J. Nieuwendyk
May 22 '99,,H,L,,COL,8-3,1,2,0,2,0,3,0,0,31,28,17001,P. Roy,V. Kamensky
May 17 '99,,R,W,OT,STL,8-2,2,1,0,4,0,3,0,0,29,29,20355,E. Belfour,M. Modano
May 15 '99,,H,W,,STL,7-2,3,1,2,5,0,4,1,0,16,31,17001,E. Belfour,J. Langenbrunner
May 12 '99,,R,L,OT,STL,6-2,2,3,0,5,1,7,0,0,25,30,20341,G. Fuhr,P. Turgeon
May 10 '99,,R,L,OT,STL,6-1,2,3,1,5,0,6,0,0,18,28,19826,G. Fuhr,P. Demitra
May 08 '99,,H,W,OT,STL,6-0,5,4,0,4,1,3,0,0,25,34,17001,E. Belfour,J. Nieuwendyk
May 06 '99,,H,W,,STL,5-0,3,0,0,7,0,5,1,0,25,23,17001,E. Belfour,P. Verbeek
Apr 27 '99,,R,W,OT,EDM,4-0,3,2,2,6,0,5,0,0,56,39,17100,E. Belfour,J. Nieuwendyk
Apr 25 '99,,R,W,,EDM,3-0,3,2,0,6,2,7,0,0,28,22,17100,E. Belfour,J. Nieuwendyk
Apr 23 '99,,H,W,,EDM,2-0,3,2,0,6,0,3,0,0,34,19,17001,E. Belfour,J. Langenbrunner
Apr 21 '99,,H,W,,EDM,1-0,2,1,0,4,0,2,0,0,31,13,17001,E. Belfour,G. Carbonneau
