Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 09 '00,,H,T,OT,PHX,43-23-10-6,2,2,0,4,0,3,0,0,30,32,17001,E. Belfour,D. Briere
Apr 07 '00,,R,L,,LAK,43-23-9-6,2,3,1,2,2,4,0,0,23,25,18118,J. Storr,J. Karalahti
Apr 05 '00,,R,L,,SJS,43-22-9-6,2,5,2,5,2,7,0,0,37,32,17483,S. Shields,V. Damphousse
Apr 03 '00,,H,T,OT,CGY,43-21-9-6,2,2,2,7,1,6,0,0,27,36,17001,F. Brathwaite,P. Housley
Apr 02 '00,,R,O,OT,COL,43-21-8-6,2,3,0,5,1,2,0,1,24,28,18007,P. Roy,S. Podein
Mar 29 '00,,R,W,,FLA,43-21-8-5,4,1,1,3,0,4,0,0,28,37,16484,E. Belfour,G. Carbonneau
Mar 28 '00,,R,W,,TBL,42-21-8-5,4,2,0,7,0,6,2,1,28,30,11480,E. Belfour,M. Modano
Mar 26 '00,,H,O,OT,COL,41-21-8-5,1,2,0,3,1,3,0,0,30,24,17001,P. Roy,M. Hejduk
Mar 24 '00,,H,W,,CHI,41-21-8-4,5,1,1,4,0,2,2,0,26,18,17001,E. Belfour,M. Modano
Mar 19 '00,,H,W,,SJS,40-21-8-4,5,3,1,8,0,7,1,1,23,35,17001,E. Belfour,B. Lukowich
Mar 18 '00,,R,T,OT,CHI,39-21-8-4,2,2,0,3,0,5,0,0,20,28,19645,J. Thibault,B. Mironov
Mar 15 '00,,R,W,,NJD,39-21-7-4,3,2,0,2,1,3,0,0,30,24,18022,M. Fernandez,M. Modano
Mar 13 '00,,R,W,,NYR,38-21-7-4,4,3,0,3,0,2,0,0,27,34,18200,M. Fernandez,J. Langenbrunner
Mar 12 '00,,H,W,,STL,37-21-7-4,4,2,0,4,1,4,0,0,21,21,17001,M. Fernandez,A. Gavey
Mar 10 '00,,H,O,OT,NYI,36-21-7-4,3,4,3,6,1,4,0,0,33,29,17001,K. Weekes,O. Jokinen
Mar 08 '00,,H,T,OT,VAN,36-21-7-3,3,3,2,4,1,6,0,0,36,26,17001,M. Fernandez,A. Mogilny
Mar 05 '00,,H,L,,DET,36-21-6-3,3,5,1,1,1,4,0,1,25,26,17001,C. Osgood,S. Fedorov
Mar 03 '00,,R,W,,PHX,36-20-6-3,4,1,0,2,0,1,0,0,36,27,15840,E. Belfour,J. Langenbrunner
Mar 01 '00,,H,W,,PHI,35-20-6-3,2,0,0,3,0,4,0,0,16,25,17001,E. Belfour,M. Modano
