Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
May 16 '03,,R,L,,ANA,8-10,1,2,1,4,2,3,0,0,25,28,17174,J. Giguere,A. Oates
May 14 '03,,R,L,,ANA,8-9,0,4,0,4,0,4,0,0,35,32,17174,J. Giguere,S. Rucchin
May 12 '03,,H,L,,ANA,8-8,0,2,0,3,0,3,0,2,24,22,19344,J. Giguere,K. Sauer
May 10 '03,,H,L,OT,ANA,8-7,0,1,0,5,0,1,0,0,39,26,19350,J. Giguere,P. Sykora
May 08 '03,,R,W,,VAN,8-6,4,2,1,2,0,0,0,0,16,26,18514,D. Roloson,D. Hendrickson
May 07 '03,,H,W,,VAN,7-6,5,1,3,5,1,4,0,0,23,31,19350,D. Roloson,L. Sekeras
May 05 '03,,R,W,,VAN,6-6,7,2,1,5,0,3,1,0,26,27,18514,D. Roloson,J. Marshall
May 02 '03,,H,L,OT,VAN,5-6,2,3,0,4,1,6,0,0,27,30,19386,D. Cloutier,B. Sopel
Apr 29 '03,,H,L,,VAN,5-5,2,3,2,7,3,6,0,0,18,13,19394,D. Cloutier,D. Sedin
Apr 27 '03,,R,W,,VAN,5-4,3,2,0,3,0,3,0,0,18,31,18514,D. Roloson,W. Walz
Apr 25 '03,,R,L,OT,VAN,4-4,3,4,1,2,1,4,0,1,21,39,18514,D. Cloutier,T. Klatt
Apr 22 '03,,R,W,OT,COL,4-3,3,2,2,4,1,3,0,0,30,45,18007,M. Fernandez,A. Brunette
Apr 21 '03,,H,W,OT,COL,3-3,3,2,0,2,0,1,0,0,23,24,19350,M. Fernandez,R. Park
Apr 19 '03,,R,W,,COL,2-3,3,2,1,6,0,6,0,0,28,28,18007,M. Fernandez,P. Dupuis
Apr 16 '03,,H,L,,COL,1-3,1,3,1,3,1,3,0,0,25,21,19350,P. Roy,J. Sakic
Apr 14 '03,,H,L,,COL,1-2,0,3,0,6,1,4,0,0,18,18,19354,P. Roy,A. Tanguay
Apr 12 '03,,R,L,,COL,1-1,2,3,1,5,1,6,1,0,26,28,18007,P. Roy,B. Willsie
Apr 10 '03,,R,W,,COL,1-0,4,2,2,3,0,3,0,0,27,41,18007,D. Roloson,W. Walz
