Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 11 '09,,R,W,,CBJ,40-33-9,6,3,1,6,0,3,2,0,28,28,19013,J. Harding,M. Gaborik
Apr 10 '09,,H,W,,NSH,39-33-9,8,4,3,5,1,4,1,0,37,35,18568,N. Backstrom,M. Bergeron
Apr 07 '09,,H,W,,DAL,38-33-9,3,1,2,5,0,2,0,0,32,28,18568,N. Backstrom,E. Belanger
Apr 05 '09,,R,L,,DET,37-33-9,2,3,0,2,0,2,0,0,23,44,20066,C. Osgood,M. Hossa
Apr 03 '09,,H,W,,CGY,37-32-9,4,0,1,4,0,5,0,0,28,27,18568,N. Backstrom,A. Brunette
Mar 31 '09,,H,O,OT,VAN,36-32-9,1,2,0,5,1,2,0,0,34,19,18568,R. Luongo,H. Sedin
Mar 29 '09,,R,W,,EDM,36-32-8,3,2,0,3,0,3,0,0,21,33,16839,N. Backstrom,M. Gaborik
Mar 28 '09,,R,L,,CGY,35-32-8,2,3,0,1,0,3,0,0,15,40,19289,M. Kiprusoff,E. Nystrom
Mar 25 '09,,R,W,,NYI,35-31-8,6,2,3,7,0,4,0,0,28,34,13332,N. Backstrom,O. Nolan
Mar 24 '09,,R,L,,NYR,34-31-8,1,2,0,2,0,5,0,0,19,30,18200,H. Lundqvist,S. Gomez
Mar 22 '09,,H,W,,EDM,34-30-8,3,0,1,5,0,5,0,0,36,31,18568,N. Backstrom,O. Nolan
Mar 20 '09,,R,L,,NJD,33-30-8,0,4,0,7,1,3,0,0,35,29,17625,M. Brodeur,P. Elias
Mar 17 '09,,H,W,SO,COL,33-29-8,2,2,0,3,0,1,0,0,29,26,18568,N. Backstrom,M. Zidlicky
Mar 15 '09,,R,L,,STL,32-29-8,3,5,0,2,3,7,0,0,22,36,19150,C. Mason,B. Winchester
Mar 14 '09,,R,O,OT,DAL,32-28-8,2,3,1,3,0,3,0,0,30,29,18584,M. Turco,N. Grossmann
Mar 12 '09,,R,O,SO,COL,32-28-7,1,1,1,5,1,4,0,0,17,41,14213,P. Budaj,W. Wolski
Mar 10 '09,,H,O,OT,SJS,32-28-6,4,5,0,3,1,3,0,1,29,23,18568,B. Boucher,C. Ehrhoff
Mar 08 '09,,R,W,,ANA,32-28-5,3,2,0,4,0,3,0,1,25,38,17300,N. Backstrom,A. Brunette
Mar 07 '09,,R,L,,LAK,31-28-5,3,4,0,2,1,3,0,0,24,24,18118,J. Quick,T. Purcell
Mar 05 '09,,R,W,OT,SJS,31-27-5,4,3,0,0,0,2,0,0,36,35,17496,N. Backstrom,M. Koivu
Mar 03 '09,,R,L,,VAN,30-27-5,2,4,1,2,0,2,0,0,19,32,18630,R. Luongo,S. Bernier
Feb 28 '09,,R,L,,EDM,30-26-5,2,3,2,4,0,3,0,0,45,30,16839,D. Roloson,T. Gilbert
Feb 27 '09,,R,L,,CGY,30-25-5,1,4,0,5,1,5,0,0,16,29,19289,M. Kiprusoff,D. Phaneuf
Feb 24 '09,,H,O,SO,LAK,30-24-5,1,1,0,4,1,5,1,0,24,25,18568,J. Quick,D. Doughty
Feb 22 '09,,R,W,,CHI,30-24-4,2,1,1,6,0,8,0,0,24,45,22443,J. Harding,P. Olvecky
Feb 21 '09,,H,W,,DET,29-24-4,5,2,1,3,0,5,0,0,29,37,18568,N. Backstrom,P. Bouchard
Feb 19 '09,,H,O,OT,CGY,28-24-4,2,3,0,1,0,2,1,0,27,22,18568,M. Kiprusoff,A. Aucoin
Feb 14 '09,,H,L,,OTT,28-24-3,3,5,1,4,0,1,0,2,29,22,18568,A. Auld,D. Alfredsson
Feb 12 '09,,R,L,,DET,28-23-3,2,4,1,3,0,5,1,0,23,43,20066,C. Osgood,K. Draper
Feb 11 '09,,H,W,,COL,28-22-3,3,2,0,3,1,7,0,0,26,22,18568,N. Backstrom,A. Miettinen
Feb 08 '09,,H,W,SO,EDM,27-22-3,2,2,0,3,1,6,1,0,39,30,18568,N. Backstrom,M. Koivu
Feb 06 '09,,H,L,,NSH,26-22-3,0,2,0,4,0,2,0,0,22,26,18568,D. Ellis,J. Arnott
Feb 04 '09,,H,W,,ANA,26-21-3,3,0,1,3,0,5,0,0,25,34,18568,N. Backstrom,A. Brunette
Jan 31 '09,,R,W,OT,VAN,25-21-3,4,3,2,5,2,4,0,0,27,40,18630,N. Backstrom,M. Bergeron
Jan 30 '09,,R,L,,EDM,24-21-3,1,3,0,3,1,5,0,0,30,28,16839,D. Roloson,E. Moreau
Jan 27 '09,,H,W,,TOR,24-20-3,6,1,0,3,0,0,0,0,21,28,18568,N. Backstrom,M. Bergeron
Jan 20 '09,,H,L,,LAK,23-20-3,2,5,2,4,1,4,0,0,27,32,18568,J. Quick,D. Brown
Jan 19 '09,,R,W,,CHI,23-19-3,4,1,2,3,0,3,0,0,26,41,21320,N. Backstrom,M. Zidlicky
Jan 17 '09,,H,L,,ANA,22-19-3,0,3,0,4,1,1,0,0,30,34,18568,J. Hiller,C. Perry
Jan 15 '09,,H,W,,EDM,22-18-3,5,1,1,8,0,4,0,0,24,21,18568,N. Backstrom,C. Clutterbuck
Jan 13 '09,,H,W,,PHX,21-18-3,6,3,0,4,0,1,0,0,34,24,18568,N. Backstrom,M. Koivu
Jan 10 '09,,R,L,,CBJ,20-18-3,2,4,1,3,0,2,0,0,23,32,16605,S. Mason,N. Filatov
Jan 08 '09,,R,L,,PHI,20-17-3,1,3,0,8,1,1,0,0,28,23,19596,M. Biron,M. Knuble
Jan 06 '09,,R,W,,BOS,20-16-3,1,0,1,5,0,2,0,0,24,28,16272,N. Backstrom,M. Zidlicky
Jan 04 '09,,R,W,,COL,19-16-3,2,0,1,6,0,3,0,0,37,33,14125,N. Backstrom,O. Nolan
